case_id	locus	apothecary_primary	scribe_primary	exact_primary_agreement	contextual_selected_function	contextual_default_de	disagreement_preserved
G772-OL01	f112r.36	OL_QUANTIFIABLE_NOMINAL_HEAD	OL_PARTITIVE_VON	0	CONTENT_FIELD_HEAD	Ansatz:	1
G772-OL02	f30v.2	OL_FIELD_SEQUENCE_MARKER	OL_FIELD_SEQUENCE_MARKER	1	FIELD_SEPARATOR_OR_CLOSE	;	0
G772-OL03	f3r.19	OL_FIELD_SEQUENCE_MARKER	OL_PARTITIVE_VON	0	COORDINATION	und	1
G772-OL04	f55v.10	OL_QUANTIFIABLE_NOMINAL_HEAD	OL_MEASURE_UNIT_COMPLEMENT	0	MEASURE_FIELD_HEAD	Menge:	1
G772-OL05	f55v.10	OL_QUANTIFIABLE_NOMINAL_HEAD	OL_FIELD_SEQUENCE_MARKER	0	FIELD_SEPARATOR_OR_CLOSE	;	1
G772-OL06	f58r.13	OL_FIELD_SEQUENCE_MARKER	OL_FIELD_SEQUENCE_MARKER	1	SEQUENCE	und dann	0
G772-OL07	f75r.26	OL_FIELD_SEQUENCE_MARKER	OL_QUANTIFIABLE_NOMINAL_HEAD	0	CONTENT_FIELD_HEAD	Ansatz:	1
G772-OL08	f75r.26	OL_FIELD_SEQUENCE_MARKER	OL_FIELD_SEQUENCE_MARKER	1	FIELD_SEPARATOR_OR_CLOSE	;	0
G772-OL09	f78r.37	OL_QUANTIFIABLE_NOMINAL_HEAD	OL_MEASURE_UNIT_COMPLEMENT	0	MEASURE_FIELD_HEAD	Menge:	1
G772-OL10	f81r.15	OL_QUANTIFIABLE_NOMINAL_HEAD	OL_PARTITIVE_VON	0	CONTENT_FIELD_HEAD	Ansatz:	1
G772-OL11	f81r.22	OL_FIELD_SEQUENCE_MARKER	OL_FIELD_SEQUENCE_MARKER	1	FIELD_SEPARATOR_OR_CLOSE	:	0
G772-OL12	f81r.22	OL_FIELD_SEQUENCE_MARKER	OL_FIELD_SEQUENCE_MARKER	1	FIELD_SEPARATOR_OR_CLOSE	;	0
G772-OL13	f81r.22	OL_FIELD_SEQUENCE_MARKER	OL_FIELD_SEQUENCE_MARKER	1	SEQUENCE	und dann	0
G772-OL14	f82r.33	OL_QUANTIFIABLE_NOMINAL_HEAD	OL_PARTITIVE_VON	0	CONTENT_FIELD_HEAD	Ansatz:	1
G772-OL15	f85r1.21	OL_QUANTIFIABLE_NOMINAL_HEAD	OL_PARTITIVE_VON	0	CONTENT_FIELD_HEAD	Ansatz:	1
