event_id	page	record	statement_id	surface	full_recipe	pocket_core_recipe	specialist_recipe	event_class	full_reading_de
E001	f10r	H1	H1-S001	dchey	CH+E+Y	E+Y	CH	MIXED_OR_SPECIALIST_CARD	ABNEHMEN · KURZ · DIES
E002	f10r	H1	H1-S001	cthoor	CTH+O+OR	O+OR	CTH	MIXED_OR_SPECIALIST_CARD	BEREIT · GANG · ANSATZ
E003	f10r	H1	H1-S001	char	AR	AR	NONE	CORE_CARD	QUELLE
E004	f10r	H1	H1-S001	chty	T+Y	Y	T	MIXED_OR_SPECIALIST_CARD	EINTRAGEN · DIES
E005	f10r	H1	H1-S001	os	OS	NONE	OS	MIXED_OR_SPECIALIST_CARD	FACH
E006	f10r	H1	H1-S001	chair	CH+AIR	NONE	CH+AIR	MIXED_OR_SPECIALIST_CARD	ABNEHMEN · LAUF
E007	f10r	H1	H1-S001	otytchol	OT+Y+T+CH+OL	OT+Y+OL	T+CH	MIXED_OR_SPECIALIST_CARD	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN
E008	f10r	H1	H1-S001	oky	OK+Y	OK+Y	NONE	CORE_CARD	ANSETZEN · DIES
E009	f10r	H1	H1-S001	daiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E010	f10r	H1	H1-S001	etyd	E+T+Y	E+Y	T	MIXED_OR_SPECIALIST_CARD	KURZ · EINTRAGEN · DIES
E011	f10r	H1	H1-S002	qokchy	OK+Y	OK+Y	NONE	CORE_CARD	ANSETZEN · DIES
E012	f10r	H1	H1-S002	qotchol	OT+CH+OL	OT+OL	CH	MIXED_OR_SPECIALIST_CARD	DANACH · ABNEHMEN · FORTSETZEN
E013	f10r	H1	H1-S002	chol	OL	OL	NONE	CORE_CARD	FORTSETZEN
E014	f10r	H1	H1-S002	cthy	CTH+Y	Y	CTH	MIXED_OR_SPECIALIST_CARD	BEREIT · DIES
E015	f10r	H2	H2-S001	ycheor	Y+CH+E+OR	Y+E+OR	CH	MIXED_OR_SPECIALIST_CARD	DIES · ABNEHMEN · KURZ · ANSATZ
E016	f10r	H2	H2-S001	cthy	CTH+Y	Y	CTH	MIXED_OR_SPECIALIST_CARD	BEREIT · DIES
E017	f10r	H2	H2-S001	chor	OR	OR	NONE	CORE_CARD	ANSATZ
E018	f10r	H2	H2-S001	cthaiin	CTH+AIIN	AIIN	CTH	MIXED_OR_SPECIALIST_CARD	BEREIT · MASS
E019	f10r	H2	H2-S001	qoctholy	O+CTH+OL+Y	O+OL+Y	CTH	MIXED_OR_SPECIALIST_CARD	GANG · BEREIT · FORTSETZEN · DIES
E020	f10r	H2	H2-S001	dy	Y	Y	NONE	CORE_CARD	DIES
E021	f10r	H2	H2-S001	chy	Y	Y	NONE	CORE_CARD	DIES
E022	f10r	H2	H2-S001	taiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E023	f10r	H2	H2-S001	shy	Y	Y	NONE	CORE_CARD	DIES
E024	f10r	H2	H2-S002	qotchor	OT+CH+OR	OT+OR	CH	MIXED_OR_SPECIALIST_CARD	DANACH · ABNEHMEN · ANSATZ
E025	f10r	H2	H2-S002	chor	OR	OR	NONE	CORE_CARD	ANSATZ
E026	f10r	H2	H2-S002	otol	OT+OL	OT+OL	NONE	CORE_CARD	DANACH · FORTSETZEN
E027	f10r	H2	H2-S002	chol	OL	OL	NONE	CORE_CARD	FORTSETZEN
E028	f10r	H2	H2-S002	cholor	OL+OR	OL+OR	NONE	CORE_CARD	FORTSETZEN · ANSATZ
E029	f10r	H2	H2-S002	chol	OL	OL	NONE	CORE_CARD	FORTSETZEN
E030	f10r	H2	H2-S002	daiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E031	f10r	H2	H2-S002	dar	AR	AR	NONE	CORE_CARD	QUELLE
E032	f10r	H2	H2-S003	oykchor	O+Y+K+OR	O+Y+K+OR	NONE	CORE_CARD	GANG · DIES · ZUDOSIEREN · ANSATZ
E033	f10r	H2	H2-S003	shor	OR	OR	NONE	CORE_CARD	ANSATZ
E034	f10r	H2	H2-S003	chor	OR	OR	NONE	CORE_CARD	ANSATZ
E035	f10r	H2	H2-S003	chy	Y	Y	NONE	CORE_CARD	DIES
E036	f10r	H2	H2-S003	kaiiin	K+IIN	K	IIN	MIXED_OR_SPECIALIST_CARD	ZUDOSIEREN · STUFE
E037	f10r	H2	H2-S003	dy	Y	Y	NONE	CORE_CARD	DIES
E038	f10r	H2	H2-S003	chodaiin	CH+O+AIIN	O+AIIN	CH	MIXED_OR_SPECIALIST_CARD	ABNEHMEN · GANG · MASS
E039	f11r	H3	H3-S001	tshol	T+SH+OL	OL	T+SH	MIXED_OR_SPECIALIST_CARD	EINTRAGEN · HALTEN · FORTSETZEN
E040	f11r	H3	H3-S001	schoal	SH+O+AL	O+AL	SH	MIXED_OR_SPECIALIST_CARD	HALTEN · GANG · ZIEL
E041	f11r	H3	H3-S001	cfhy	CFH+Y	Y	CFH	MIXED_OR_SPECIALIST_CARD	AUSWRINGEN · DIES
E042	f11r	H3	H3-S001	shfydaiin	SH+Y+AIIN	Y+AIIN	SH	MIXED_OR_SPECIALIST_CARD	HALTEN · DIES · MASS
E043	f11r	H3	H3-S001	cphy	P+Y	Y	P	MIXED_OR_SPECIALIST_CARD	EINFUELLEN · DIES
E044	f11r	H3	H3-S001	shey	SH+EE+Y	EE+Y	SH	MIXED_OR_SPECIALIST_CARD	HALTEN · LANG · DIES
E045	f11r	H3	H3-S001	tchody	T+CH+O+DY	O+DY	T+CH	MIXED_OR_SPECIALIST_CARD	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS
E046	f11r	H3	H3-S002	shoyty	SH+O+Y+T+Y	O+Y+Y	SH+T	MIXED_OR_SPECIALIST_CARD	HALTEN · GANG · DIES · EINTRAGEN · DIES
E047	f11r	H3	H3-S003	dchol	RESUME_CARD	NONE	RESUME_CARD	MIXED_OR_SPECIALIST_CARD	WIEDERAUFNEHMEN
E048	f11r	H3	H3-S003	chy	Y	Y	NONE	CORE_CARD	DIES
E049	f11r	H3	H3-S003	kchy	K+Y	K+Y	NONE	CORE_CARD	ZUDOSIEREN · DIES
E050	f11r	H3	H3-S003	dy	Y	Y	NONE	CORE_CARD	DIES
E051	f11r	H3	H3-S003	daiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E052	f11r	H3	H3-S004	qotchy	OT+Y	OT+Y	NONE	CORE_CARD	DANACH · DIES
E053	f11r	H3	H3-S004	okchol	OK+OL	OK+OL	NONE	CORE_CARD	ANSETZEN · FORTSETZEN
E054	f11r	H3	H3-S004	cthy	CTH+Y	Y	CTH	MIXED_OR_SPECIALIST_CARD	BEREIT · DIES
E055	f11r	H3	H3-S004	dy	Y	Y	NONE	CORE_CARD	DIES
E056	f55v	H4	H4-S001	qokaiin	OK+AIIN	OK+AIIN	NONE	CORE_CARD	ANSETZEN · MASS
E057	f55v	H4	H4-S001	chaiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E058	f55v	H4	H4-S001	ykain	Y+K+AIN	Y+K	AIN	MIXED_OR_SPECIALIST_CARD	DIES · ZUDOSIEREN · PORTION
E059	f55v	H4	H4-S001	ykan	Y+K+AN	Y+K	AN	MIXED_OR_SPECIALIST_CARD	DIES · ZUDOSIEREN · NACHGABE
E060	f55v	H4	H4-S001	ody	O+DY	O+DY	NONE	CORE_CARD	GANG · SCHLUSS
E061	f55v	H4	H4-S002	daiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E062	f55v	H4	H4-S002	chedy	CHD+Y	Y	CHD	MIXED_OR_SPECIALIST_CARD	UMSETZEN · DIES
E063	f55v	H4	H4-S002	talam	TALAM	NONE	TALAM	MIXED_OR_SPECIALIST_CARD	VERWAHREN
E064	f55v	H4	H4-S003	ykaiin	Y+K+AIIN	Y+K+AIIN	NONE	CORE_CARD	DIES · ZUDOSIEREN · MASS
E065	f55v	H4	H4-S003	cheoar	CH+E+O+AR	E+O+AR	CH	MIXED_OR_SPECIALIST_CARD	ABNEHMEN · KURZ · GANG · QUELLE
E066	f55v	H4	H4-S003	cheeky	CHK+EE+Y	EE+Y	CHK	MIXED_OR_SPECIALIST_CARD	WAERMEN · LANG · DIES
E067	f55v	H4	H4-S003	oldy	OL+DY	OL+DY	NONE	CORE_CARD	FORTSETZEN · SCHLUSS
E068	f55v	H4	H4-S004	aiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E069	f55v	H4	H4-S004	okal	OK+AL	OK+AL	NONE	CORE_CARD	ANSETZEN · ZIEL
E070	f55v	H4	H4-S004	oltchy	OL+T+Y	OL+Y	T	MIXED_OR_SPECIALIST_CARD	FORTSETZEN · EINTRAGEN · DIES
E071	f55v	H4	H4-S004	or	OR	OR	NONE	CORE_CARD	ANSATZ
E072	f55v	H4	H4-S004	y	Y	Y	NONE	CORE_CARD	DIES
E073	f55v	H4	H4-S004	orain	OR+AIN	OR	AIN	MIXED_OR_SPECIALIST_CARD	ANSATZ · PORTION
E074	f56r	H5	H5-S001	chochor	HO+CH+OR	OR	HO+CH	MIXED_OR_SPECIALIST_CARD	ZUTAT · ABNEHMEN · ANSATZ
E075	f56r	H5	H5-S001	cho	HO	NONE	HO	MIXED_OR_SPECIALIST_CARD	ZUTAT
E076	f56r	H5	H5-S001	chodaly	HO+AL+Y	AL+Y	HO	MIXED_OR_SPECIALIST_CARD	ZUTAT · ZIEL · DIES
E077	f56r	H5	H5-S001	daiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E078	f56r	H5	H5-S001	sho	HO	NONE	HO	MIXED_OR_SPECIALIST_CARD	ZUTAT
E079	f56r	H5	H5-S001	kchol	K+OL	K+OL	NONE	CORE_CARD	ZUDOSIEREN · FORTSETZEN
E080	f56r	H5	H5-S001	otchor	OT+CH+OR	OT+OR	CH	MIXED_OR_SPECIALIST_CARD	DANACH · ABNEHMEN · ANSATZ
E081	f56r	H5	H5-S001	choky	OK+Y	OK+Y	NONE	CORE_CARD	ANSETZEN · DIES
E082	f56r	H5	H5-S001	dal	AL	AL	NONE	CORE_CARD	ZIEL
E083	f56r	H5	H5-S002	schol	RESUME_CARD	NONE	RESUME_CARD	MIXED_OR_SPECIALIST_CARD	WIEDERAUFNEHMEN
E084	f56r	H5	H5-S002	choy	HO+Y	Y	HO	MIXED_OR_SPECIALIST_CARD	ZUTAT · DIES
E085	f56r	H5	H5-S002	choky	OK+Y	OK+Y	NONE	CORE_CARD	ANSETZEN · DIES
E086	f56r	H5	H5-S002	cheeckhody	CH+EE+CKH+O+DY	EE+O+DY	CH+CKH	MIXED_OR_SPECIALIST_CARD	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS
E087	f56r	H5	H5-S003	sh	SH	NONE	SH	MIXED_OR_SPECIALIST_CARD	HALTEN
E088	f56r	H5	H5-S003	cho	HO	NONE	HO	MIXED_OR_SPECIALIST_CARD	ZUTAT
E089	f56r	H5	H5-S003	kchey	K+E+Y	K+E+Y	NONE	CORE_CARD	ZUDOSIEREN · KURZ · DIES
E090	f56r	H5	H5-S003	qokokchy	OK+OK+Y	OK+OK+Y	NONE	CORE_CARD	ANSETZEN · ANSETZEN · DIES
E091	f56r	H5	H5-S004	okchy	OK+Y	OK+Y	NONE	CORE_CARD	ANSETZEN · DIES
E092	f56r	H5	H5-S004	chokcheo	OK+CH+E+O	OK+E+O	CH	MIXED_OR_SPECIALIST_CARD	ANSETZEN · ABNEHMEN · KURZ · GANG
E093	f56r	H5	H5-S004	kchal	K+AL	K+AL	NONE	CORE_CARD	ZUDOSIEREN · ZIEL
E094	f56r	H5	H5-S005	sho	HO	NONE	HO	MIXED_OR_SPECIALIST_CARD	ZUTAT
E095	f56r	H5	H5-S005	chokchy	OK+Y	OK+Y	NONE	CORE_CARD	ANSETZEN · DIES
E096	f56r	H5	H5-S005	kchoar	K+HO+AR	K+AR	HO	MIXED_OR_SPECIALIST_CARD	ZUDOSIEREN · ZUTAT · QUELLE
E097	f56r	H5	H5-S005	sotodan	OT+O+AIN	OT+O	AIN	MIXED_OR_SPECIALIST_CARD	DANACH · GANG · PORTION
E098	f56r	H5	H5-S006	otchey	OT+Y	OT+Y	NONE	CORE_CARD	DANACH · DIES
E099	f56r	H5	H5-S006	keol	K+E+OL	K+E+OL	NONE	CORE_CARD	ZUDOSIEREN · KURZ · FORTSETZEN
E100	f56r	H5	H5-S006	daiin	AIIN	AIIN	NONE	CORE_CARD	MASS
E101	f81v	B1	B1-S001	qokedy	OK+E+DY	OK+E+DY	NONE	CORE_CARD	ANSETZEN · KURZ · SCHLUSS
E102	f81v	B1	B1-S002	okaiin	OK+AIIN	OK+AIIN	NONE	CORE_CARD	ANSETZEN · MASS
E103	f81v	B1	B1-S002	kair	K+AIR	K	AIR	MIXED_OR_SPECIALIST_CARD	ZUDOSIEREN · LAUF
E104	f81v	B1	B1-S002	okal	OK+AL	OK+AL	NONE	CORE_CARD	ANSETZEN · ZIEL
E105	f81v	B1	B1-S002	sar	AR	AR	NONE	CORE_CARD	QUELLE
E106	f81v	B1	B1-S002	ol	OL	OL	NONE	CORE_CARD	FORTSETZEN
E107	f81v	B1	B1-S002	kain	K+AIN	K	AIN	MIXED_OR_SPECIALIST_CARD	ZUDOSIEREN · PORTION
