component	value_de	token_uses	statements	records
CHD	UMSETZEN	48	41	H4|B1|B2|B3|B4|B5
L	WEITERLEITEN	27	24	B1|B2|B3|B4|B5|B6
SH	HALTEN	25	22	H3|H5|B1|B2|B3|B4
AIN	PORTION	18	15	H4|H5|B1|B2|B3|B4|B6
CH	ABNEHMEN	16	13	H1|H2|H3|H4|H5|B2|B4
CTH	BEREIT	15	11	H1|H2|H3|B2|B3
SHED	ABSETZEN	15	15	B1|B2|B3|B4|B5
CKH	DURCHLASS	14	12	H5|B1|B2|B4
T	EINTRAGEN	10	7	H1|H3|H4|B1|B3
HO	ZUTAT	8	4	H5
CHK	WAERMEN	7	7	H4|B1|B2|B3|B4
SOLK	AUFFANGEN	7	7	B1|B2|B3|B4|B6
R	KUEHLEN	6	6	B1|B2|B3|B6
AIR	LAUF	5	5	H1|B1|B3|B4
IIN	STUFE	4	4	H2|B1|B3|B5
LSH	WASCHEN	3	2	B1
P	EINFUELLEN	3	3	H3|B2|B3
EEE	VOLL	2	2	B2|B3
RESUME_CARD	WIEDERAUFNEHMEN	2	2	H3|H5
AN	NACHGABE	1	1	H4
CFH	AUSWRINGEN	1	1	H3
DA	ZWEIT	1	1	B5
LD	BEFESTIGEN	1	1	B4
OS	FACH	1	1	H1
S	TEILEN	1	1	B2
TALAM	VERWAHREN	1	1	H4
