statement_id	page	record	events	component_tokens	pocket_core_tokens	specialist_tokens	distinct_specialist_types	statement_class	pocket_core_sequence	specialist_sequence	specialist_values_de	dictation_plan_de	owner_noun_de	surface_sequence	complete_owner_reading_de
H1-S001	f10r	H1	10	23	14	9	5	MULTI_SPECIALIST	E Y O OR AR Y OT Y OL OK Y AIIN E Y	CH CTH T OS CH AIR T CH T	ABNEHMEN · BEREIT · EINTRAGEN · FACH · ABNEHMEN · LAUF · EINTRAGEN · ABNEHMEN · EINTRAGEN	Taschenkern diktieren; lokale Spezialfolge CH+CTH+T+OS+AIR positionsgetreu einsetzen.	die breite gezahnte Bluetenpflanze	dchey cthoor char chty os chair otytchol oky daiin etyd	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz abnehmen; den Ansatz im Gang bereitstellen und aus der Quelle eintragen; den Lauf abnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz eintragen.
H1-S002	f10r	H1	4	8	6	2	2	MULTI_SPECIALIST	OK Y OT OL OL Y	CH CTH	ABNEHMEN · BEREIT	Taschenkern diktieren; lokale Spezialfolge CH+CTH positionsgetreu einsetzen.	die breite gezahnte Bluetenpflanze	qokchy qotchol chol cthy	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.
H2-S001	f10r	H2	9	17	13	4	2	MULTI_SPECIALIST	Y E OR Y OR AIIN O OL Y Y Y AIIN Y	CH CTH CTH CTH	ABNEHMEN · BEREIT · BEREIT · BEREIT	Taschenkern diktieren; lokale Spezialfolge CH+CTH positionsgetreu einsetzen.	die breite gezahnte Bluetenpflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
H2-S002	f10r	H2	8	12	11	1	1	ONE_SPECIALIST_TYPE	OT OR OR OT OL OL OL OR OL AIIN AR	CH	ABNEHMEN	Taschenkern diktieren; Spezialkarte CH an den belegten Stellen einsetzen.	die breite gezahnte Bluetenpflanze	qotchor chor otol chol cholor chol daiin dar	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.
H2-S003	f10r	H2	7	13	11	2	2	MULTI_SPECIALIST	O Y K OR OR OR Y K Y O AIIN	IIN CH	STUFE · ABNEHMEN	Taschenkern diktieren; lokale Spezialfolge IIN+CH positionsgetreu einsetzen.	die breite gezahnte Bluetenpflanze	oykchor shor chor chy kaiiin dy chodaiin	Bei der breiten gezahnten Bluetenpflanze: Im Gang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiterdosieren und anschliessend im Gang nach Mass abnehmen.
H3-S001	f11r	H3	7	20	11	9	5	MULTI_SPECIALIST	OL O AL Y Y AIIN Y EE Y O DY	T SH SH CFH SH P SH T CH	EINTRAGEN · HALTEN · HALTEN · AUSWRINGEN · HALTEN · EINFUELLEN · HALTEN · EINTRAGEN · ABNEHMEN	Taschenkern diktieren; lokale Spezialfolge T+SH+CFH+P+CH positionsgetreu einsetzen.	die dicht bluehende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.
H3-S002	f11r	H3	1	5	3	2	2	MULTI_SPECIALIST	O Y Y	SH T	HALTEN · EINTRAGEN	Taschenkern diktieren; lokale Spezialfolge SH+T positionsgetreu einsetzen.	die dicht bluehende Kronenpflanze	shoyty	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und eintragen.
H3-S003	f11r	H3	5	6	5	1	1	ONE_SPECIALIST_TYPE	Y K Y Y AIIN	RESUME_CARD	WIEDERAUFNEHMEN	Taschenkern diktieren; Spezialkarte RESUME_CARD an den belegten Stellen einsetzen.	die dicht bluehende Kronenpflanze	dchol chy kchy dy daiin	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Mass weiterfuehren.
H3-S004	f11r	H3	4	7	6	1	1	ONE_SPECIALIST_TYPE	OT Y OK OL Y Y	CTH	BEREIT	Taschenkern diktieren; Spezialkarte CTH an den belegten Stellen einsetzen.	die dicht bluehende Kronenpflanze	qotchy okchol cthy dy	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.
H4-S001	f55v	H4	5	11	9	2	2	MULTI_SPECIALIST	OK AIIN AIIN Y K Y K O DY	AIN AN	PORTION · NACHGABE	Taschenkern diktieren; lokale Spezialfolge AIN+AN positionsgetreu einsetzen.	die breitblaettrige rispige Pflanze	qokaiin chaiin ykain ykan ody	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zudosieren; den Gang schliessen.
H4-S002	f55v	H4	3	4	2	2	2	MULTI_SPECIALIST	AIIN Y	CHD TALAM	UMSETZEN · VERWAHREN	Taschenkern diktieren; lokale Spezialfolge CHD+TALAM positionsgetreu einsetzen.	die breitblaettrige rispige Pflanze	daiin chedy talam	Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren.
H4-S003	f55v	H4	4	12	10	2	2	MULTI_SPECIALIST	Y K AIIN E O AR EE Y OL DY	CH CHK	ABNEHMEN · WAERMEN	Taschenkern diktieren; lokale Spezialfolge CH+CHK positionsgetreu einsetzen.	die breitblaettrige rispige Pflanze	ykaiin cheoar cheeky oldy	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Mass zudosieren; dann kurz im Gang aus der Quelle abnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.
H4-S004	f55v	H4	6	10	8	2	2	MULTI_SPECIALIST	AIIN OK AL OL Y OR Y OR	T AIN	EINTRAGEN · PORTION	Taschenkern diktieren; lokale Spezialfolge T+AIN positionsgetreu einsetzen.	die breitblaettrige rispige Pflanze	aiin okal oltchy or y orain	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter eintragen, als Ansatz beibehalten und als Ansatzportion fuehren.
H5-S001	f56r	H5	9	17	11	6	2	MULTI_SPECIALIST	OR AL Y AIIN K OL OT OR OK Y AL	HO CH HO HO HO CH	ZUTAT · ABNEHMEN · ZUTAT · ZUTAT · ZUTAT · ABNEHMEN	Taschenkern diktieren; lokale Spezialfolge HO+CH positionsgetreu einsetzen.	die mehrkoepfige stachelige Pflanze	chochor cho chodaly daiin sho kchol otchor choky dal	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz abnehmen, zum Ziel bringen und nach Mass weiter zudosieren; danach vom Ansatz abnehmen und den Posten am Ziel ansetzen.
H5-S002	f56r	H5	4	10	6	4	4	MULTI_SPECIALIST	Y OK Y EE O DY	RESUME_CARD HO CH CKH	WIEDERAUFNEHMEN · ZUTAT · ABNEHMEN · DURCHLASS	Taschenkern diktieren; lokale Spezialfolge RESUME_CARD+HO+CH+CKH positionsgetreu einsetzen.	die mehrkoepfige stachelige Pflanze	schol choy choky cheeckhody	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Gang durch den Durchlass abnehmen und schliessen.
H5-S003	f56r	H5	4	8	6	2	2	MULTI_SPECIALIST	K E Y OK OK Y	SH HO	HALTEN · ZUTAT	Taschenkern diktieren; lokale Spezialfolge SH+HO positionsgetreu einsetzen.	die mehrkoepfige stachelige Pflanze	sh cho kchey qokokchy	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zudosieren und ihn zweimal ansetzen.
H5-S004	f56r	H5	3	8	7	1	1	ONE_SPECIALIST_TYPE	OK Y OK E O K AL	CH	ABNEHMEN	Taschenkern diktieren; Spezialkarte CH an den belegten Stellen einsetzen.	die mehrkoepfige stachelige Pflanze	okchy chokcheo kchal	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Gang ansetzen und abnehmen; dann zum Ziel zudosieren.
H5-S005	f56r	H5	4	9	6	3	2	MULTI_SPECIALIST	OK Y K AR OT O	HO HO AIN	ZUTAT · ZUTAT · PORTION	Taschenkern diktieren; lokale Spezialfolge HO+AIN positionsgetreu einsetzen.	die mehrkoepfige stachelige Pflanze	sho chokchy kchoar sotodan	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereitstellen, den laufenden Posten ansetzen und die Zutat aus der Quelle zudosieren; danach eine Portion in den Gang nehmen.
H5-S006	f56r	H5	3	6	6	0	0	POCKET_ONLY	OT Y K E OL AIIN	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	die mehrkoepfige stachelige Pflanze	otchey keol daiin	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiterdosieren, bis das Mass erreicht ist.
B1-S001	f81v	B1	1	3	3	0	0	POCKET_ONLY	OK E DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das gemeinsame zweireihige Becken	qokedy	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.
B1-S002	f81v	B1	19	34	25	9	7	MULTI_SPECIALIST	OK AIIN K OK AL AR OL K OL K AL OL OL OL OR OL E AL AIIN OK EE AL AIIN Y DY	AIR AIN AIN R L SH CKH CKH CHD	LAUF · PORTION · PORTION · KUEHLEN · WEITERLEITEN · HALTEN · DURCHLASS · DURCHLASS · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge AIR+AIN+R+L+SH+CKH+CHD positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zudosieren. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
B1-S003	f81v	B1	2	5	3	2	2	MULTI_SPECIALIST	OL K DY	SH CHD	HALTEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge SH+CHD positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	qol sshkchdy	Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zudosieren und umsetzen; den Schritt schliessen.
B1-S004	f81v	B1	3	5	3	2	2	MULTI_SPECIALIST	Y OL DY	CHD SHED	UMSETZEN · ABSETZEN	Taschenkern diktieren; lokale Spezialfolge CHD+SHED positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	chedy ol shedy	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.
B1-S005	f81v	B1	1	3	2	1	1	ONE_SPECIALIST_TYPE	OL DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	das gemeinsame zweireihige Becken	qolchedy	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.
B1-S006	f81v	B1	4	7	3	4	4	MULTI_SPECIALIST	OK Y AL	AIN CKH L R	PORTION · DURCHLASS · WEITERLEITEN · KUEHLEN	Taschenkern diktieren; lokale Spezialfolge AIN+CKH+L+R positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	qokain shckhy dl ral	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen.
B1-S007	f81v	B1	1	3	2	1	1	ONE_SPECIALIST_TYPE	OK DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	das gemeinsame zweireihige Becken	qokchdy	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.
B1-S008	f81v	B1	5	8	6	2	2	MULTI_SPECIALIST	Y OL E Y OL DY	CHK SHED	WAERMEN · ABSETZEN	Taschenkern diktieren; lokale Spezialfolge CHK+SHED positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	chey ol cheky ol shedy	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.
B1-S009	f81v	B1	1	3	3	0	0	POCKET_ONLY	OK E DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das gemeinsame zweireihige Becken	qokedy	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S010	f81v	B1	1	3	3	0	0	POCKET_ONLY	OK E DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das gemeinsame zweireihige Becken	qokedy	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S011	f81v	B1	2	4	3	1	1	ONE_SPECIALIST_TYPE	Y OK Y	CKH	DURCHLASS	Taschenkern diktieren; Spezialkarte CKH an den belegten Stellen einsetzen.	das gemeinsame zweireihige Becken	chckhy qoky	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.
B1-S012	f81v	B1	3	8	6	2	1	ONE_SPECIALIST_TYPE	O OK E Y E DY	LSH LSH	WASCHEN · WASCHEN	Taschenkern diktieren; Spezialkarte LSH an den belegten Stellen einsetzen.	das gemeinsame zweireihige Becken	lsho qokey lshedy	Am gemeinsamen zweireihigen Becken: Den Gang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.
B1-S013	f81v	B1	1	3	2	1	1	ONE_SPECIALIST_TYPE	E DY	LSH	WASCHEN	Taschenkern diktieren; Spezialkarte LSH an den belegten Stellen einsetzen.	das gemeinsame zweireihige Becken	lshedy	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.
B1-S014	f81v	B1	5	10	6	4	3	MULTI_SPECIALIST	Y Y AL OL OT AR	CHD SOLK L CHD	UMSETZEN · AUFFANGEN · WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge CHD+SOLK+L positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	chedy qolky lchedal qol otar	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln.
B1-S015	f81v	B1	2	6	4	2	2	MULTI_SPECIALIST	E Y OK DY	T CHD	EINTRAGEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge T+CHD positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	ytey okchedy	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen.
