position	atomic_value_de	joint_tuple_id	hand_a	hand_b	hand_c	hand_d	distinct_surfaces	surface_behavior
1	Zutat	2cc054357a929df85f64	cho	cho	sho	cho	2	HAND_VARIABLE
2	Ansatz	7a4bb8136330ee4e6e56	or	or	sor	chor	3	HAND_VARIABLE
3	Auszugnahme	807591efc3d3f7ddbfab	cheoar	cheoar	cheoar	cheoar	1	INVARIANT
4	Langwärme	2c1a5fd92b9e3c762242	cheeky	cheeky	cheeky	cheeky	1	INVARIANT
5	Klarabzug	5fca8fc3dee57e1d8c1f	lcheey	lcheey	lcheey	lcheey	1	INVARIANT
6	Bereit	e0b630cb1b5df5e7105b	cthy	cthy	shcthy	checthy	3	HAND_VARIABLE
7	Diesposten	b921a237be883a820352	y	y	sy	chey	3	HAND_VARIABLE
8	Sollmaß	2f1c5e56e8f0ff459065	aiin	aiin	saiin	chaiin	3	HAND_VARIABLE
9	Zieleinsatz	4a7a6326ac95a8809302	qokaly	qokaly	qokaly	qokaly	1	INVARIANT
10	Langkontakt	0275fbf14e07935b0a45	okeey	qokeey	okeey	qokeey	2	HAND_VARIABLE
11	befestigen	eb2e4bc143f623ee03ac	qokylddy	qokylddy	qokylddy	qokylddy	1	INVARIANT
