adapter_card_id	card_class	register_scope	root_or_trigger	generic_phrase_de	owner_voice_phrase_de	double_y_phrase_de	source_state_event_count	owner_bound_target_support_count	support_rate	physical_page_count	statement_count	example_event_ids	guard
GDT567-A01	ARGUMENT_OWNER_VOICE	SOURCE_SECTION_T	Y	den Posten	den laufenden Eintrag	die beiden laufenden Einträge	82	82	1.000000000000	2	34	G407-E0010|G407-E0032|G407-E0033|G407-E0034|G407-E0056|G407-E0058|G407-E0082|G407-E0083	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A02	ARGUMENT_OWNER_VOICE	SOURCE_SECTION_T	AIIN	den Wert	den Kennwert	NOT_APPLICABLE	22	22	1.000000000000	2	14	G407-E0005|G407-E0067|G407-E0068|G407-E0074|G407-E0184|G407-E0187|G407-E0189|G407-E0196	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A03	ARGUMENT_OWNER_VOICE	SOURCE_SECTION_T	AIN	den Anteil	den Teilwert	NOT_APPLICABLE	4	4	1.000000000000	1	2	G407-E0071|G407-E0095|G407-E0099|G407-E0132	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A04	ARGUMENT_OWNER_VOICE	SOURCE_SECTION_T	OR	die Einheit	die Eintragseinheit	NOT_APPLICABLE	6	6	1.000000000000	2	5	G407-E0119|G407-E0210|G515-E0415|G515-E0417|G515-E0434|G515-E0445	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A05	ARGUMENT_OWNER_VOICE	HERBAL	Y	den Posten	den Pflanzenposten	die beiden Pflanzenposten	149	149	1.000000000000	12	60	G407-E0219|G407-E0229|G407-E0238|G407-E0239|G407-E0255|G407-E0256|G407-E0262|G407-E0268	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A06	ARGUMENT_OWNER_VOICE	HERBAL	AIIN	den Wert	den Arbeitswert	NOT_APPLICABLE	43	43	1.000000000000	10	30	G407-E0334|G407-E0339|G407-E0411|G407-E0433|G407-E0473|G407-E0516|G407-E0554|G407-E0555	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A07	ARGUMENT_OWNER_VOICE	HERBAL	AIN	den Anteil	den Materialanteil	NOT_APPLICABLE	21	21	1.000000000000	4	14	G407-E0648|G407-E0705|G407-E0720|G407-E4407|G407-E4408|G407-E4409|G407-E4426|G407-E4427	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A08	ARGUMENT_OWNER_VOICE	HERBAL	OR	die Einheit	die Arbeitseinheit	NOT_APPLICABLE	41	41	1.000000000000	10	17	G407-E0233|G407-E0253|G407-E0277|G407-E0279|G407-E0280|G407-E0281|G407-E0282|G407-E0292	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A09	ARGUMENT_OWNER_VOICE	CELESTIAL	Y	den Posten	den Positionsposten	die beiden Positionsposten	93	93	1.000000000000	4	34	G407-E0908|G407-E0913|G407-E0941|G407-E0975|G407-E1000|G407-E1002|G407-E1030|G407-E1031	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A10	ARGUMENT_OWNER_VOICE	CELESTIAL	AIIN	den Wert	den Positionswert	NOT_APPLICABLE	37	37	1.000000000000	3	17	G407-E0943|G407-E0944|G407-E0952|G407-E0954|G407-E1012|G407-E1014|G407-E1061|G407-E1086	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
GDT567-A11	ARGUMENT_OWNER_VOICE	CELESTIAL	OR	die Einheit	die Positionseinheit	NOT_APPLICABLE	14	14	1.000000000000	4	9	G407-E0958|G407-E0959|G407-E1034|G407-E1093|G407-E1113|G407-E1189|G407-E1190|G407-E1191	OWNER_VOICE_RENDERING_ONLY__ROOT_VALUE_UNCHANGED
