position	visible_surface_only	surface_candidate_cards	chosen_joint_tuple_id	recovered_atomic_value_de	recovered_slot_code	slot_rank	boundary_before	inferred_microcycle	visible_owner	formula_consulted	running_page_consulted	lookup_status
1	sor	1	7a4bb8136330ee4e6e56	Ansatz	S1_BEZUG_FOLGE	1	START	C1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
2	kain	1	9da1b6ac2c929daea697	Portion	S2_MATERIAL_MASS	2	CONTINUE_NONDECREASING_SLOT	C1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
3	daiin	1	2f1c5e56e8f0ff459065	Sollmaß	S2_MATERIAL_MASS	2	CONTINUE_NONDECREASING_SLOT	C1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
4	shckhy	1	2cc8bb3c2af19607888f	durchleiten	S3_PROZESS_TRANSFER	3	CONTINUE_NONDECREASING_SLOT	C1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
5	cheky	1	d904bf7b044dd3922781	Kurzwärme	S4_DAUER_ZUSTAND	4	CONTINUE_NONDECREASING_SLOT	C1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
6	al	1	dd0ecaf5e27d81befffc	Stelle	S5_ZIEL_ANWENDUNG	5	CONTINUE_NONDECREASING_SLOT	C1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
7	lcheey	1	5fca8fc3dee57e1d8c1f	Klarabzug	S3_PROZESS_TRANSFER	3	NEW_MICROCYCLE_BY_SLOT_DROP	C2	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
8	cphy	1	deb377381ceaf55ea310	Nachseihen	S3_PROZESS_TRANSFER	3	CONTINUE_NONDECREASING_SLOT	C2	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
9	sheey	1	92e43836d82f98bf02d3	Langhalt	S4_DAUER_ZUSTAND	4	CONTINUE_NONDECREASING_SLOT	C2	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
10	talam	1	e026af581c99322fbd46	Verwahren	S6_BEREIT_ABSCHLUSS	6	CONTINUE_NONDECREASING_SLOT	C2	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	UNIQUE_SURFACE_ON_173_CARD_BOARD
