teaching_unit_id	layer	unit_type	recognition_forms	spoken_value_de	concrete_context_values_de	specialist_surface_forms	observed_specialist_events	pages	teaching_rule_de
R-Y	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	Y	POSTEN	dieser Pflanzen-/Drogenposten | dieser Stationsposten | dieser Himmels-/Ringposten		0		Grundtafel: frei zusammensetzen.
R-OK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OK	SETZEN	im Ansatz ansetzen | an der Station ansetzen | Posten aktivieren		0		Grundtafel: frei zusammensetzen.
R-E	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	E	GRAD I	kurz, leicht oder einmal		0		Grundtafel: als allgemeinen Arbeitsgrad zusammensetzen; die lokale Handlung liefert Zeit-, Stärke- oder Umfangslesung.
R-DY	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DY	SCHLUSS	Teilansatz abschließen | Stationszelle schließen | Eintrag schließen		0		Grundtafel: frei zusammensetzen.
R-O	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	O	AUSFÜHREN	den Arbeitsschritt ausführen | Stationshandlung ausführen | eingetragene Operation ausführen		0		Grundtafel: frei zusammensetzen.
R-OL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OL	FORTSETZEN	denselben Ansatz fortführen | im selben Lauf fortfahren | in derselben Reihe fortfahren		0		Grundtafel: frei zusammensetzen.
R-EE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EE	GRAD II	länger, stärker oder als weiterer Durchgang		0		Grundtafel: als allgemeinen Arbeitsgrad zusammensetzen; die lokale Handlung liefert Zeit-, Stärke- oder Umfangslesung.
R-OT	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OT	DANACH	den nächsten Teilgang nehmen | zur nächsten Station | nächster Platz		0		Grundtafel: frei zusammensetzen.
R-AL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AL	ZIEL	in das Zielgefäß oder an die Gebrauchsstelle | zur Ziel-/Aufnahmestelle | Zielplatz		0		Grundtafel: frei zusammensetzen.
R-CH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CH	NEHMEN	vom bezeichneten Pflanzenteil entnehmen | aus Becken oder Vorrat entnehmen | Eintrag entnehmen/wählen		0		Grundtafel: frei zusammensetzen.
R-D_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	D_ADDR	TEIL	Wurzel-, Blatt-, Blüten- oder Fruchtteil | Teilbecken oder Arbeitsanteil | Unterplatz		0		Grundtafel: frei zusammensetzen.
R-SH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SH	HALTEN	halten, ziehen oder stehen lassen | an der Station halten | Posten festhalten		0		Grundtafel: frei zusammensetzen.
R-AR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AR	QUELLE	aus Wurzelstock oder Vorrat | von Ausgangs-/Entnahmestelle | Quellplatz		0		Grundtafel: frei zusammensetzen.
R-K	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	K	GEBEN	dem Ansatz zugeben | in die Station geben | Wert zuordnen		0		Grundtafel: frei zusammensetzen.
R-AIIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIIN	MASS	die vorgeschriebene Menge | die vorgeschriebene Stationsmenge | eingetragener Wert		0		Grundtafel: frei zusammensetzen.
R-S	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	S	AUSWÄHLEN	den bezeichneten Drogenposten wählen | sichtbare Station wählen | Ring-/Sternplatz wählen		0		Grundtafel: frei zusammensetzen.
R-CHD	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHD	UMSETZEN	in ein anderes Gefäß versetzen | zur nächsten Station versetzen | auf anderen Platz übertragen		0		Grundtafel: frei zusammensetzen.
R-OR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OR	ANSATZ	der laufende Ansatz | laufende Stationskonfiguration | Eintragsklasse		0		Grundtafel: frei zusammensetzen.
R-L	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	L	LEITEN	gießen, abführen oder durchleiten | über den sichtbaren Weg leiten | zu verbundenem Platz führen		0		Grundtafel: frei zusammensetzen.
R-T	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	T	STELLEN	Menge, Dauer oder Stufe einstellen | Stufe oder Stellung einstellen | Stellung/Grad einstellen		0		Grundtafel: frei zusammensetzen.
R-AIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIN	PORTION	eine Portion | eine Stationsfüllung | eine Tabellen- oder Ringzelle		0		Grundtafel: frei zusammensetzen.
R-R	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	R	MERKEN	den Teilgang oder Zustand kennzeichnen | Stationszustand markieren | Platz kennzeichnen		0		Grundtafel: frei zusammensetzen.
