statement_id	physical_page	owner_id	locus_span	surface_sequence	component_sequence	inherited_operation_de	source_statement_id	source_surface	source_rightmost_grade	target_grade	grade_transition	atomic_workshop_reading_de	local_grade_range_de	grade_neutral_fluent_de
P1009-S161	f75r	P1009_F75R_OWNER_01	f75r.41	oteedy	OT+EE+DY	SETZEN	P1009-S160	qokeedy	EE	EE	SAME	DANACH · SETZEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f75r / P1009_F75R_OWNER_01: danach im Grad II setzen; den Teilgang schließen.
P1009-S166	f75r	P1009_F75R_OWNER_01	f75r.42	qoteey qoteedy	OT+EE+Y | OT+EE+DY	SETZEN	P1009-S165	qokeedy	EE	EE	SAME	DANACH · SETZEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f75r / P1009_F75R_OWNER_01: danach im Grad II setzen; den Teilgang schließen.
P1009-S172	f75r	P1009_F75R_OWNER_01	f75r.44	otedy	OT+E+DY	SETZEN	P1009-S171	qokedy	E	E	SAME	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f75r / P1009_F75R_OWNER_01: danach im Grad I setzen; den Teilgang schließen.
P1009-S177	f75r	P1009_F75R_OWNER_01	f75r.45	qotedy	OT+E+DY	AUSWÄHLEN	P1009-S176	sarol oty otedy	E	E	SAME	DANACH · AUSWÄHLEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f75r / P1009_F75R_OWNER_01: danach im Grad I auswählen; den Teilgang schließen.
P1009-S178	f75r	P1009_F75R_OWNER_01	f75r.45	otedy	OT+E+DY	AUSWÄHLEN	P1009-S176	sarol oty otedy	E	E	SAME	DANACH · AUSWÄHLEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f75r / P1009_F75R_OWNER_01: danach im Grad I auswählen; den Teilgang schließen.
P1009-S187	f76r	F76R_TEXT_SECTION_A0	f76r.3	otedy	OT+E+DY	GEBEN	P1009-S186	shky qotedy	E	E	SAME	DANACH · GEBEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f76r / F76R_TEXT_SECTION_A0: danach im Grad I geben; den Teilgang schließen.
P1009-S222	f76r	F76R_TEXT_SECTION_A5	f76r.19	otedyl	OT+E+DY	UMSETZEN	P1009-S221	qolchedy	NONE	E	FIRST_ASSIGNED	DANACH · UMSETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f76r / F76R_TEXT_SECTION_A5: danach im Grad I umsetzen; den Teilgang schließen.
P1009-S274	f76r	F76R_TEXT_SECTION_C	f76r.46	otedy	OT+E+DY	SETZEN	P1009-S273	qochy as oin sheey chckhy dain shear okedy	E	E	SAME	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f76r / F76R_TEXT_SECTION_C: danach im Grad I setzen; den Teilgang schließen.
P1009-S293	f76r	F76R_TEXT_SECTION_D	f76r.53	qoteedy	OT+EE+DY	ABSETZEN	P1009-S292	ol chedor chal shed	EE	EE	SAME	DANACH · ABSETZEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f76r / F76R_TEXT_SECTION_D: danach im Grad II absetzen; den Teilgang schließen.
P1009-S307	f77r	P1009_F77R_OWNER_01	f77r.11	oteedy	OT+EE+DY	SETZEN	P1009-S306	shcthey qokeedy	EE	EE	SAME	DANACH · SETZEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f77r / P1009_F77R_OWNER_01: danach im Grad II setzen; den Teilgang schließen.
