null_variant	metric	observed	null_draws	null_mean	null_q05	null_q50	null_q95	null_max	upper_tail_p_add_one	interpretation_note
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	field_hit_cells	18	5000	11.3728	8	11	14	16	0.000199960007998	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	field_exposure_cells	45	5000	35.1998	28	35	41	45	0.00199960007998	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	field_specificity_rate	0.4	5000	0.321571635973	0.277777777778	0.324324324324	0.357142857143	0.46875	0.00239952009598	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	positioned_amount_neighbour_cells	15	5000	14.406	11	15	18	20	0.518696260748	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	open_positioned_amount_neighbour_cells	14	5000	14.0056	10	14	17	19	0.648470305939	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	gdt760_clean_content_contact_cells	0	5000	0.4004	0	0	1	3	1	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	field_or_positioned_neighbour_union_cells	30	5000	23.9226	18	24	29	32	0.0145970805839	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	field_or_open_positioned_neighbour_union_cells	29	5000	23.5222	17	24	28	30	0.0163967206559	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	field_form_breadth	6	5000	4.7464	3	5	6	8	0.202159568086	Outcome-blind aggregate match on total events, union pages, style and line-end distance
PRIMARY_AGGREGATE_MATCHED_200000_KEEP5000	positioned_amount_neighbour_form_breadth	5	5000	4.1126	3	4	6	8	0.334533093381	Outcome-blind aggregate match on total events, union pages, style and line-end distance
