surface	stem	gdt800_l_occurrences	gdt800_l_pages	gdt803_bracket_occurrences	outside_bracket_occurrences	outside_bracket_pages	common_mask_field_exposures	common_mask_licensed_hits	common_mask_hit_pages	common_mask_channel_counts	positioned_amount_neighbour_hits	positioned_open_amount_neighbour_hits	gdt760_clean_content_contact_hits	quality_value_right_spans	cross_map_role	preferred_role_class	conservative_working_default_de	aggressive_working_default_de	confidence	leading_channel	concrete_noun_priority	positive_evidence_code	counterevidence_code	literal_identity	confirmed_lexeme	component_export_credit
chal	cha	42	26	1	41	26	2	0	0	NONE	0	0	0	0	NO_INDEPENDENT_MAP_HIT	QUALITY_OR_MATERIAL_FIELD	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	Trockenstoff oder Trockenheitsachse in Ausgangsform	C0	DESCRIPTIVE	4	GDT762_BROAD_DRY_MATERIAL_CONTACT	ZERO_INDEPENDENT_COMMON_MASK_FIELD_HITS	OPEN	0	0
chedal	cheda	22	15	1	21	15	1	0	0	NONE	0	0	0	0	NO_INDEPENDENT_MAP_HIT	MATERIAL_OR_AMOUNT_FIELD	Trockenstoff-/Mengenfeld; genaue Identität offen	abgewogener Trockenstoff- oder Rohstoffposten	C0	PRESCRIPTIVE	4	RECURRENT_EXACT_WHOLE__AMOUNT_DRY_MATERIAL_RIVAL	ZERO_INDEPENDENT_COMMON_MASK_FIELD_HITS	OPEN	0	0
cheol	cheo	142	71	1	141	71	7	4	4	DESCRIPTIVE_MATERIA:3|QUANTITY_OR_PART:1	3	3	0	4	FIELD_AND_POSITIONAL_AMOUNT_NEIGHBOUR	MATERIAL_OR_QUALITY_AXIS	Stoff-/Zubereitungs- oder Qualitätsachse; Identität offen	Trockenheitsachse oder Trockengut	C1	DESCRIPTIVE	1	FOUR_COMMON_MASK_FIELDS__THREE_PREFERRED_SIDE_AMOUNT_NEIGHBOURS__THREE_ALL_READER_CHEOL_DAIIN	ZERO_GDT760_CLEAN_TARGET_CONTENT_CONTACTS__DRY_IDENTITY_INHERITED__ONLY_TWO_EXTERNAL_SEQUENCE_REPLICATIONS__K12_NO_SPECIFICITY_LEAD	OPEN	0	0
okail	okai	1	1	1	0	0	0	0	0	NONE	0	0	0	0	NO_INDEPENDENT_MAP_HIT	OPAQUE_ENTRY	Ansatz-/Form-II-Eintrag; Identität offen	Ansatz- oder Form-II-Eintrag	C0	OPAQUE	8	GDT803_EXACT_BRACKET_ONLY	ZERO_EXTERNAL_CAPACITY	OPEN	0	0
okal	oka	123	64	1	122	63	5	1	1	DESCRIPTIVE_MATERIA:1	1	1	0	0	FIELD_AND_POSITIONAL_AMOUNT_NEIGHBOUR	OPAQUE_SYSTEM_ENTRY	Kennstellen-/Systemeintrag; Ansatz-/Materialrivale offen	Klassen-, Slot- oder Systemeintragscode	C0	OPAQUE	7	ONE_COMMON_MASK_FIELD__GDT793_CROSS_REGISTER_CODE	OPAQUE_PRODUCTIVE_RENDERER_SURVIVES	OPEN	0	0
ol	o	463	108	1	462	108	19	9	8	DESCRIPTIVE_MATERIA:4|DESCRIPTIVE_QUALITY:3|PRESCRIPTIVE_RECIPE:2	9	9	0	0	FIELD_AND_POSITIONAL_AMOUNT_NEIGHBOUR	GENERAL_CONTENT_CARRIER	allgemeiner mengenfähiger Zubereitungs-/Inhaltsträger	Ansatz oder Zubereitung; mengenfähiger Stoffträger	C2	PRESCRIPTIVE	3	NINE_COMMON_MASK_FIELDS__NINE_PREFERRED_SIDE_AMOUNT_NEIGHBOURS__GDT762_GDT764	NO_GDT760_CLEAN_CONTENT_CONTACT_HERE__WATER_WINE_OIL_UNRESOLVED	OPEN	0	0
otal	ota	119	57	2	117	57	5	2	2	DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1	1	1	0	0	FIELD_AND_POSITIONAL_AMOUNT_NEIGHBOUR	PREPARATION_OR_QUALITY_HEAD	Materia-/Qualitätseintrag; Achse offen	kalter oder unerhitzter Ausgangsansatz beziehungsweise Zutat	C1	PRESCRIPTIVE	2	TWO_COMMON_MASK_FIELDS__ONE_PREFERRED_SIDE_AMOUNT_NEIGHBOUR	MATERIA_AND_QUALITY_CHANNELS_MIXED__NO_GDT760_CLEAN_CONTENT_CONTACT	OPEN	0	0
qokeol	qokeo	39	26	1	38	26	2	1	1	DESCRIPTIVE_MATERIA:1	0	0	0	0	FIELD_ONLY	PROCESS_OR_PREPARATION_FIELD	Heißbehandlungs-/Heißstofffeld; Träger offen	Heißbehandlungs- oder Heißstofffeld der Mittelstufe	C0	PRESCRIPTIVE	6	ONE_COMMON_MASK_FIELD__GDT753_WHOLE_FIELD	OLD_LITERAL_IMPERATIVE_DEMOTED	OPEN	0	0
qokol	qoko	88	51	1	87	51	1	1	1	DESCRIPTIVE_MATERIA:1	1	0	0	0	FIELD_AND_POSITIONAL_AMOUNT_NEIGHBOUR	PROCESS_OR_PREPARATION_FIELD	Erhitzungs-/Zubereitungsfeld; Verbstatus offen	Erhitzungsfeld oder erhitzte Zubereitung	C0	PRESCRIPTIVE	6	ONE_COMMON_MASK_FIELD__ONE_PREFERRED_SIDE_AMOUNT_NEIGHBOUR__FOUR_EXTERNAL_READER_STABLE_RIGHT_VALUE_SPANS	NO_GDT760_CLEAN_CONTENT_CONTACT__OLD_PROCESS_AND_CONTENT_RIVALS_CONFLICT	OPEN	0	0
qotal	qota	57	36	1	56	35	3	0	0	NONE	0	0	0	0	NO_INDEPENDENT_MAP_HIT	QUALITY_OR_MATERIAL_FIELD	Kalt-/Materialfeld; genaue Achse offen	Kaltstoff- oder kalte Ausgangsform-Achse	C0	DESCRIPTIVE	5	THREE_COMMON_MASK_EXPOSURES	ZERO_COMMON_MASK_LICENSED_HITS__OLD_SELF_ANCHOR_CIRCULAR	OPEN	0	0
