cell_key	surface	page	locus	token_ordinal	common_mask_field_hit	positioned_amount_neighbour_hit	open_positioned_amount_neighbour_hit	gdt760_clean_content_contact	field_channels	amount_expressions	union_cell_id	selected_role_credit	literal_identity_credit	component_export_credit
f104r|f104r.23|1|ol	ol	f104r	f104r.23	1	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U001	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f104r|f104r.32|5|cheol	cheol	f104r	f104r.32	5	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U002	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f104v|f104v.13|4|qokeol	qokeol	f104v	f104v.13	4	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U003	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f105v|f105v.26|5|otal	otal	f105v	f105v.26	5	0	1	1	0	NONE	or aiin	G804-U004	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f105v|f105v.7|4|ol	ol	f105v	f105v.7	4	1	0	0	0	PRESCRIPTIVE_RECIPE	NONE	G804-U005	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f107v|f107v.38|6|qokol	qokol	f107v	f107v.38	6	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U006	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f108v|f108v.49|6|cheol	cheol	f108v	f108v.49	6	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U007	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f108v|f108v.52|2|cheol	cheol	f108v	f108v.52	2	0	1	1	0	NONE	saiin	G804-U008	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f112r|f112r.36|2|ol	ol	f112r	f112r.36	2	1	1	1	0	DESCRIPTIVE_MATERIA	sain	G804-U009	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f112r|f112r.40|2|okal	okal	f112r	f112r.40	2	0	1	1	0	NONE	sain	G804-U010	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f112r|f112r.9|2|ol	ol	f112r	f112r.9	2	0	1	1	0	NONE	saiin	G804-U011	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f112v|f112v.5|5|otal	otal	f112v	f112v.5	5	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U012	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f115r|f115r.15|10|cheol	cheol	f115r	f115r.15	10	1	0	0	0	QUANTITY_OR_PART	NONE	G804-U013	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f46r|f46r.3|8|qokol	qokol	f46r	f46r.3	8	0	1	0	0	NONE	s aiin	G804-U014	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f48v|f48v.6|7|ol	ol	f48v	f48v.6	7	0	1	1	0	NONE	or ain	G804-U015	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f55v|f55v.10|2|ol	ol	f55v	f55v.10	2	0	1	1	0	NONE	s aiin	G804-U016	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f78r|f78r.37|2|ol	ol	f78r	f78r.37	2	0	1	1	0	NONE	s aiin	G804-U017	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
