retained_rank	source_draw	aggregate_match_distance	control_surfaces	aggregate_events	aggregate_pages	field_hit_cells	field_exposure_cells	field_specificity_rate	positioned_amount_neighbour_cells	open_positioned_amount_neighbour_cells	gdt760_clean_content_contact_cells	field_or_positioned_neighbour_union_cells	field_or_open_positioned_neighbour_union_cells	field_form_breadth	positioned_amount_neighbour_form_breadth	open_positioned_amount_neighbour_form_breadth	gdt760_clean_content_contact_form_breadth	field_and_positioned_neighbour_form_breadth	field_and_open_positioned_neighbour_form_breadth	field_and_clean_content_form_breadth	field_or_positioned_neighbour_union_pages	field_or_open_positioned_neighbour_union_pages	global_l_occurrences
1	60498	0.259779722938	al|cheal|chl|daiil|dal|okeol|qokal|qokeeal|sheol|shol|sol	986	153	12	38	0.315789473684	13	12	1	22	21	6	4	3	1	4	3	1	16	15	986
2	117378	0.263866018498	al|daiil|dal|okeol|pal|qokal|sal|sheol|shol|sol|tal	989	153	10	32	0.3125	13	13	0	20	20	4	4	4	0	3	3	0	15	15	989
3	13991	0.265184518336	airal|al|dal|lolol|okeol|qokal|sal|sheal|sheol|shol|sol	983	153	11	33	0.333333333333	13	13	0	21	21	5	4	4	0	3	3	0	15	15	983
4	88798	0.266820236707	al|chl|dal|kal|oal|okeol|qetal|qokal|sheol|shol|sol	985	154	11	35	0.314285714286	12	12	0	20	20	5	3	3	0	3	3	0	15	15	985
5	109488	0.266865611849	al|dal|dol|kal|okeol|pal|qokal|sheol|shol|sol|tedal	1033	158	10	33	0.30303030303	12	12	0	19	19	4	3	3	0	3	3	0	14	14	1033
6	96621	0.269689896205	al|cheal|dal|dol|pal|qetal|qokal|sal|sheol|shol|sol	1027	156	11	36	0.305555555556	14	13	1	22	21	5	5	4	1	4	3	1	16	15	1027
7	46362	0.271585144639	al|chl|dal|okeol|opalal|qokal|qokeeal|sheol|shol|sol|tal	980	153	11	34	0.323529411765	12	12	0	20	20	5	3	3	0	3	3	0	15	15	980
8	12367	0.272061441596	al|chl|dal|okeol|oldal|qokal|qotol|sheol|shol|sol|tedal	1003	156	11	34	0.323529411765	12	12	0	20	20	5	3	3	0	3	3	0	15	15	1003
9	39226	0.272605552802	al|chl|dal|lkeal|okeol|oldal|qokal|sheol|shol|sol|tal	980	153	11	34	0.323529411765	12	12	0	20	20	5	3	3	0	3	3	0	15	15	980
10	188713	0.272854969529	al|chl|dal|dol|kal|oal|qetal|qokal|sheol|shol|sol	1017	156	11	35	0.314285714286	12	12	0	20	20	5	3	3	0	3	3	0	15	15	1017
