quality_value_id	page	locus	section	language	hand	head_ordinal	head_surface	value_surface	exact_span_eva	head_token_stable_all_three	value_token_stable_all_three	both_tokens_stable_all_three	contiguous_sequence_present_all_three	is_gdt803_discovery_span	safe_renderer_de	aggressive_renderer_de	aggressive_confidence	written_line_eva	literal_identity_credit	component_export_credit
G804-QV001	f100r	f100r.25	P	A	1	3	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	0	0
G804-QV002	f102r1	f102r1.15	P	A	1	2	chol	daiin	chol daiin	1	0	0	0	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	or chol daiin dykeor sheey qokeody dor os ykeeykam	0	0
G804-QV003	f102v1	f102v1.13	P	A	1	5	cheol	daiin	cheol daiin	1	0	0	1	0	Stoff-/Zubereitungs- oder Trockenheitsfeld, Wert III	trocken oder Trockengut, dritter Grad	C0	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	0	0
G804-QV004	f106r	f106r.43	S	B	3	2	sheol	daiin	sheol daiin	0	0	0	0	0	Feuchtigkeits-/Feuchtgutfeld, Wert III	feucht oder eingeweicht, dritter Grad	C0	daiiral sheol daiin otedy qokain okar cheor al taiin chekal otaras	0	0
G804-QV005	f10r	f10r.8	H	A	1	6	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	qotchor chor otol chol cholor chol daiin dar	0	0
G804-QV006	f10v	f10v.5	H	A	1	6	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	sho ykeey daiin qotchy qotor chol daiin qokchy ky	0	0
G804-QV007	f111v	f111v.23	S	B	3	9	cheol	daiin	cheol daiin	1	1	1	1	1	Stoff-/Zubereitungs- oder Trockenheitsfeld, Wert III	trocken oder Trockengut, dritter Grad	C0	qokaiin sheckhy qokar chalkain chckhedy lcheol okaiin qokain cheol daiin lam	0	0
G804-QV008	f14v	f14v.2	H	A	1	9	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	okchor d chytshy oty chy cthy otchy ty chol daiin	0	0
G804-QV009	f15r	f15r.14	H	A	1	3	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	otcho kchy chol daiin ar ytol dor dom	0	0
G804-QV010	f15v	f15v.11	H	A	1	4	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	sol oiin cheor chol daiin cthy	0	0
G804-QV011	f18r	f18r.2	H	A	1	7	chol	dain	chol dain	1	0	0	0	0	Trockenheits-/Trockengutfeld, Wert II	trocken, zweiter Grad	C1	otshol qokchol chykchy okchal daiin dy chol dain	0	0
G804-QV012	f19v	f19v.3	H	A	1	2	chol	daiin	chol daiin	0	0	0	0	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	otchy chol daiin qotol ytol daiiin	0	0
G804-QV013	f20v	f20v.10	H	A	1	3	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	shokaiin chocthy chol daiin chy chor ety	0	0
