field_exposure_id	surface	is_gdt803_middle	page	locus	token_ordinal	side	distance	host_target_surface	host_gdt744_field_id	field_channel_after_common_mask	independently_licensed_field	field_confidence_tier	foreign_anchor_surfaces	foreign_anchor_tags	cell_key	semantic_role_credit	literal_identity_credit	component_export_credit
G804-FX0001	cheal	0	f103r	f103r.9	3	L	3	lkaiin	G744-F0019	OPEN	0	F0_OPEN	NONE	NONE	f103r|f103r.9|3|cheal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0002	ol	1	f103v	f103v.9	10	L	1	lkar	G744-F0090	OPEN	0	F0_OPEN	NONE	NONE	f103v|f103v.9|10|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0003	ol	1	f104r	f104r.23	1	L	5	lkain	G744-F0063	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	otchor	AMOUNT|COLD|DRY|MATERIAL|PREPARATION	f104r|f104r.23|1|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0004	chol	0	f104r	f104r.23	3	L	3	lkain	G744-F0063	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	otchor	AMOUNT|COLD|DRY|MATERIAL|PREPARATION	f104r|f104r.23|3|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0005	okeedal	0	f104r	f104r.23	5	L	1	lkain	G744-F0063	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	otchor	AMOUNT|COLD|DRY|MATERIAL|PREPARATION	f104r|f104r.23|5|okeedal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0006	chol	0	f104r	f104r.23	7	R	1	lkain	G744-F0063	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	otchor	AMOUNT|COLD|DRY|MATERIAL|PREPARATION	f104r|f104r.23|7|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0007	qotal	1	f104r	f104r.24	3	L	4	lkaiin	G744-F0021	OPEN	0	F0_OPEN	NONE	NONE	f104r|f104r.24|3|qotal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0008	cheol	1	f104r	f104r.32	5	L	3	lkaiin	G744-F0022	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	okshey	HOT|MOIST|PREPARATION|VALUE	f104r|f104r.32|5|cheol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0009	qokal	0	f104r	f104r.33	4	L	4	lkaiin	G744-F0023	OPEN	0	F0_OPEN	NONE	NONE	f104r|f104r.33|4|qokal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0010	qokeol	1	f104v	f104v.13	4	L	4	lkaiin	G744-F0025	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	cheo	DRY|PREPARATION	f104v|f104v.13|4|qokeol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0011	okeeol	0	f105r	f105r.15	8	R	1	lkaiin	G744-F0026	OPEN	0	F0_OPEN	NONE	NONE	f105r|f105r.15|8|okeeol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0012	aral	0	f105r	f105r.15	12	R	5	lkaiin	G744-F0026	OPEN	0	F0_OPEN	NONE	NONE	f105r|f105r.15|12|aral	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0013	okol	0	f105v	f105v.37	7	R	2	lkaiin	G744-F0028	PRESCRIPTIVE_RECIPE	1	F3_RECURRENT_COMPLETE_CONTEXT	qoeeo|sheo	MOIST|PASS|PREPARATION	f105v|f105v.37|7|okol	FIELD_NEIGHBOUR_ONLY	0	0
