amount_slot_id	expression_id	surface	is_gdt803_middle	page	physical_folio	locus	token_ordinal	expression_line_position	selected_side	amount_expression_eva	amount_candidate_de	slot_axis_class	slot_axes_before_gdt804	source_content_attachment_sides	source_clean_content_attachment_count	selected_side_is_clean_content_contact	open_positional_candidate	candidate_status	discovery_cell_excluded	cell_key	role_scope	literal_identity_credit	component_export_credit
G804-AS0001	G760-E0004	lol	0	f103r	f103	f103r.14	7	MIDDLE	LEFT	s aiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f103r|f103r.14|7|lol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0002	G760-E0010	sal	0	f103v	f103	f103v.29	6	MIDDLE	LEFT	araiin	drei Anteile	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f103v|f103v.29|6|sal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0003	G760-E0022	qokedal	0	f105r	f105	f105r.21	5	MIDDLE	LEFT	saiin	drei Drachmen	OPEN	NONE	R	1	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f105r|f105r.21|5|qokedal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0004	G760-E0026	otal	1	f105v	f105	f105v.26	5	MIDDLE	LEFT	or aiin	drei Portionen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f105v|f105v.26|5|otal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0005	G760-E0036	chol	0	f107v	f107	f107v.33	2	FIRST	RIGHT	orain	zwei Portionen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f107v|f107v.33|2|chol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0006	G760-E0042	al	0	f108v	f108	f108v.11	2	FIRST	RIGHT	sain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f108v|f108v.11|2|al	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0007	G760-E0050	cheol	1	f108v	f108	f108v.52	2	FIRST	RIGHT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f108v|f108v.52|2|cheol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0008	G760-E0060	al	0	f111r	f111	f111r.40	2	FIRST	RIGHT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f111r|f111r.40|2|al	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0009	G760-E0061	olchal	0	f111r	f111	f111r.46	10	MIDDLE	LEFT	or aiin	drei Portionen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f111r|f111r.46|10|olchal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0010	G760-E0067	cheal	0	f111v	f111	f111v.51	2	FIRST	RIGHT	sain	zwei Drachmen	CONTENT_PREP	DRY|MATERIAL|MIDDLE_STAGE	R	1	1	0	GDT760_LICENSED_CONTENT_CONTACT	0	f111v|f111v.51|2|cheal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0012	G760-E0071	al	0	f112r	f112	f112r.18	2	FIRST	RIGHT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f112r|f112r.18|2|al	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0013	G760-E0075	ol	1	f112r	f112	f112r.36	2	FIRST	RIGHT	sain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f112r|f112r.36|2|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0014	G760-E0076	okal	1	f112r	f112	f112r.40	2	FIRST	RIGHT	sain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f112r|f112r.40|2|okal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0011	G760-E0070	ol	1	f112r	f112	f112r.9	2	FIRST	RIGHT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f112r|f112r.9|2|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0015	G760-E0090	al	0	f113r	f113	f113r.43	5	MIDDLE	LEFT	s aiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f113r|f113r.43|5|al	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0016	G760-E0096	al	0	f114r	f114	f114r.23	7	MIDDLE	LEFT	s ain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f114r|f114r.23|7|al	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0017	G760-E0098	qokal	0	f114r	f114	f114r.36	7	MIDDLE	LEFT	sain	zwei Drachmen	OPEN	NONE	R	1	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f114r|f114r.36|7|qokal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
