surface	reader_stable_occurrences	reader_stable_pages	reader_stable_right_context_opportunities	reader_stable_right_context_pages	reader_stable_right_dain_daiin_spans	gdt803_discovery_right_value_spans	external_reader_stable_right_value_spans	reader_stable_right_value_pages	right_value_type_counts	right_value_span_rate	semantic_identity_credit
chal	35	20	29	17	1	0	1	1	daiin:1	0.0344827586207	0
chedal	15	10	14	9	1	0	1	1	daiin:1	0.0714285714286	0
cheol	118	65	114	65	2	1	1	2	daiin:2	0.0175438596491	0
okail	1	1	1	1	0	0	0	0	NONE	0	0
okal	102	59	91	56	0	0	0	0	NONE	0	0
ol	376	98	339	95	9	0	9	9	daiin:7|dain:2	0.0265486725664	0
otal	109	53	99	48	1	0	1	1	dain:1	0.010101010101	0
qokeol	34	24	33	23	1	0	1	1	daiin:1	0.030303030303	0
qokol	82	48	82	48	4	0	4	4	daiin:4	0.0487804878049	0
qotal	54	35	49	32	1	0	1	1	daiin:1	0.0204081632653	0
sail	1	1	1	1	0	0	0	0	NONE	0	0
