rank_for_concrete_followup	surface	decision	selected_working_role	safe_default_de	aggressive_default_de	confidence	field_hits	positioned_amount_neighbour_hits	gdt760_clean_content_contact_hits	quality_value_spans	positive_evidence	counterevidence	confirmed_lexeme	component_export_credit
1	cheol	RETAIN_BEST_MATERIAL_RIVAL__NO_RIGHT_VALUE_SPECIFICITY_LEAD	MATERIAL_OR_QUALITY_AXIS	Stoff-/Zubereitungs- oder Qualitätsachse; Identität offen	Trockenheitsachse oder Trockengut	C1	4	3	0	4	FOUR_COMMON_MASK_FIELDS__THREE_PREFERRED_SIDE_AMOUNT_NEIGHBOURS__THREE_ALL_READER_CHEOL_DAIIN	ZERO_GDT760_CLEAN_TARGET_CONTENT_CONTACTS__DRY_IDENTITY_INHERITED__ONLY_TWO_EXTERNAL_SEQUENCE_REPLICATIONS__K12_NO_SPECIFICITY_LEAD	0	0
2	otal	RETAIN_WHOLE_SPECIFIC_FIELD_LEAD	PREPARATION_OR_QUALITY_HEAD	Materia-/Qualitätseintrag; Achse offen	kalter oder unerhitzter Ausgangsansatz beziehungsweise Zutat	C1	2	1	0	0	TWO_COMMON_MASK_FIELDS__ONE_PREFERRED_SIDE_AMOUNT_NEIGHBOUR	MATERIA_AND_QUALITY_CHANNELS_MIXED__NO_GDT760_CLEAN_CONTENT_CONTACT	0	0
3	ol	RETAIN_GENERAL_QUANTITY_BEARING_CARRIER	GENERAL_CONTENT_CARRIER	allgemeiner mengenfähiger Zubereitungs-/Inhaltsträger	Ansatz oder Zubereitung; mengenfähiger Stoffträger	C2	9	9	0	0	NINE_COMMON_MASK_FIELDS__NINE_PREFERRED_SIDE_AMOUNT_NEIGHBOURS__GDT762_GDT764	NO_GDT760_CLEAN_CONTENT_CONTACT_HERE__WATER_WINE_OIL_UNRESOLVED	0	0
4	chal	RETAIN_OPEN_ROLE_RIVAL	QUALITY_OR_MATERIAL_FIELD	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	Trockenstoff oder Trockenheitsachse in Ausgangsform	C0	0	0	0	0	GDT762_BROAD_DRY_MATERIAL_CONTACT	ZERO_INDEPENDENT_COMMON_MASK_FIELD_HITS	0	0
4	chedal	RETAIN_OPEN_ROLE_RIVAL	MATERIAL_OR_AMOUNT_FIELD	Trockenstoff-/Mengenfeld; genaue Identität offen	abgewogener Trockenstoff- oder Rohstoffposten	C0	0	0	0	0	RECURRENT_EXACT_WHOLE__AMOUNT_DRY_MATERIAL_RIVAL	ZERO_INDEPENDENT_COMMON_MASK_FIELD_HITS	0	0
5	qotal	RETAIN_OPEN_ROLE_RIVAL	QUALITY_OR_MATERIAL_FIELD	Kalt-/Materialfeld; genaue Achse offen	Kaltstoff- oder kalte Ausgangsform-Achse	C0	0	0	0	0	THREE_COMMON_MASK_EXPOSURES	ZERO_COMMON_MASK_LICENSED_HITS__OLD_SELF_ANCHOR_CIRCULAR	0	0
6	qokeol	RETAIN_WHOLE_SPECIFIC_FIELD_LEAD	PROCESS_OR_PREPARATION_FIELD	Heißbehandlungs-/Heißstofffeld; Träger offen	Heißbehandlungs- oder Heißstofffeld der Mittelstufe	C0	1	0	0	0	ONE_COMMON_MASK_FIELD__GDT753_WHOLE_FIELD	OLD_LITERAL_IMPERATIVE_DEMOTED	0	0
6	qokol	RETAIN_PROCESS_RIVAL__STRONGEST_EXTERNAL_RIGHT_VALUE_COUNT	PROCESS_OR_PREPARATION_FIELD	Erhitzungs-/Zubereitungsfeld; Verbstatus offen	Erhitzungsfeld oder erhitzte Zubereitung	C0	1	1	0	0	ONE_COMMON_MASK_FIELD__ONE_PREFERRED_SIDE_AMOUNT_NEIGHBOUR__FOUR_EXTERNAL_READER_STABLE_RIGHT_VALUE_SPANS	NO_GDT760_CLEAN_CONTENT_CONTACT__OLD_PROCESS_AND_CONTENT_RIVALS_CONFLICT	0	0
7	okal	RETAIN_OPAQUE_ENTRY_MODEL	OPAQUE_SYSTEM_ENTRY	Kennstellen-/Systemeintrag; Ansatz-/Materialrivale offen	Klassen-, Slot- oder Systemeintragscode	C0	1	1	0	0	ONE_COMMON_MASK_FIELD__GDT793_CROSS_REGISTER_CODE	OPAQUE_PRODUCTIVE_RENDERER_SURVIVES	0	0
8	okail	RETAIN_OPAQUE_ENTRY_MODEL	OPAQUE_ENTRY	Ansatz-/Form-II-Eintrag; Identität offen	Ansatz- oder Form-II-Eintrag	C0	0	0	0	0	GDT803_EXACT_BRACKET_ONLY	ZERO_EXTERNAL_CAPACITY	0	0
8	sail	RETAIN_OPAQUE_ENTRY_MODEL	OPAQUE_ENTRY	Chargen-/Form-II-Eintrag; Stoffart offen	Charge oder Form-II-Eintrag	C0	0	0	0	0	GDT803_EXACT_BRACKET_ONLY	OLD_SEED_READING_RETIRED__ZERO_EXTERNAL_READER_EXACT_CAPACITY	0	0
