pool_variant	target_surface	neighbor_rank	control_surface	individual_covariate_distance	outcome_fields_used_for_matching
PRIMARY_K12	chal	1	okeol	0.708743827601	NONE
PRIMARY_K12	chal	2	sal	0.792241517118	NONE
PRIMARY_K12	chal	3	qotol	0.811382464212	NONE
PRIMARY_K12	chal	4	tol	0.956477536249	NONE
PRIMARY_K12	chal	5	chl	1.01426633304	NONE
PRIMARY_K12	chal	6	oteol	1.10276385126	NONE
PRIMARY_K12	chal	7	kal	1.16599322841	NONE
PRIMARY_K12	chal	8	lol	1.18594040337	NONE
PRIMARY_K12	chal	9	kol	1.36358055538	NONE
PRIMARY_K12	chal	10	okol	1.42882602726	NONE
PRIMARY_K12	chal	11	cheal	1.4719596359	NONE
PRIMARY_K12	chal	12	sol	1.52570396802	NONE
PRIMARY_K12	chedal	1	cheal	0.797370546196	NONE
PRIMARY_K12	chedal	2	chl	1.01022883603	NONE
PRIMARY_K12	chedal	3	chdal	1.06320691845	NONE
PRIMARY_K12	chedal	4	kal	1.13378332594	NONE
PRIMARY_K12	chedal	5	rol	1.13642632366	NONE
PRIMARY_K12	chedal	6	sheal	1.14807039259	NONE
PRIMARY_K12	chedal	7	keol	1.16077076767	NONE
PRIMARY_K12	chedal	8	ral	1.21909212028	NONE
PRIMARY_K12	chedal	9	shal	1.23115091907	NONE
PRIMARY_K12	chedal	10	dl	1.24156028727	NONE
PRIMARY_K12	chedal	11	odal	1.36211240609	NONE
PRIMARY_K12	chedal	12	tal	1.42450317083	NONE
PRIMARY_K12	cheol	1	shol	0.865104201592	NONE
PRIMARY_K12	cheol	2	al	1.02924636852	NONE
PRIMARY_K12	cheol	3	sheol	1.05835932921	NONE
PRIMARY_K12	cheol	4	qokal	1.11601819864	NONE
PRIMARY_K12	cheol	5	dal	1.11769441857	NONE
PRIMARY_K12	cheol	6	dol	1.47888722421	NONE
PRIMARY_K12	cheol	7	chol	2.02760704163	NONE
PRIMARY_K12	cheol	8	okol	2.11955386891	NONE
PRIMARY_K12	cheol	9	sol	2.12771829756	NONE
PRIMARY_K12	cheol	10	qotol	2.431118131	NONE
PRIMARY_K12	cheol	11	okeol	2.63858014658	NONE
