cohort	control_rank	surface	individual_covariate_distance	zl3b_l_occurrences	zl3b_right_dain_daiin_spans	zl3b_right_value_span_rate	zl3b_at_least_cheol_span_count	zl3b_at_least_cheol_span_rate	zl3b_at_least_cheol_count_and_rate	reader_stable_occurrences	reader_stable_right_context_opportunities	reader_stable_right_dain_daiin_spans	right_value_span_rate	reader_stable_at_least_cheol_span_count	reader_stable_at_least_cheol_span_rate	reader_stable_at_least_cheol_count_and_rate	matching_outcome_fields_used	semantic_identity_credit
TARGET	0	cheol	0	142	4	0.0281690140845	1	1	1	118	114	2	0.0175438596491	1	1	1	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	1	shol	0.865104201592	163	11	0.0674846625767	1	1	1	146	143	7	0.048951048951	1	1	1	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	2	al	1.02924636852	204	2	0.00980392156863	0	0	0	167	145	1	0.00689655172414	0	0	0	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	3	sheol	1.05835932921	90	4	0.0444444444444	1	1	1	71	67	2	0.0298507462687	1	1	1	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	4	qokal	1.11601819864	180	4	0.0222222222222	1	0	0	158	146	3	0.0205479452055	1	1	1	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	5	dal	1.11769441857	191	4	0.020942408377	1	0	0	147	111	2	0.018018018018	1	1	1	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	6	dol	1.47888722421	76	4	0.0526315789474	1	1	1	64	59	2	0.0338983050847	1	1	1	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	7	chol	2.02760704163	343	33	0.0962099125364	1	1	1	303	298	28	0.0939597315436	1	1	1	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	8	okol	2.11955386891	53	2	0.0377358490566	0	1	0	50	44	2	0.0454545454545	1	1	1	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	9	sol	2.12771829756	57	1	0.0175438596491	0	0	0	49	48	1	0.0208333333333	0	1	0	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	10	qotol	2.431118131	43	3	0.0697674418605	0	1	0	40	40	1	0.025	0	1	0	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	11	okeol	2.63858014658	44	0	0	0	0	0	41	36	0	0	0	0	0	NONE	0
OUTCOME_BLIND_PRIMARY_K12_CONTROL	12	cthol	2.77986732601	51	5	0.0980392156863	1	1	1	50	44	4	0.0909090909091	1	1	1	NONE	0
