gdt744_field_id	page	locus	target_ordinal	target_surface	field_channel_after_common_mask	field_confidence_tier	boundary_complete	foreign_anchor_count	foreign_anchor_surfaces	foreign_anchor_tags	foreign_anchor_signature	common_mask	literal_identity_credit	component_export_credit
G744-F0011	f107v	f107v.12	2	lcheol	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	1	2	kaiin|qokeey	HOT|VALUE	L1@1:qokeey:HOT|VALUE|R2@4:kaiin:HOT|VALUE	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0016	f79r	f79r.34	1	lcheol	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	1	1	kchedy	CLOSE|DRY|HOT|VALUE	R1@2:kchedy:CLOSE|DRY|HOT|VALUE	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0020	f103r	f103r.52	9	lkaiin	DESCRIPTIVE_QUALITY	F3_RECURRENT_COMPLETE_CONTEXT	1	1	qokeey	HOT|VALUE	L4@5:qokeey:HOT|VALUE	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0022	f104r	f104r.32	8	lkaiin	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	0	1	okshey	HOT|MOIST|PREPARATION|VALUE	L5@3:okshey:HOT|MOIST|PREPARATION|VALUE	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0025	f104v	f104v.13	8	lkaiin	DESCRIPTIVE_MATERIA	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	0	1	cheo	DRY|PREPARATION	L1@7:cheo:DRY|PREPARATION	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0027	f105v	f105v.7	2	lkaiin	PRESCRIPTIVE_RECIPE	F3_RECURRENT_COMPLETE_CONTEXT	1	1	ycheeo	DRY|PASS|PREPARATION	L1@1:ycheeo:DRY|PASS|PREPARATION	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0028	f105v	f105v.37	5	lkaiin	PRESCRIPTIVE_RECIPE	F3_RECURRENT_COMPLETE_CONTEXT	1	2	qoeeo|sheo	MOIST|PASS|PREPARATION	L2@3:sheo:MOIST|PREPARATION|L1@4:qoeeo:MOIST|PASS|PREPARATION	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0029	f106r	f106r.30	2	lkaiin	PRESCRIPTIVE_RECIPE	F3_RECURRENT_COMPLETE_CONTEXT	1	2	cho|ycheeo	DRY|PASS|PREPARATION	L1@1:ycheeo:DRY|PASS|PREPARATION|R1@3:cho:DRY|PREPARATION	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0034	f107r	f107r.28	9	lkaiin	DESCRIPTIVE_QUALITY	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	0	1	cholor	DRY	L5@4:cholor:DRY	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0035	f107r	f107r.35	6	lkaiin	DESCRIPTIVE_MATERIA	F3_RECURRENT_COMPLETE_CONTEXT	1	1	qokor	AMOUNT|HOT|MATERIAL	L1@5:qokor:AMOUNT|HOT|MATERIAL	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0036	f107r	f107r.36	11	lkaiin	DESCRIPTIVE_QUALITY	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	0	1	qokchey	DRY|HOT|VALUE	L3@8:qokchey:DRY|HOT|VALUE	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0037	f107r	f107r.49	7	lkaiin	DESCRIPTIVE_MATERIA	F3_RECURRENT_COMPLETE_CONTEXT	1	2	okair	HOT|MATERIAL|PART|PREPARATION	L2@5:okair:HOT|MATERIAL|PART|PREPARATION|R1@8:okair:HOT|MATERIAL|PART|PREPARATION	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
G744-F0041	f107v	f107v.24	5	lkaiin	DESCRIPTIVE_MATERIA	F3_RECURRENT_COMPLETE_CONTEXT	1	2	olaiin|olkain	AMOUNT|HOT|MATERIAL|VALUE	L3@2:olaiin:AMOUNT|MATERIAL|L1@4:olkain:HOT|MATERIAL|VALUE	ALL_155_PAIRED_XL_SURFACES_REMOVED_AS_SEMANTIC_ANCHORS	0	0
