bracket_id	page	locus	exact_three_token_span	left_surface	left_preexisting_role	left_preexisting_default_de	middle_surface	middle_selected_role	middle_conservative_default_de	right_surface	right_preexisting_role	right_preexisting_default_de	safe_renderer_de	aggressive_renderer_de	aggressive_confidence	preferred_model	countermodel	full_zl3b_line	renderer_scope	confirmed_plaintext	confirmed_lexeme	component_export_credit
G803-B01	f103r	f103r.29	qokeey chal chedy	qokeey	QUALITY_OR_VALUE	Heiß-/Gradfeld	chal	QUALITY_OR_MATERIAL_FIELD	Trockenstoff-/Trockenheitsfeld; Ausgangsform offen	chedy	QUALITY_OR_STATE	Trocken-/Zustandsfeld	Heiß-/Endfeld | Trockenstoff-/Trockenheitsfeld | Trockenstatus	Heiß-/Endzustand; Trockenstoff in mittlerem Trockenstatus	C0	DESCRIPTIVE_OR_RECORD	OPAQUE_THREE_FIELD_ADDRESS	qokeeechy shokeey qochey qokeey chal chedy	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B02	f106r	f106r.20	qokeedy sail chedy	qokeedy	QUALITY_OR_STATE	Heiß-/Zustandsfeld	sail	OPAQUE_ENTRY	Chargen-/Form-II-Eintrag; Stoffart offen	chedy	QUALITY_OR_STATE	Trocken-/Zustandsfeld	Heiß-/Endfeld | Chargen-/Form-II-Eintrag | Trockenstatus	Heiß-/Endzustand; Charge oder Form II im mittleren Trockenstatus	C0	OPAQUE_RECORD	PRESCRIPTIVE_PREPARATION	ytaiin cheey qokaiin shaiin qokeedy sail chedy cheodal qochedy qokaiin	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B03	f107v	f107v.2	qokedy otal chedy	qokedy	QUALITY_OR_STATE	Heiß-/Zustandsfeld	otal	PREPARATION_OR_QUALITY_HEAD	Materia-/Qualitätseintrag; Achse offen	chedy	QUALITY_OR_STATE	Trocken-/Zustandsfeld	Heiß-/Zustandsfeld | Ausgangsansatz/Zutat | Trockenstatus	heiß behandelter kalter Ausgangsansatz; mittlerer Trockenstatus	C1	PRESCRIPTIVE_PREPARATION	DESCRIPTIVE_TWO_AXIS_RECORD	daiin dckhy ol daiin chkal qokedy otal chedy oteos aiin otar alkain ol	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B04	f108r	f108r.42	qokeey chedal chedy	qokeey	QUALITY_OR_VALUE	Heiß-/Gradfeld	chedal	MATERIAL_OR_AMOUNT_FIELD	Trockenstoff-/Mengenfeld; genaue Identität offen	chedy	QUALITY_OR_STATE	Trocken-/Zustandsfeld	Heiß-/Endfeld | Trockenstoff-/Mengenfeld | Trockenstatus	Heiß-/Endzustand; abgewogener Trockenstoff im mittleren Trockenstatus	C0	PRESCRIPTIVE_PREPARATION	OPAQUE_THREE_FIELD_ADDRESS	okeey qokeey qokeedy qokeey chedal chedy qokeey okeedain otain oolals	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B05	f111v	f111v.23	qokain cheol daiin	qokain	QUALITY_OR_VALUE	Heiß-/Gradfeld	cheol	MATERIAL_OR_QUALITY_AXIS	Stoff-/Zubereitungs- oder Qualitätsachse; Identität offen	daiin	VALUE_OR_GRADE	Wert oder Grad III	Qualitätsfeld II | Stoff-/Qualitätsachse | Wert III	heiß im II. Grad; trocken im III. Grad	C0_AGGRESSIVE	DESCRIPTIVE_TWO_AXIS_RECORD	OPAQUE_THREE_FIELD_ADDRESS	qokaiin sheckhy qokar chalkain chckhedy lcheol okaiin qokain cheol daiin lam	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B06	f111v	f111v.5	qokeedy qokeol shedy	qokeedy	QUALITY_OR_STATE	Heiß-/Zustandsfeld	qokeol	PROCESS_OR_PREPARATION_FIELD	Heißbehandlungs-/Heißstofffeld; Träger offen	shedy	QUALITY_OR_STATE	Feuchte-/Zustandsfeld	Heiß-/Endfeld | Heißbehandlungs-/Heißstofffeld | Feuchtstatus	Heiß-/Endzustand; behandelte Zubereitung im mittleren Feuchtstatus	C0	PRESCRIPTIVE_PREPARATION	OPAQUE_THREE_FIELD_ADDRESS	qokeed o aiin otedy qokedy chedy qokeey qokeedy qokeol shedy qotedal lol	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B07	f75v	f75v.44	qokain ol chedy	qokain	QUALITY_OR_VALUE	Heiß-/Gradfeld	ol	GENERAL_CONTENT_CARRIER	allgemeiner mengenfähiger Zubereitungs-/Inhaltsträger	chedy	QUALITY_OR_STATE	Trocken-/Zustandsfeld	Qualitätsfeld II | allgemeiner Zubereitungsträger | Trockenstatus	heiß, Grad II; Ansatz oder Zubereitung im mittleren Trockenstatus	C1	PRESCRIPTIVE_PREPARATION	DESCRIPTIVE_TWO_AXIS_RECORD	olshees ol sheckhy qokain ol chedy qol chedy qol keey qolchedy chealy	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B08	f76v	f76v.12	qokeedy qotal chedy	qokeedy	QUALITY_OR_STATE	Heiß-/Zustandsfeld	qotal	QUALITY_OR_MATERIAL_FIELD	Kalt-/Materialfeld; genaue Achse offen	chedy	QUALITY_OR_STATE	Trocken-/Zustandsfeld	Heiß-/Endfeld | Kalt-/Materialfeld | Trockenstatus	Heiß-/Endzustand; kalte Ausgangsform im mittleren Trockenstatus	C0	DESCRIPTIVE_TWO_AXIS_RECORD	OPAQUE_THREE_FIELD_ADDRESS	solsheol sheey lteedy qokeedy qotal chedy checthy otedeey qokol chedy deey	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B09	f77v	f77v.12	qokedy okal chedy	qokedy	QUALITY_OR_STATE	Heiß-/Zustandsfeld	okal	OPAQUE_SYSTEM_ENTRY	Kennstellen-/Systemeintrag; Ansatz-/Materialrivale offen	chedy	QUALITY_OR_STATE	Trocken-/Zustandsfeld	Heiß-/Zustandsfeld | Kennstellen-/Systemeintrag | Trockenstatus	Heiß-/Zustandsfeld; Systemeintrag im mittleren Trockenstatus	C0	OPAQUE_RECORD	PRESCRIPTIVE_PREPARATION	lchedy shedal qokedy okal chedy qokal shedy chedy qol chdy lam	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
G803-B10	f78r	f78r.31	qokedy otal shedy	qokedy	QUALITY_OR_STATE	Heiß-/Zustandsfeld	otal	PREPARATION_OR_QUALITY_HEAD	Materia-/Qualitätseintrag; Achse offen	shedy	QUALITY_OR_STATE	Feuchte-/Zustandsfeld	Heiß-/Zustandsfeld | Ausgangsansatz/Zutat | Feuchtstatus	heiß behandelter kalter Ausgangsansatz; mittlerer Feuchtstatus	C1	PRESCRIPTIVE_PREPARATION	DESCRIPTIVE_TWO_AXIS_RECORD	solkeedy sheckhy qokedy otal shedy otar olchedy cthdy	THIS_EXACT_THREE_TOKEN_SPAN_ONLY	0	0	0
