locus_serial	unit_id	page	locus	group_count	local_owner	local_namespace	namespace_reset	apprentice_primitive_sequence	write_instruction_de	orientation	crosspage_key
1	A1	f67r2	f67r2.1	3	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	YES	OPEN_INSTRUMENT>RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 01 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
2	A1	f67r2	f67r2.2	3	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 02 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
3	A1	f67r2	f67r2.3	3	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 03 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
4	A1	f67r2	f67r2.4	2	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 04 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
5	A1	f67r2	f67r2.5	2	A1_RIGHT_SECTOR_SLOT_05	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 05 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
6	A1	f67r2	f67r2.6	1	A1_RIGHT_SECTOR_SLOT_06	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 06 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
7	A1	f67r2	f67r2.7	3	A1_RIGHT_SECTOR_SLOT_07	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 07 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
8	A1	f67r2	f67r2.8	1	A1_RIGHT_SECTOR_SLOT_08	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 08 des rechten f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
9	A1	f67r2	f67r2.9	2	A1_RIGHT_SECTOR_SLOT_09	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 09 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
10	A1	f67r2	f67r2.10	3	A1_RIGHT_SECTOR_SLOT_10	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 10 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
11	A1	f67r2	f67r2.11	3	A1_RIGHT_SECTOR_SLOT_11	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 11 des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
12	A1	f67r2	f67r2.12	2	A1_RIGHT_SECTOR_SLOT_12	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige dieser lokale Sektorplatz 12 des rechten f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
13	A1	f67r2	f67r2.13	4	A1_RIGHT_RING_BAND_01	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges Ringband des rechten f67r2-Rades; kopiere alle 4 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
14	A1	f67r2	f67r2.14	3	A1_RIGHT_RING_BAND_02	A1_RIGHT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges Ringband des rechten f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_RIGHT_WHEEL_ONLY.	NONE	NONE
15	A1	f67r2	f67r2.15	1	A1_LEFT_LOCAL_FIELD_15	A1_LEFT_WHEEL_ONLY	YES	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 15 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
16	A1	f67r2	f67r2.16	4	A1_LEFT_LOCAL_FIELD_16	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 16 des linken f67r2-Rades; kopiere alle 4 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
