group_serial	unit_id	page	locus	event_index	opaque_local_id	local_owner	local_namespace	locus_primitive_sequence	copy_instruction_de	semantic_reading
1	A1	f67r2	f67r2.1	1	A1:G001	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	OPEN_INSTRUMENT>RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_01.	LOCAL_MASTER_KEY_ONLY
2	A1	f67r2	f67r2.1	2	A1:G002	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	OPEN_INSTRUMENT>RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_01.	LOCAL_MASTER_KEY_ONLY
3	A1	f67r2	f67r2.1	3	A1:G003	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	OPEN_INSTRUMENT>RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_01.	LOCAL_MASTER_KEY_ONLY
4	A1	f67r2	f67r2.2	1	A1:G004	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_02.	LOCAL_MASTER_KEY_ONLY
5	A1	f67r2	f67r2.2	2	A1:G005	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_02.	LOCAL_MASTER_KEY_ONLY
6	A1	f67r2	f67r2.2	3	A1:G006	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_02.	LOCAL_MASTER_KEY_ONLY
7	A1	f67r2	f67r2.3	1	A1:G007	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_03.	LOCAL_MASTER_KEY_ONLY
8	A1	f67r2	f67r2.3	2	A1:G008	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_03.	LOCAL_MASTER_KEY_ONLY
9	A1	f67r2	f67r2.3	3	A1:G009	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_03.	LOCAL_MASTER_KEY_ONLY
10	A1	f67r2	f67r2.4	1	A1:G010	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_04.	LOCAL_MASTER_KEY_ONLY
