candidate_surface	passage_core_axes	passage_safe_value_de	details_retained_as_rivals_de	passage_credit
alom	MATERIAL	Stoff-/Materialform; Maßlesung offen	Klasse I und das Maß stammen aus der direkten Familie	FORM_AND_DISTRIBUTION_INTERSECTION
chckh	DRY	trocken; Mischung oder Zubereitung offen	Zubereitung und Ausgangsstoff bleiben konkurrierende Träger	FORM_AND_DISTRIBUTION_INTERSECTION
cheeey	DRY	trockener Zustand; Endbereich wahrscheinlich	End-/Vollstufe wird von direkten Nachbarn gestützt, aber nicht vom unabhängigen Top-5-Konsens	FORM_AND_DISTRIBUTION_INTERSECTION
chetar	DRY	trockene Fraktion; Mittelstufe wahrscheinlich	Teil/Fraktion und Mittelstufe stammen aus der direkten Ganzwortfamilie	FORM_AND_DISTRIBUTION_INTERSECTION
chtar	DRY	trockene Teil-/Fraktionsform; Temperatur und Träger offen	Teilbezug ist familiengestützt; heiß und kalt widersprechen sich	FORM_AND_DISTRIBUTION_INTERSECTION
chtl	NONE	[trocken/getrocknet nur als direkte Formanalogie; Passagekern offen]	Kein gemeinsamer Form-/Top-5-Verteilungskern	FORM_ONLY_NO_PASSAGE_CREDIT
dsheedy	END_STAGE	Endzustand; angefeuchtet oder eingeweicht nach Ganzwortfamilie	Feuchtigkeit ist in allen direkten Nachbarn vorhanden, aber nicht im unabhängigen Top-5-Konsens	FORM_AND_DISTRIBUTION_INTERSECTION
okeeody	END_STAGE|PREPARATION	Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich	Hitze ist direkte Familieninformation; Abschluss nicht durchgehend	FORM_AND_DISTRIBUTION_INTERSECTION
qochey	DRY	trocken; Mittelstufe wahrscheinlich, Funktion offen	Mittelstufe hält in direkten Nachbarn; Zustand, Zugabe und Mengenfeld bleiben Rivalen	FORM_AND_DISTRIBUTION_INTERSECTION
sheeol	END_STAGE	behandelter Stoff im Endzustand; feucht gegen trocken offen	Material und Feuchte werden von direkten Nachbarn, nicht vom Top-5-Achsenkonsens getragen	FORM_AND_DISTRIBUTION_INTERSECTION
ykeeey	END_STAGE	bis zur Endstufe führen; heiß und Abschluss wahrscheinlich	Hitze und Abschluss stammen aus zwei stark verteilten direkten Nachbarn	FORM_AND_DISTRIBUTION_INTERSECTION
ykeeody	END_STAGE|HOT	heißer Endzustand; Abschluss gegen Ansatz offen	Nur die End-/Heißachse wird von Form und unabhängiger Verteilung gemeinsam getragen	FORM_AND_DISTRIBUTION_INTERSECTION
