statement_id	formula_family	layout_token	token_kind	start_card_ordinal	end_card_ordinal	expanded_card_sequence
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	T08	LOCAL_TAIL_STRIP	1	2	CH+E+Y | CTH+O+OR
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	M06	SHARED_MOTIF	3	3	AR
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	T18	LOCAL_TAIL_STRIP	4	7	T+Y | OS | CH+AIR | OT+Y+T+CH+OL
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	M08	SHARED_MOTIF	8	8	OK+Y
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	M01	SHARED_MOTIF	9	9	AIIN
H1-S001	HERBAL_OWNER_MATERIAL_ECHO	T03	LOCAL_TAIL_STRIP	10	10	E+T+Y
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	T07	LOCAL_TAIL_STRIP	1	1	Y+CH+E+OR
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	M05	SHARED_MOTIF	2	2	CTH+Y
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	T15	LOCAL_TAIL_STRIP	3	5	OR | CTH+AIIN | O+CTH+OL+Y
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	M02	SHARED_MOTIF	6	6	Y
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	M02	SHARED_MOTIF	7	7	Y
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	M01	SHARED_MOTIF	8	8	AIIN
H2-S001	HERBAL_OWNER_MATERIAL_ECHO	M02	SHARED_MOTIF	9	9	Y
H3-S001	HERBAL_WET_PROCESS_CADENCE	T19	LOCAL_TAIL_STRIP	1	7	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	T14	LOCAL_TAIL_STRIP	1	3	HO+CH+OR | HO | HO+AL+Y
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	M01	SHARED_MOTIF	4	4	AIIN
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	T13	LOCAL_TAIL_STRIP	5	7	HO | K+OL | OT+CH+OR
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	M08	SHARED_MOTIF	8	8	OK+Y
H5-S001	HERBAL_OWNER_MATERIAL_ECHO	M03	SHARED_MOTIF	9	9	AL
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	M07	SHARED_MOTIF	1	1	OK+AIIN
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	T11	LOCAL_TAIL_STRIP	2	3	K+AIR | OK+AL
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	M06	SHARED_MOTIF	4	4	AR
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	M04	SHARED_MOTIF	5	5	OL
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	T10	LOCAL_TAIL_STRIP	6	7	K+AIN | OL+K+AIN
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	M03	SHARED_MOTIF	8	8	AL
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	M04	SHARED_MOTIF	9	9	OL
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	T16	LOCAL_TAIL_STRIP	10	12	R+OL | L | OL+OR
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	M04	SHARED_MOTIF	13	13	OL
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	T06	LOCAL_TAIL_STRIP	14	14	SH+E+CKH+AL
