statement_id	meta_rules	variant_ids	generation_layer	layout_tokens	forward_recipe_sequence	forward_cards
H1-S001	NONE	NONE	MOTIF_TAIL_LAYOUT	T08 M06 T18 M08 M01 T03	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	10
H1-S002	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+Y | OT+CH+OL | OL | CTH+Y	4
H2-S001	NONE	NONE	MOTIF_TAIL_LAYOUT	T07 M05 T15 M02 M02 M01 M02	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	9
H2-S002	M4_WRITE_CONTINUATION_BRIDGE	P752:R1_PREPARATION_CONTINUATION_BRIDGE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	8
H2-S003	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R1_REPEAT_PREPARATION_AROUND_STAGE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	7
H3-S001	NONE	NONE	MOTIF_TAIL_LAYOUT	T19	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	7
H3-S002	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SH+O+Y+T+Y	1
H3-S003	M3_PACK_MEASURE_FRAME	P751:R1_RESUMED_MEASURED_ADDITION	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	RESUME_CARD | Y | K+Y | Y | AIIN	5
H3-S004	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P754:R1_APPEND_CURRENT_ITEM_AFTER_READY	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+Y | OK+OL | CTH+Y | Y	4
H4-S001	M3_PACK_MEASURE_FRAME	P756:R1_MEASURE_PORTION_SERIES	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	5
H4-S002	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AIIN | CHD+Y | TALAM	3
H4-S003	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	4
H4-S004	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R2_PREPARATION_BEFORE_PORTION	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	6
H5-S001	NONE	NONE	MOTIF_TAIL_LAYOUT	T14 M01 T13 M08 M03	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	9
H5-S002	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R2_PACK_INGREDIENT_WITH_ITEM_AFTER_RESUME	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	4
H5-S003	M9_WRITE_ORDERED_CADENCE	P756:R2_HOLD_INGREDIENT_REPEAT_ACTIVATION	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SH | HO | K+E+Y | OK+OK+Y	4
H5-S004	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+Y | OK+CH+E+O | K+AL	3
H5-S005	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	HO | OK+Y | K+HO+AR | OT+O+AIN	4
H5-S006	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+Y | K+E+OL | AIIN	3
B1-S001	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+E+DY	1
B1-S002	NONE	NONE	MOTIF_TAIL_LAYOUT	M07 T11 M06 M04 T10 M03 M04 T16 M04 T06 M01 T05 M01 T09	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	19
B1-S003	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OL | SH+K+CHD+DY	2
B1-S004	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHD+Y | OL | SHED+DY	3
B1-S005	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OL+CHD+DY	1
