token	token_kind	card_sequence	cards	uses_in_seven_layouts
M01	SHARED_MOTIF	AIIN	1	7
M02	SHARED_MOTIF	Y	1	6
M03	SHARED_MOTIF	AL	1	4
M04	SHARED_MOTIF	OL	1	5
M05	SHARED_MOTIF	CTH+Y	1	3
M06	SHARED_MOTIF	AR	1	2
M07	SHARED_MOTIF	OK+AIIN	1	2
M08	SHARED_MOTIF	OK+Y	1	2
T01	LOCAL_TAIL_STRIP	AIN	1	1
T02	LOCAL_TAIL_STRIP	AL+CHD+DY	1	1
T03	LOCAL_TAIL_STRIP	E+T+Y	1	1
T04	LOCAL_TAIL_STRIP	L+AL+OR	1	1
T05	LOCAL_TAIL_STRIP	OK+EE+AL	1	1
T06	LOCAL_TAIL_STRIP	SH+E+CKH+AL	1	1
T07	LOCAL_TAIL_STRIP	Y+CH+E+OR	1	1
T08	LOCAL_TAIL_STRIP	CH+E+Y | CTH+O+OR	2	1
T09	LOCAL_TAIL_STRIP	CKH+Y | CHD+DY	2	1
T10	LOCAL_TAIL_STRIP	K+AIN | OL+K+AIN	2	1
T11	LOCAL_TAIL_STRIP	K+AIR | OK+AL	2	1
T12	LOCAL_TAIL_STRIP	SHED+AL | SH+E+CTH+Y	2	1
T13	LOCAL_TAIL_STRIP	HO | K+OL | OT+CH+OR	3	1
T14	LOCAL_TAIL_STRIP	HO+CH+OR | HO | HO+AL+Y	3	1
T15	LOCAL_TAIL_STRIP	OR | CTH+AIIN | O+CTH+OL+Y	3	1
T16	LOCAL_TAIL_STRIP	R+OL | L | OL+OR	3	1
T17	LOCAL_TAIL_STRIP	SOLK+EE+Y | E+K+E+Y | R+AL+Y	3	1
T18	LOCAL_TAIL_STRIP	T+Y | OS | CH+AIR | OT+Y+T+CH+OL	4	1
T19	LOCAL_TAIL_STRIP	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	7	1
