dictation_order	board_call_only	joint_tuple_id	owner_code	microcycle	registered_palette	surface_class	third_scribe_surface	selected_registered	obeyed_variation_rule	german_value_spoken
1	H4:C1:01@2cc05435	2cc054357a929df85f64	H4	C1	cho|sho	VARIABLE	sho	YES	YES	NO
2	H4:C1:02@7a4bb813	7a4bb8136330ee4e6e56	H4	C1	chor|or|shor|sor	VARIABLE	shor	YES	YES	NO
3	H4:C1:03@807591ef	807591efc3d3f7ddbfab	H4	C1	cheoar	INVARIANT	cheoar	YES	YES	NO
4	H4:C1:04@d904bf7b	d904bf7b044dd3922781	H4	C1	cheky	INVARIANT	cheky	YES	YES	NO
5	H4:C2:05@5fca8fc3	5fca8fc3dee57e1d8c1f	H4	C2	lcheey	INVARIANT	lcheey	YES	YES	NO
6	H4:C2:06@deb37738	deb377381ceaf55ea310	H4	C2	cphy	INVARIANT	cphy	YES	YES	NO
7	H4:C2:07@e0b630cb	e0b630cb1b5df5e7105b	H4	C2	checthy|cthy|shcthy	VARIABLE	checthy	YES	YES	NO
8	B3:C3:08@b921a237	b921a237be883a820352	B3	C3	chey|chy|dy|shy|sy|y	VARIABLE	y	YES	YES	NO
9	B3:C3:09@2f1c5e56	2f1c5e56e8f0ff459065	B3	C3	aiin|chaiin|daiin|saiin|taiin	VARIABLE	taiin	YES	YES	NO
10	B3:C3:10@2cc8bb3c	2cc8bb3c2af19607888f	B3	C3	chckhy|shckhy	VARIABLE	shckhy	YES	YES	NO
11	B3:C3:11@276a7c2d	276a7c2d74d1143446f4	B3	C3	choky|oky|qoky	VARIABLE	qoky	YES	YES	NO
12	B3:C4:12@0275fbf1	0275fbf14e07935b0a45	B3	C4	okeey|qokeey	VARIABLE	qokeey	YES	YES	NO
13	B3:C4:13@7db18b2f	7db18b2f0fb7ed0fcfd3	B3	C4	qokedy	INVARIANT	qokedy	YES	YES	NO
14	B3:C4:14@e026af58	e026af581c99322fbd46	B3	C4	talam	INVARIANT	talam	YES	YES	NO
