source_position	board_call_only	hidden_atomic_value_de	first_surface	second_surface	third_surface	identity_match	value_match	owner_match	cycle_match
1	H4:C1:01@2cc05435	Zutat	sho	cho	sho	YES	YES	YES	YES
2	H4:C1:02@7a4bb813	Ansatz	sor	chor	shor	YES	YES	YES	YES
3	H4:C1:03@807591ef	Auszugnahme	cheoar	cheoar	cheoar	YES	YES	YES	YES
4	H4:C1:04@d904bf7b	Kurzwärme	cheky	cheky	cheky	YES	YES	YES	YES
5	H4:C2:05@5fca8fc3	Klarabzug	lcheey	lcheey	lcheey	YES	YES	YES	YES
6	H4:C2:06@deb37738	Nachseihen	cphy	cphy	cphy	YES	YES	YES	YES
7	H4:C2:07@e0b630cb	Bereit	shcthy	cthy	checthy	YES	YES	YES	YES
8	B3:C3:08@b921a237	Diesposten	sy	chey	y	YES	YES	YES	YES
9	B3:C3:09@2f1c5e56	Sollmaß	saiin	chaiin	taiin	YES	YES	YES	YES
10	B3:C3:10@2cc8bb3c	durchleiten	shckhy	chckhy	shckhy	YES	YES	YES	YES
11	B3:C3:11@276a7c2d	Einsetzen	choky	oky	qoky	YES	YES	YES	YES
12	B3:C4:12@0275fbf1	Langkontakt	qokeey	okeey	qokeey	YES	YES	YES	YES
13	B3:C4:13@7db18b2f	Kurzkontakt	qokedy	qokedy	qokedy	YES	YES	YES	YES
14	B3:C4:14@e026af58	Verwahren	talam	talam	talam	YES	YES	YES	YES
