line_no	visible_no	rendered_line	source_position	surface	joint_tuple_id	owner_code	microcycle	visibility_role	source_contribution
1	1	sho  shor  cheoar  cheky	1	sho	2cc054357a929df85f64	H4	C1	SOURCE	1
1	2	sho  shor  cheoar  cheky	2	shor	7a4bb8136330ee4e6e56	H4	C1	SOURCE	1
1	3	sho  shor  cheoar  cheky	3	cheoar	807591efc3d3f7ddbfab	H4	C1	SOURCE	1
1	4	sho  shor  cheoar  cheky	4	cheky	d904bf7b044dd3922781	H4	C1	MARKED_ANTICIPATION	0
2	1	cheky	4	cheky	d904bf7b044dd3922781	H4	C1	SOURCE	1
3	1	lcheey cphy checthy	5	lcheey	5fca8fc3dee57e1d8c1f	H4	C2	SOURCE	1
3	2	lcheey cphy checthy	6	cphy	deb377381ceaf55ea310	H4	C2	SOURCE	1
3	3	lcheey cphy checthy	7	checthy	e0b630cb1b5df5e7105b	H4	C2	SOURCE	1
4	1	y taiin shckhy qoky	8	y	b921a237be883a820352	B3	C3	SOURCE	1
4	2	y taiin shckhy qoky	9	taiin	2f1c5e56e8f0ff459065	B3	C3	SOURCE	1
4	3	y taiin shckhy qoky	10	shckhy	2cc8bb3c2af19607888f	B3	C3	SOURCE	1
4	4	y taiin shckhy qoky	11	qoky	276a7c2d74d1143446f4	B3	C3	SOURCE	1
5	1	qokeey qokedy talam	12	qokeey	0275fbf14e07935b0a45	B3	C4	SOURCE	1
5	2	qokeey qokedy talam	13	qokedy	7db18b2f0fb7ed0fcfd3	B3	C4	SOURCE	1
5	3	qokeey qokedy talam	14	talam	e026af581c99322fbd46	B3	C4	SOURCE	1
