lesson_id	mould_id	inserted_term_de	source_layer	portable_card_meaning	reading_instruction
L01	M01_MATERIAL_PREPARATION	Bildpflanze	PICTURE_OWNER	NO	supply only in this owner/register context
L01	M01_MATERIAL_PREPARATION	Wurzelposten	CARD_CONTENT	YES	read from card/formula
L01	M01_MATERIAL_PREPARATION	Ansatz	CARD_CONTENT	YES	read from card/formula
L01	M01_MATERIAL_PREPARATION	Anteil	CARD_CONTENT	YES	read from card/formula
L01	M01_MATERIAL_PREPARATION	Gefäß	CARD_CONTENT	YES	read from card/formula
L01	M01_MATERIAL_PREPARATION	Flüssigkeitslauf	CARD_CONTENT	YES	read from card/formula
L01	M01_MATERIAL_PREPARATION	Sollmaß	CARD_CONTENT	YES	read from card/formula
L01	M01_MATERIAL_PREPARATION	ihn	ACTIVE_REGISTER	NO	supply only in this owner/register context
L01	M01_MATERIAL_PREPARATION	kurzer Teil	CARD_CONTENT	YES	read from card/formula
L02	M02_SOURCE_SHARE_MEASURE	Charge	PICTURE_OWNER	NO	supply only in this owner/register context
L02	M02_SOURCE_SHARE_MEASURE	Randgefäß	PICTURE_OWNER	NO	supply only in this owner/register context
L02	M02_SOURCE_SHARE_MEASURE	Anteil	CARD_CONTENT	YES	read from card/formula
L02	M02_SOURCE_SHARE_MEASURE	davon	CARD_CONTENT	YES	read from card/formula
L02	M02_SOURCE_SHARE_MEASURE	nächster Anteil	ACTIVE_REGISTER_PLUS_CARD	NO	supply only in this owner/register context
L02	M02_SOURCE_SHARE_MEASURE	lange einwirken	CARD_CONTENT	YES	read from card/formula
L03	M03_TARGET_TRANSFER	Figurenbecken	PICTURE_OWNER	NO	supply only in this owner/register context
L03	M03_TARGET_TRANSFER	Posten	ACTIVE_REGISTER	NO	supply only in this owner/register context
L03	M03_TARGET_TRANSFER	Zielstelle	CARD_CONTENT	YES	read from card/formula
L03	M03_TARGET_TRANSFER	weiter	CARD_CONTENT	YES	read from card/formula
L04	M04_ORDER_CONTINUATION	Übergangsansatz	PICTURE_OWNER	NO	supply only in this owner/register context
L04	M04_ORDER_CONTINUATION	dorthin	CARD_CONTENT	YES	read from card/formula
L04	M04_ORDER_CONTINUATION	nächster Posten	CARD_CONTENT	YES	read from card/formula
L04	M04_ORDER_CONTINUATION	lange einwirken	CARD_CONTENT	YES	read from card/formula
L04	M04_ORDER_CONTINUATION	einsetzen	CARD_CONTENT	YES	read from card/formula
L04	M04_ORDER_CONTINUATION	absetzen	CARD_CONTENT	YES	read from card/formula
L05	M05_STATE_CLOSE	Arbeitsflüssigkeit	PICTURE_OWNER	NO	supply only in this owner/register context
L05	M05_STATE_CLOSE	Doppelbecken	PICTURE_OWNER	NO	supply only in this owner/register context
L05	M05_STATE_CLOSE	Sollmaß	CARD_CONTENT	YES	read from card/formula
L05	M05_STATE_CLOSE	lange bearbeiten	CARD_CONTENT	YES	read from card/formula
L05	M05_STATE_CLOSE	lange halten	CARD_CONTENT	YES	read from card/formula
L05	M05_STATE_CLOSE	kurz einwirken	CARD_CONTENT	YES	read from card/formula
L06	M06_FILTER_CLEAR_PRODUCT	Blattauszug	PICTURE_OWNER	NO	supply only in this owner/register context
L06	M06_FILTER_CLEAR_PRODUCT	Zusatz	CARD_CONTENT	YES	read from card/formula
L06	M06_FILTER_CLEAR_PRODUCT	Zielstelle	CARD_CONTENT	YES	read from card/formula
L06	M06_FILTER_CLEAR_PRODUCT	auswringen	CARD_CONTENT	YES	read from card/formula
L06	M06_FILTER_CLEAR_PRODUCT	Sollmaß	CARD_CONTENT	YES	read from card/formula
L06	M06_FILTER_CLEAR_PRODUCT	nachseihen	CARD_CONTENT	YES	read from card/formula
L06	M06_FILTER_CLEAR_PRODUCT	Klarauszug	CARD_CONTENT	YES	read from card/formula
L07	M07_PAIRED_MEASURE_FRAME	zwei Portionen	PICTURE_OWNER	NO	supply only in this owner/register context
L07	M07_PAIRED_MEASURE_FRAME	dies	CARD_CONTENT	YES	read from card/formula
L07	M07_PAIRED_MEASURE_FRAME	dasselbe Sollmaß	BRACKET_FORMULA	YES	read from card/formula
L07	M07_PAIRED_MEASURE_FRAME	abführen	CARD_CONTENT	YES	read from card/formula
L08	M08_CARRIED_PREPARATION_FRAME	weitergeführter Ansatz	PICTURE_OWNER	NO	supply only in this owner/register context
L08	M08_CARRIED_PREPARATION_FRAME	Folgeansatz	CARD_CONTENT	YES	read from card/formula
L08	M08_CARRIED_PREPARATION_FRAME	derselbe Ansatz	CARD_CONTENT	YES	read from card/formula
L08	M08_CARRIED_PREPARATION_FRAME	Fortsetzung	BRACKET_FORMULA	YES	read from card/formula
L08	M08_CARRIED_PREPARATION_FRAME	Sollmaß	CARD_CONTENT	YES	read from card/formula
L08	M08_CARRIED_PREPARATION_FRAME	davon	CARD_CONTENT	YES	read from card/formula
L09	M09_APPLICATION_FASTEN	Hauptpaar	PICTURE_OWNER	NO	supply only in this owner/register context
L09	M09_APPLICATION_FASTEN	Tuchanwendung	PICTURE_OWNER	NO	supply only in this owner/register context
L09	M09_APPLICATION_FASTEN	weitere Zutat	CARD_CONTENT	YES	read from card/formula
L09	M09_APPLICATION_FASTEN	Arbeitsgang	MOULD_GRAMMAR	NO	supply only in this owner/register context
L09	M09_APPLICATION_FASTEN	Auszug	CARD_CONTENT	YES	read from card/formula
L09	M09_APPLICATION_FASTEN	Ausgang	CARD_CONTENT	YES	read from card/formula
L09	M09_APPLICATION_FASTEN	anwenden	CARD_CONTENT	YES	read from card/formula
L10	M10_LOCAL_EXACT_CELL	Durchlassstation	PICTURE_OWNER	NO	supply only in this owner/register context
L10	M10_LOCAL_EXACT_CELL	Mittelgerät	PICTURE_OWNER	NO	supply only in this owner/register context
L10	M10_LOCAL_EXACT_CELL	Posten	ACTIVE_REGISTER	NO	supply only in this owner/register context
L10	M10_LOCAL_EXACT_CELL	durchleiten	CARD_CONTENT	YES	read from card/formula
L10	M10_LOCAL_EXACT_CELL	einsetzen	CARD_CONTENT	YES	read from card/formula
