lesson_id	mould_id	source_statement_id	target_page	target_owner_de	visible_master_sequence	literal_card_reading_de	fluent_owner_expansion_de	translation_rule
L01	M01_MATERIAL_PREPARATION	H1-S001	f56r	bei der frischen Bildpflanze und ihrem zweiten Ansatz	dchey cthoor char chety os chair otytchol choky aiin etyd	Wurzel · Posten | bereitstellen · Ansatz | davon | Anteil | Gefäß | Flüssigkeitslauf | danach · Teil · weiter | einsetzen | Sollmaß | kurz · Teil	Bei der frischen Bildpflanze: Stelle den Wurzelposten als Ansatz bereit; nimm davon einen Anteil, führe ihn durch Gefäß und Flüssigkeitslauf, setze ihn ein und bemiss den kurzen Teil.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L02	M02_SOURCE_SHARE_MEASURE	B2-S011	f83r	bei der Charge des runden Randgefäßes	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	Bei der Charge des Randgefäßes: Gib einen Anteil zu, nimm davon den nächsten Anteil, lass ihn lange einwirken und schließe.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L03	M03_TARGET_TRANSFER	B3-S006	f81v	im gemeinsamen zweireihigen Figurenbecken	chedchy okal olchedy	übertragen · Posten | dorthin einsetzen | weiterführen; Schluss	Im gemeinsamen Figurenbecken: Übertrage den Posten zur Zielstelle, führe ihn weiter und schließe.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L04	M04_ORDER_CONTINUATION	B4-S003	f83r	beim örtlichen Übergangsansatz	chdy otal otchey okeey choky cheol cheedy	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	Beim Übergangsansatz: Überführe ihn dorthin, nimm den nächsten Posten, lass ihn lange einwirken, setze ihn ein, führe weiter, lass kurz absetzen und schließe.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L05	M05_STATE_CLOSE	B4-S008	f82r	bei der Arbeitsflüssigkeit der oberen Doppelbecken	aiin cheeky sheey qokedy	Sollmaß | länger bearbeiten | halten · länger · Posten | kurz einwirken; Schluss	Bei der Arbeitsflüssigkeit der Doppelbecken: Stelle das Sollmaß ein, bearbeite lange, halte lange, lass kurz einwirken und schließe.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L06	M06_FILTER_CLEAR_PRODUCT	H3-S001	f55v	beim Blattauszug der Bildpflanze	tshol schoal cfhy shfydaiin cphy cheey tchody	Zutat · abführen | Zutat · Zielstelle | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarauszug | Zutat; schließen	Beim Blattauszug: Führe den Zusatz zur Zielstelle, wringe ihn aus, halte ihn nach Sollmaß, seih nach, nimm den Klarauszug und schließe.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L07	M07_PAIRED_MEASURE_FRAME	B3-S003	f10r	bei den zwei Portionen des Blatt-/Sprossansatzes	chey aiin chey lchedy	dies | Sollmaß | dies | abführen; Schluss	Bei den zwei Portionen: Dies und dies stehen unter demselben Sollmaß; danach abführen und schließen.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L08	M08_CARRIED_PREPARATION_FRAME	H2-S002	f81v	beim weitergeführten Ansatz im gemeinsamen Becken	otchor chor otol cheol cholor cheol aiin char	Folgeansatz | Ansatz | danach · weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Beim weitergeführten Ansatz: Nimm den Folgeansatz, führe denselben Ansatz in der Fortsetzung weiter, stelle das Sollmaß ein und nimm davon.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L09	M09_APPLICATION_FASTEN	H5-S005	f83r	am Hauptpaar mit sichtbarer Tuchanwendung	cho chokchy kchoar sotodan	weitere Zutat | weiterbearbeiten | Auszug · Ausgang | danach · anwenden	Am Hauptpaar mit sichtbarer Tuchanwendung: Gib die weitere Zutat zum Arbeitsgang, bearbeite sie weiter, nimm den Auszug vom Ausgang und wende ihn danach an.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
L10	M10_LOCAL_EXACT_CELL	B1-S011	f82r	an der Durchlassstation des Mittelgeräts	chckhy choky	durchleiten | einsetzen	An der Durchlassstation des Mittelgeräts: Leite den Posten durch und setze ihn ein.	FLUENT_NOUNS_MUST_APPEAR_IN_PROVENANCE_LEDGER
