definition	name	record	start	end	body	outside_all_definition_units
D01	chkedy	F83_P1	f83r.4:1	f83r.4:2	qokshedy chedy	False
D02	qoteedy	F83_P1	f83r.7:1	f83r.7:7	solshed lsheedy qeeedy qoky o qol rsheedy	False
D03	lsheedy	F83_P2	f83r.9:1	f83r.9:2	pchor checphedy	False
D04	okair	F83_P2	f83r.11:1	f83r.11:5	sor shedy qokaiin chkain shcthey	False
D05	qokal	F83_P2	f83r.12:1	f83r.12:7	qockhol sheckhy otal qokeal sheckhdy al okedy	False
D06	qedy	F83_P2	f83r.13:1	f83r.13:6	salcheol tar shedy s altedy sair	False
D07	sol	F83_P3	f83r.20:1	f83r.20:3	solkeedy qoteedy qokeey	False
D08	qoky	F83_P3	f83r.20:6	f83r.20:6	cheeety	False
D09	otedy	F83_P3	f83r.20:1	f83r.20:1	solkeedy	False
D09	otedy	F83_P3	f83r.21:1	f83r.21:1	solkeedy	False
D10	chckhdy	F83_P3	f83r.21:4	f83r.21:7	sol chedy lkedy qokchedy	False
D11	shecthedy	F83_P3	f83r.23:1	f83r.23:4	tchedy qotedy qokal shedy	False
D12	chedy	F83_P4	f83r.25:1	f83r.25:3	qokeedy qolchey qokeey	False
D13	shedy	F83_P4	f83r.28:1	f83r.28:3	saiin cheeky sheey	False
