name	definition	body	all_occurrences	declarations	uses	before_declaration	after_declaration	after_outside_definitions	fully_resolved_after	retrospective_leaf_count
chkedy	D01	qokshedy chedy	1	1	0	0	0	0	0	4
qoteedy	D02	solshed lsheedy qeeedy qoky o qol rsheedy	5	1	4	2	2	1	0	8
lsheedy	D03	pchor checphedy	2	1	1	1	0	0	0	2
okair	D04	sor shedy qokaiin chkain shcthey	1	1	0	0	0	0	0	7
qokal	D05	qockhol sheckhy otal qokeal sheckhdy al okedy	3	1	2	1	1	0	1	7
qedy	D06	salcheol tar shedy s altedy sair	1	1	0	0	0	0	0	8
sol	D07	solkeedy qoteedy qokeey	7	1	6	1	5	4	5	10
qoky	D08	cheeety	7	1	6	3	3	3	3	1
otedy	D09	solkeedy	3	1	2	1	1	1	1	1
chckhdy	D10	sol chedy lkedy qokchedy	1	1	0	0	0	0	0	15
shecthedy	D11	tchedy qotedy qokal shedy	1	1	0	0	0	0	0	12
chedy	D12	qokeedy qolchey qokeey	14	1	13	9	4	4	4	3
shedy	D13	saiin cheeky sheey	15	1	14	12	2	2	2	3
