station_index	locus	surface_entry	selected_concrete_rule	layout_parity	polarity_from_layout	cross_page_alignment
1	f69v.4	okeey sar	favorable for a warm bath; especially after sunset	LONG	NO	NONE
2	f69v.5	okeo dy	use a cool washing; then stop	SHORT	NO	NONE
3	f69v.6	ochoyk	avoid bloodletting	LONG	NO	NONE
4	f69v.7	ykeey	favorable for anointing	SHORT	NO	NONE
5	f69v.8	ytory	apply to the upper body	LONG	NO	NONE
6	f69v.9	oeesy	rest and give no purge	SHORT	NO	NONE
7	f69v.10	ytody	complete a single rinse	LONG	NO	NONE
8	f69v.11	okody	draw off excess fluid	SHORT	NO	NONE
9	f69v.12	otody	avoid a hot bath	LONG	NO	NONE
10	f69v.13	okeal	apply below the waist	SHORT	NO	NONE
11	f69v.14	okeod	favorable for bathing	LONG	NO	NONE
12	f69v.15	oteeys	repeat the wash once	SHORT	NO	NONE
13	f69v.16	oteol	use the same preparation	LONG	NO	NONE
14	f69v.17	ykeydy	bathe until gently warm	SHORT	NO	NONE
15	f69v.18	okeod	favorable for bathing	LONG	NO	NONE
16	f69v.19	saral	anoint the affected place	SHORT	NO	NONE
17	f69v.20	saiir	keep the patient at rest	LONG	NO	NONE
18	f69v.21	okolar	use a smaller measure	SHORT	NO	NONE
19	f69v.22	ykeody	rinse and finish	LONG	NO	NONE
20	f69v.23	sarydy	avoid a second application	SHORT	NO	NONE
21	f69v.24	otchy	use the dried herb	LONG	NO	NONE
22	f69v.25	okeey dy	favorable for a warm bath; then stop	SHORT	NO	NONE
23	f69v.26	okey d	make the ordinary bath; under the stated limit	LONG	NO	NONE
24	f69v.27	okeod	favorable for bathing	SHORT	NO	NONE
25	f69v.28	okodchy	strain the herbal liquor	LONG	NO	NONE
26	f69v.29	okeody	pour and finish	SHORT	NO	NONE
27	f69v.30	okcheys	apply a warm cloth	LONG	NO	NONE
28	f69v.31	oar alys	observe the mansion; withhold treatment if weak	SHORT	NO	NONE
