family	surface	card_type	occurrences	lines	pages	working_default_de	composition	claim_scope
COLD	ytey	PRODUCTIVE_COMPOUND	10	10	10	kühle hiervon bis zur Mittelstufe ab und schließe ab	Y_REFERENCE+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
COLD	qetal	LEARNED_WHOLE	1	1	1	kühle Rohdroge I bis zur Mittelstufe	LEARNED_QETAL_WHOLE	exact whole; composition predicts relatives only as a future explicit card
COLD_MOIST	tshaiin	PRODUCTIVE_COMPOUND	1	1	1	kalt eingeweichte Droge auf Stufe III	T_COLD+SH_MOIST+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
COMMAND	qoiiin	PRODUCTIVE_COMPOUND	4	4	4	nimm Ansatz in Zubereitungsform IV	QO_COMMAND+O_PREP+IIIN_FORM_IV	exact whole; composition predicts relatives only as a future explicit card
COMMAND	qokokchy	PRODUCTIVE_COMPOUND	1	1	1	erhitze, setze an, erhitze erneut, trockne und schließe ab	QO_COMMAND+K_HOT+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
COMPOSITE	ockhoees	PRODUCTIVE_COMPOUND	1	1	1	Arzneikompositum ansetzen, vollständig bereiten und als Charge abschließen	O_PREP+CKH_COMPOSITE+O_PREP+EE_END+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
COMPOSITE	cphy	PRODUCTIVE_COMPOUND	9	9	9	Arzneikompositum in Grundform	CPH_COMPOSITE+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
FLOWER	ofalsheky	PRODUCTIVE_COMPOUND	1	1	1	Blütenrohstoff I im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	O_PREP+F_FLOWER+AL_RAW_I+SH_MOIST+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
FRACTION	otair	PRODUCTIVE_COMPOUND	22	21	12	zweite kalte Drogenfraktion im Ansatz	O_PREP+T_COLD+AIR_FRACTION_II	exact whole; composition predicts relatives only as a future explicit card
FRACTION	otarain	PRODUCTIVE_COMPOUND	2	2	2	zwei Teile der ersten kalten Drogenfraktion im Ansatz	O_PREP+T_COLD+AR_FRACTION_I+AIN_II	exact whole; composition predicts relatives only as a future explicit card
FRACTION	chearory	PRODUCTIVE_COMPOUND	1	1	1	eine Portion der ersten Fraktion bis zur Mittelstufe trocknen und abschließen	CH_DRY+E_MIDDLE+AR_FRACTION_I+OR_PORTION+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
HEAT	ka	CONTEXT_SCOPED_SHORT_FORM	2	2	2	ein erhitzter Teil	K_HOT+A_PART_OR_LINK	exact whole; composition predicts relatives only as a future explicit card
HEAT_DRY	kchaiin	PRODUCTIVE_COMPOUND	4	4	4	heiß-getrocknete Droge auf Stufe III	K_HOT+CH_DRY+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
HEAT_DRY	choeky	PRODUCTIVE_COMPOUND	1	1	1	trocknen, ansetzen, bis zur Mittelstufe erhitzen und abschließen	CH_DRY+O_PREP+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
HEAT_DRY	chekain	PRODUCTIVE_COMPOUND	7	7	5	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	CH_DRY+E_MIDDLE+K_HOT+AIN_II	exact whole; composition predicts relatives only as a future explicit card
HERB	ycthar	PRODUCTIVE_COMPOUND	1	1	1	nimm hiervon die erste Kraut- oder Blattdrogenfraktion	Y_REFERENCE+CTH_HERB+AR_FRACTION_I	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dcheodaiin	PRODUCTIVE_COMPOUND	1	1	1	eine Dosis bis zur Mittelstufe trocknen und ansetzen; drei Dosen abmessen	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
MEASURE	chedol	PRODUCTIVE_COMPOUND	5	5	5	Drogenstoff bis zur Mittelstufe trocknen und abmessen	CH_DRY+E_MIDDLE+D_MEASURE+OL_MATERIAL	exact whole; composition predicts relatives only as a future explicit card
MEASURE	otodar	PRODUCTIVE_COMPOUND	3	3	3	Kaltansatz erneut ansetzen und die erste Fraktion abmessen	O_PREP+T_COLD+O_PREP+D_MEASURE+AR_FRACTION_I	exact whole; composition predicts relatives only as a future explicit card
MOIST_HEAT	shkaiin	PRODUCTIVE_COMPOUND	5	5	5	eingeweichte und erhitzte Droge auf Stufe III	SH_MOIST+K_HOT+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
MOIST_HEAT	shkain	PRODUCTIVE_COMPOUND	2	2	2	eingeweichte und erhitzte Droge auf Stufe II	SH_MOIST+K_HOT+AIN_II	exact whole; composition predicts relatives only as a future explicit card
PREPARATION	oeor	PRODUCTIVE_COMPOUND	1	1	1	eine Portion Ansatz der Mittelstufe	O_PREP+E_MIDDLE+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
ROOT	rtain	PRODUCTIVE_COMPOUND	1	1	1	Wurzeldroge auf Kältestufe II	R_ROOT+T_COLD+AIN_II	exact whole; composition predicts relatives only as a future explicit card
SEED	alsy	PRODUCTIVE_COMPOUND	1	1	1	Saatrohdroge I in Grundform abschließen	AL_RAW_I+S_SEED+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
SEED	secheeol	LEARNED_WHOLE	1	1	1	vollständig getrockneter Saatdrogenstoff	LEARNED_SECHEEOL_WHOLE	exact whole; composition predicts relatives only as a future explicit card
SEED_WOOD	oschotshl	LEARNED_WHOLE	1	1	1	getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand	LEARNED_OSCHOTSHL_WHOLE	exact whole; composition predicts relatives only as a future explicit card
WOOD	lsheedain	PRODUCTIVE_COMPOUND	1	1	1	Holzdroge vollständig einweichen und zwei Dosen abmessen	L_WOOD+SH_MOIST+EE_END+D_MEASURE+AIN_II	exact whole; composition predicts relatives only as a future explicit card
WOOD	olaiiny	PRODUCTIVE_COMPOUND	1	1	1	drei Teile Holzdrogenansatz abschließen	O_PREP+L_WOOD+AIIN_III+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
