rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v47_translation_de	v47_unknown_tokens	comparison_scope
1	f28r.8	oschotshl daiin okchey kol daiin shol dsho otaiin	Getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand; drei Maße; heiß-trockener Ansatz auf Mittelstufe; heißes Material; Stufe III; Feuchtgut. Miss eine Dosis Feuchtansatz ab; kalter Ansatz auf Stufe III.	oschotshl bleibt nominaler zusammengesetzter Zustand; kein unsichtbarer Prozesskopf ergänzt.	getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand; drei Maße; heiß-trockener Ansatz in der Mitte des Grades; heiß; nominal heißes Gut/Material; Stufe III; Feuchtgut; eine Dosis Feuchtansatz abmessen; kalt im Zubereitungsrahmen, Grad III	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
2	f83r.19	sar shedaiin ockhey sain ched shedy qetal dal shedy shey lchedy	Samenfraktion I; drei Dosen bis zur Mittelstufe eingeweichter Droge; Arzneikompositum-Ansatz auf Mittelstufe; Saatgutcharge II; Trockenmittelstufe abgeschlossen; Einweichmittelstufe abgeschlossen. Kühle Rohdroge I bis zur Mittelstufe; abgemessene Rohstoffmenge I; Einweichmittelstufe abgeschlossen; bis zur mittleren Einweichstufe; getrocknetes Drogenholz.	qetal ist der einzige neue Kühlbefehl; alle Zustandskarten bleiben getrennt.	Samenfraktion I; drei Dosen bis zur Mittelstufe eingeweichter Droge; Ansatz eines Arzneikompositums in der Gradmitte; Saatgut, Typ/Charge II; Trockenstufe Mitte, abgeschlossen; bis zur mittleren Einweichstufe gebracht; kühle Rohdroge I bis zur Mittelstufe; abgemessene Rohstoffmenge I; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Einweichstufe; getrocknetes Drogenholz	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
3	f96r.8	ykeor secheeol sheol qokeeey chol daiin	Erhitze hiervon eine Portion bis zur Mittelstufe; vollständig getrockneter Saatdrogenstoff; feuchter Drogenstoff. Erhitze bis Endstufe III; Trockengut; Stufe III.	secheeol ist nominal; kein zweiter Trocknungsbefehl erfunden.	erhitze hiervon eine Portion bis zur Mittelstufe; vollständig getrockneter Saatdrogenstoff; feuchtes Material; erhitze bis Endstufe III; Trockengut; Stufe III	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
4	f81v.1	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky	Pulverfraktion I; bis zur mittleren Einweichstufe; bis zur Heizendstufe gebracht; Rohdroge I feucht auf Mittelstufe; heiß am Gradanfang; abgemessene Rohstoffmenge I; abgemessene Fraktion I; Grundansatz; getrocknetes Pulver. Weiche bis zur Mittelstufe ein und erhitze; zwei Maße. Weiche Blütenrohstoff I im Ansatz bis zur Mittelstufe ein, erhitze und schließe ab.	Die gerichteten Stufen shey und keedy bleiben sichtbar; der finale ofal|sheky-Block enthält Stoff, Ansatz und vollständige Prozessfolge.	Pulverfraktion I; bis zur mittleren Einweichstufe; bis zur Heizendstufe gebracht; Rohstoff I: feucht in der Gradmitte; heiß am Gradanfang; abgemessene Rohstoffmenge I; abgemessene Fraktion I; Grundansatz; getrocknetes Pulver; bis zur Mittelstufe einweichen und erhitzen; zwei Maße; Blütenrohstoff I im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
5	f82r.6	sar shedy qol shedaiin sheckhy okal sheky qotaiin chedol	Samenfraktion I; Einweichmittelstufe abgeschlossen. Gib Folgendes hinzu: drei Dosen bis zur Mittelstufe eingeweichter Droge; feuchtes Arzneikompositum am Gradanfang; Rohdroge I leicht erhitzt im Ansatz. Weiche bis zur Mittelstufe ein, erhitze und schließe ab; kalt auf Stufe III. Trockne den Drogenstoff bis zur Mittelstufe und miss ihn ab.	chedol bleibt gerichtete Trocken- und Messhandlung, nicht bloße Dosisbezeichnung.	Samenfraktion I; bis zur mittleren Einweichstufe gebracht; gib Folgendes hinzu: drei Dosen bis zur Mittelstufe eingeweichter Droge; feuchtes Arzneikompositum am Gradanfang; Rohstoff I, leicht erhitzt im Ansatz; bis zur Mittelstufe einweichen, erhitzen und abschließen; kalt, Grad III; Drogenstoff bis zur Mittelstufe trocknen und abmessen	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
6	f111v.50	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or	Feucht auf Stufe III. Nimm Ansatz in Zubereitungsform IV; heißer Ansatz auf Stufe II; bis zur mittleren Trockenstufe. Erhitze bis Endstufe III; heißer Ansatz auf Stufe II; vollständig getrocknete Kräutermischung; Drogenfraktion I; Grundansatz; Charge Holzdrogenansatz der letzten Stufe; kalter Ansatz auf Stufe II; Drogenportion.	qoiiin ist ein ausdrücklicher Nehmbefehl; die gerichtete Trockenstufe bleibt erhalten und die nachfolgende Liste nominal.	feucht, Grad III; nimm Ansatz in Zubereitungsform IV; heiß im Zubereitungsrahmen, Grad II; bis zur mittleren Trockenstufe; erhitze bis Endstufe III; heiß im Zubereitungsrahmen, Grad II; vollständig getrocknete Kräutermischung; Drogenfraktion I; Grundansatz; Charge Holzdrogenansatz der letzten Stufe; kalt im Zubereitungsrahmen, Grad II; Drogenportion	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
7	f58v.37	olkeey okar ar choky otair otol chokey cheeky dalar	Holzdrogenansatz vollständig erhitzt; heiße Drogenfraktion I im Ansatz; Drogenfraktion I; heiß-trockene Zubereitung in Grundform; zweite kalte Drogenfraktion im Ansatz; kaltes Zubereitungsgut; heiß-trockener Ansatz auf Mittelstufe; trocken am Gradende und danach heiß am Gradanfang. Miss die erste Fraktion Rohdroge I ab.	otair ist ein Zustand zwischen zwei Zubereitungskarten, kein zusätzlicher Kühlbefehl.	Holzdrogenansatz vollständig erhitzt; heiße Drogenfraktion I im Ansatz; Drogenfraktion I; heiß-trockene Zubereitung, Grundform; zweite kalte Drogenfraktion im Ansatz; kaltes Zubereitungsgut; heiß-trockener Ansatz in der Gradmitte; trocken am Gradende, dann heiß am Gradanfang; erste Fraktion Rohdroge I abmessen	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
8	f76r.46	dain shear okedy otedy okedy lchedy chedy okar chedy otarain	Zwei Maße; weiche die erste Fraktion bis zur Mittelstufe ein; Ansatz auf mittlerer Heizstufe abgeschlossen; Ansatz auf mittlerer Kühlstufe abgeschlossen; Ansatz erneut auf mittlerer Heizstufe abgeschlossen; getrocknetes Drogenholz; Trockenmittelstufe abgeschlossen; heiße Drogenfraktion I im Ansatz; nochmals Trockenmittelstufe abgeschlossen; zwei Teile der ersten kalten Drogenfraktion im Ansatz.	otarain bleibt nominale Mengen-/Fraktionskarte; die Wiederholungen werden nicht zusammengezogen.	zwei Maße; erste Fraktion bis zur Mittelstufe einweichen; Ansatz bis zur mittleren Heizstufe, abgeschlossen; Ansatz auf mittlerer Kühlstufe abgeschlossen; Ansatz bis zur mittleren Heizstufe, abgeschlossen; getrocknetes Drogenholz; bis zur mittleren Trockenstufe gebracht; heiße Drogenfraktion I im Ansatz; bis zur mittleren Trockenstufe gebracht; zwei Teile der ersten kalten Drogenfraktion im Ansatz	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
9	f83r.55	sol rtain cthal	Samenmaterial/Saatgut; Wurzeldroge auf Kältestufe II; Kraut- oder Blattdroge aus Rohdroge I.	Reine dreigliedrige Zutaten-/Zustandsliste mit dem geerbten freien sol-Wert und ohne erfundenes Verb.	Samenmaterial/Saatgut; Wurzeldroge auf Kältestufe II; Kraut- oder Blattdroge aus Rohdroge I	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
10	f51r.2	dcheodaiin ckheody ckhody chody	Trockne eine Dosis bis zur Mittelstufe und setze sie an; miss drei Dosen ab; fertiger Arzneikompositum-Ansatz; setze das Arzneikompositum an und stelle es fertig; Trockenansatz abgeschlossen.	dcheodaiin bewahrt beide Messwerte sowie Trocknen und Ansetzen.	eine Dosis bis zur Mittelstufe trocknen und ansetzen; drei Dosen abmessen; fertiger Ansatz eines Arzneikompositums; Arzneikompositum ansetzen und fertigstellen; Trockenansatz, abgeschlossen	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
