rank	strict_complete	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	working_translation_de
1	0	f103r	f103r.15	S	B	3	5	5	0	0	3	0	1.000000	2	2	1	0	qotedy qokeey shol qotey shkaiin	kalt in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | feucht; nominal feuchtes Gut/Material | kalt in der Mitte des Grades | eingeweichte und erhitzte Droge auf Stufe III	GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:MOIST_OL_FORM | GDT647:FAMILY_MIGRATION | GDT670:EXACT_WHOLE:shkaiin	READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE	NONE	NONE	bis zur mittleren Kühlstufe gebracht; bis zur Heizendstufe; Feuchtgut; bis zur mittleren Kühlstufe; eingeweichte und erhitzte Droge auf Stufe III
2	0	f105v	f105v.30	S	B	3	12	12	2	0	2	0	1.000000	10	10	1	0	dchedy cheey qokor otaiin otair otair okeedy kaiin aiin s aiin sy	abgemessene Trockendroge, fertig | trocken am Ende des Grades | heiße Drogenportion | kalt im Zubereitungsrahmen, Grad III | zweite kalte Drogenfraktion im Ansatz | zweite kalte Drogenfraktion im Ansatz | heißer Ansatz am Ende des Grades, abgeschlossen | heiß, Grad III | Menge III | Samen-/Saatgutposten | Menge III | Saatgut in Grundform	GDT662:EXACT_WHOLE:dchedy | GDT647:FAMILY_MIGRATION | GDT654:NEW_EXACT_WHOLE | V13:QUALITY_DEGREE_SERIES | GDT670:EXACT_WHOLE:otair | GDT670:EXACT_WHOLE:otair | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | GDT660:S_MEDIAL | V13:TARGET_SURFACE_DEFAULT | V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	abgemessene Trockendroge, fertig; vollständig getrocknet; heiße Drogenportion; kalt im Zubereitungsrahmen, Grad III; zweite kalte Drogenfraktion im Ansatz; zweite kalte Drogenfraktion im Ansatz; Ansatz auf Heizendstufe abgeschlossen; heiß, Grad III; drei Teile; Samen-/Saatgutposten; drei Teile; Saatgut in Grundform
3	0	f108v	f108v.41	S	B	3	11	11	1	0	4	0	1.000000	7	7	1	0	dshedy tedy checkhey sheeky lsheedain shear olkedy chy kar tar otaiin	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | kalt in der Mitte des Grades, abgeschlossen | trockenes Arzneikompositum in der Gradmitte | vollständig einweichen, erhitzen und abschließen | Holzdroge vollständig einweichen und zwei Dosen abmessen | erste Fraktion bis zur Mittelstufe einweichen | erhitzte Drogenbasis, fertig | trocken am Anfang des Grades | heiße Drogenfraktion I | kalte Drogenfraktion I | kalt im Zubereitungsrahmen, Grad III	GDT665:EXACT_WHOLE:dshedy | GDT647:FAMILY_MIGRATION | GDT651:STRONG_LEARNED_CKH_FAMILY | GDT667:EXACT_WHOLE:sheeky | GDT670:EXACT_WHOLE:lsheedain | GDT669:EXACT_WHOLE:shear | GDT662:EXACT_WHOLE:olkedy | GDT647:FAMILY_MIGRATION | GDT654:NEW_EXACT_WHOLE | GDT654:NEW_EXACT_WHOLE | V13:QUALITY_DEGREE_SERIES	READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED	NONE	NONE	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; bis zur mittleren Kühlstufe gebracht; trockenes Arzneikompositum in der Gradmitte; vollständig einweichen, erhitzen und abschließen; Holzdroge vollständig einweichen und zwei Dosen abmessen; erste Fraktion bis zur Mittelstufe einweichen; erhitzter Holzdrogenansatz, fertig; angetrocknet; heiße Drogenfraktion I; kalte Drogenfraktion I; kalt im Zubereitungsrahmen, Grad III
4	0	f10v	f10v.3	H	A	1	7	7	2	0	2	0	1.000000	5	5	1	0	dsho ytey kchol ol ty chol dy	eine Dosis Feuchtansatz abmessen | kühle hiervon bis zur Mittelstufe ab und schließe ab | erhitztes Trockengut | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt am Anfang des Grades | trocken; nominal trockenes Gut/Material | Qualitäts-/Wertfeld geschlossen	GDT669:EXACT_WHOLE:dsho | GDT670:EXACT_WHOLE:ytey | GDT665:EXACT_WHOLE:kchol | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT647:FAMILY_MIGRATION | V13:DRY_OL_FORM | GDT660:DY_EOS	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED	NONE	NONE	eine Dosis Feuchtansatz abmessen; kühle hiervon bis zur Mittelstufe ab und schließe ab; erhitztes Trockengut; Grundansatz; leicht gekühlt; Trockengut.
5	0	f111v	f111v.50	S	B	3	12	12	4	1	0	0	1.000000	12	12	1	1	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or	feucht, Grad III | nimm Ansatz in Zubereitungsform IV | heiß im Zubereitungsrahmen, Grad II | trocken in der Mitte des Grades | stark erhitzt, Endstufe III | heiß im Zubereitungsrahmen, Grad II | vollständig getrocknete Kräutermischung | Drogenfraktion I | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Charge Holzdrogenansatz der letzten Stufe | kalt im Zubereitungsrahmen, Grad II | Drogenportion	V13:QUALITY_DEGREE_SERIES | GDT670:EXACT_WHOLE:qoiiin | V13:QUALITY_DEGREE_SERIES | GDT647:FAMILY_MIGRATION | GDT662:EXACT_WHOLE:qokeeey | V13:QUALITY_DEGREE_SERIES | GDT664:EXACT_WHOLE:chees | GDT654:NEW_EXACT_WHOLE | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT669:EXACT_WHOLE:loeees | V13:QUALITY_DEGREE_SERIES | GDT654:REVISE_AMBIGUOUS_TO_EXACT	KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	NONE	NONE	feucht, Grad III; nimm Ansatz in Zubereitungsform IV; heiß im Zubereitungsrahmen, Grad II; bis zur mittleren Trockenstufe; erhitze bis Endstufe III; heiß im Zubereitungsrahmen, Grad II; vollständig getrocknete Kräutermischung; Drogenfraktion I; Grundansatz; Charge Holzdrogenansatz der letzten Stufe; kalt im Zubereitungsrahmen, Grad II; Drogenportion
6	0	f21r	f21r.9	H	A	1	9	9	1	0	2	0	1.000000	7	7	1	0	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	heiß, Grad III, im Ansatzrahmen | feuchter Ansatz | kalt eingeweichte Droge auf Stufe III | heiß-trocken, Grad III | angefeuchtete Krautdroge, Form I | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | fertiger Krautansatz | CTH-Drogenmaterial | Samen-/Saatgutposten	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | GDT670:EXACT_WHOLE:tshaiin | GDT638:ROUND_08 | GDT669:SH_READER_MERGE_RIGHT_KNOWN:shcthey | GDT638:ROUND_03 | GDT666:EXACT_WHOLE:cthody | V13:TARGET_SURFACE_DEFAULT | GDT660:S_EOS	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED	NONE	NONE	Ansatz auf Heizstufe III; feuchter Ansatz; kalt eingeweichte Droge auf Stufe III; heiß-trocken, Grad III; angefeuchtete Krautdroge, Form I; fertiger Krautansatz; Krautdroge; Samen-/Saatgutposten.
7	0	f24r	f24r.15	H	A	1	5	5	1	1	0	0	1.000000	5	5	1	1	ockhoees oeees ol dal s	Arzneikompositum ansetzen, vollständig bereiten und als Charge abschließen | Ansatzcharge der letzten Stufe | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | abgemessene Rohstoffmenge I | Samen-/Saatgutposten	GDT670:EXACT_WHOLE:ockhoees | GDT669:EXACT_WHOLE:oeees | V13:QUALITY_STATE_MATERIAL_CARRIER | GDT655:NEW_EXACT_WHOLE | GDT660:S_EOS	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | AMBIGUOUS_ACTIVE_RIVAL | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED	NONE	NONE	Arzneikompositum ansetzen, vollständig bereiten und als Charge abschließen; Ansatzcharge der letzten Stufe; Grundansatz; abgemessene Rohstoffmenge I; Samen-/Saatgutposten.
8	0	f24r	f24r.3	H	A	1	5	5	0	0	1	0	1.000000	4	5	1	0	ycthar cthal okol qotar ckhy	nimm hiervon die erste Kraut- oder Blattdrogenfraktion | Kraut- oder Blattdroge aus Rohdroge I | heißer Ansatzstoff | kalte Drogenfraktion I | Arzneikompositum am Gradanfang	GDT670:EXACT_WHOLE:ycthar | GDT669:EXACT_WHOLE:cthal | GDT665:EXACT_WHOLE:okol | GDT654:NEW_EXACT_WHOLE | GDT652:STRONG_NEUTRAL_CKH_FAMILY	READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	nimm hiervon die erste Kraut- oder Blattdrogenfraktion; Kraut- oder Blattdroge aus Rohdroge I; heißer Ansatzstoff; kalte Drogenfraktion I; Arzneikompositum am Gradanfang
9	0	f24v	f24v.5	H	A	1	4	4	0	0	2	0	1.000000	2	2	1	0	oeor oraiin tchar oro	eine Portion Ansatz der Mittelstufe | Portion III | erste Drogenfraktion abkühlen und trocknen | Ansatzportion	GDT670:EXACT_WHOLE:oeor | V13:TARGET_SURFACE_DEFAULT | GDT669:EXACT_WHOLE:tchar | GDT662:EXACT_WHOLE:oro	READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	NONE	NONE	eine Portion Ansatz der Mittelstufe; Portion III; erste Drogenfraktion abkühlen und trocknen; Ansatzportion
10	1	f28r	f28r.8	H	A	1	8	8	5	0	0	0	1.000000	8	8	1	1	oschotshl daiin okchey kol daiin shol dsho otaiin	getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand | Grad-/Maßwert III | heiß-trockener Ansatz in der Mitte des Grades | heiß; nominal heißes Gut/Material | Qualitätsgrad III | feucht; nominal feuchtes Gut/Material | eine Dosis Feuchtansatz abmessen | kalt im Zubereitungsrahmen, Grad III	GDT670:EXACT_WHOLE:oschotshl | V13:CONTEXTUAL_VALUE_SERIES | GDT647:FAMILY_MIGRATION | V13:HOT_OL_FORM | V13:CONTEXTUAL_VALUE_SERIES | V13:MOIST_OL_FORM | GDT669:EXACT_WHOLE:dsho | V13:QUALITY_DEGREE_SERIES	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED	NONE	NONE	getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand; drei Maße; heiß-trockener Ansatz in der Mitte des Grades; heiß; nominal heißes Gut/Material; Stufe III; Feuchtgut; eine Dosis Feuchtansatz abmessen; kalt im Zubereitungsrahmen, Grad III
