page	locus	section	target_occurrences	target_ordinals	target_surfaces	rendering_classes	zl3b_line	v46_token_glosses_de	v47_token_glosses_de	v47_working_translation_de	v46_unknown_tokens	v47_unknown_tokens	v47_complete
f103r	f103r.15	S	1	5	shkaiin	EXACT_WHOLE	qotedy qokeey shol qotey shkaiin	kalt in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | feucht; nominal feuchtes Gut/Material | kalt in der Mitte des Grades | [shkaiin:?]	kalt in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | feucht; nominal feuchtes Gut/Material | kalt in der Mitte des Grades | eingeweichte und erhitzte Droge auf Stufe III	bis zur mittleren Kühlstufe gebracht; bis zur Heizendstufe; Feuchtgut; bis zur mittleren Kühlstufe; eingeweichte und erhitzte Droge auf Stufe III	1	0	1
f104v	f104v.2	S	1	9	otair	EXACT_WHOLE	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	[ychedaiin:?] | [qoteed:?] | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | [qokamdy:?] | [otarar:?] | [alched:?] | [otair:?] | [oram:?]	[ychedaiin:?] | [qoteed:?] | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | [qokamdy:?] | [otarar:?] | [alched:?] | zweite kalte Drogenfraktion im Ansatz | [oram:?]	[ychedaiin:?]; [qoteed:?]; Arzneikompositum im Trockenansatz am Gradanfang; kalt im Zubereitungsrahmen, Grad III; davon drei Maße; [qokamdy:?]; [otarar:?]; [alched:?]; zweite kalte Drogenfraktion im Ansatz; [oram:?]	7	6	0
f104v	f104v.30	S	1	6	otair	EXACT_WHOLE	ycheol kaiin cheody shaiin qoeeol otair or cheeody okcheey lkair ar ar adam	trockener Drogenstoff dieser Droge | heiß, Grad III | getrockneter Ansatz | feucht, Grad III | [qoeeol:?] | [otair:?] | Drogenportion | [cheeody:?] | heiß-trockener Ansatz am Ende des Grades | [lkair:?] | Drogenfraktion I | Drogenfraktion I | [adam:?]	trockener Drogenstoff dieser Droge | heiß, Grad III | getrockneter Ansatz | feucht, Grad III | [qoeeol:?] | zweite kalte Drogenfraktion im Ansatz | Drogenportion | [cheeody:?] | heiß-trockener Ansatz am Ende des Grades | [lkair:?] | Drogenfraktion I | Drogenfraktion I | [adam:?]	trockener Drogenstoff dieser Droge; heiß, Grad III; getrockneter Ansatz; feucht, Grad III; [qoeeol:?]; zweite kalte Drogenfraktion im Ansatz; Drogenportion; [cheeody:?]; heiß-trockener Ansatz am Ende des Grades; [lkair:?]; Drogenfraktion I; Drogenfraktion I; [adam:?]	5	4	0
f104v	f104v.36	S	1	4	qoiiin	EXACT_WHOLE	sar aiir sheos qoiiin okeedy qokcheodaiin	Samenfraktion I | [aiir:?] | [sheos:?] | [qoiiin:?] | heißer Ansatz am Ende des Grades, abgeschlossen | [qokcheodaiin:?]	Samenfraktion I | [aiir:?] | [sheos:?] | nimm Ansatz in Zubereitungsform IV | heißer Ansatz am Ende des Grades, abgeschlossen | [qokcheodaiin:?]	Samenfraktion I; [aiir:?]; [sheos:?]; nimm Ansatz in Zubereitungsform IV; Ansatz auf Heizendstufe abgeschlossen; [qokcheodaiin:?]	4	3	0
f105r	f105r.37	S	1	3	otair	EXACT_WHOLE	otoiir chedaiin otair otaly	[otoiir:?] | abgemessene Trockendroge, Dosis III | [otair:?] | Rohstoff-I-Ansatz leicht kühlen und abschließen	[otoiir:?] | abgemessene Trockendroge, Dosis III | zweite kalte Drogenfraktion im Ansatz | Rohstoff-I-Ansatz leicht kühlen und abschließen	[otoiir:?]; abgemessene Trockendroge, Dosis III; zweite kalte Drogenfraktion im Ansatz; Rohstoff-I-Ansatz leicht kühlen und abschließen	2	1	0
f105v	f105v.20	S	1	4	otair	EXACT_WHOLE	porair chopchdy chedain otair otchod aiin alol cheo ypchedy kairodl lpaim	[porair:?] | [chopchdy:?] | zwei Dosen bis zur Mittelstufe getrockneter Droge | [otair:?] | [otchod:?] | Menge III | Drogenstoff aus Rohdroge I | trocken angesetzte Zubereitung | trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig | [kairodl:?] | [lpaim:?]	[porair:?] | [chopchdy:?] | zwei Dosen bis zur Mittelstufe getrockneter Droge | zweite kalte Drogenfraktion im Ansatz | [otchod:?] | Menge III | Drogenstoff aus Rohdroge I | trocken angesetzte Zubereitung | trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig | [kairodl:?] | [lpaim:?]	[porair:?]; [chopchdy:?]; zwei Dosen bis zur Mittelstufe getrockneter Droge; zweite kalte Drogenfraktion im Ansatz; [otchod:?]; drei Teile; Drogenstoff aus Rohdroge I; trocken angesetzte Zubereitung; trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig; [kairodl:?]; [lpaim:?]	6	5	0
f105v	f105v.30	S	2	5|6	otair|otair	EXACT_WHOLE|EXACT_WHOLE	dchedy cheey qokor otaiin otair otair okeedy kaiin aiin s aiin sy	abgemessene Trockendroge, fertig | trocken am Ende des Grades | heiße Drogenportion | kalt im Zubereitungsrahmen, Grad III | [otair:?] | [otair:?] | heißer Ansatz am Ende des Grades, abgeschlossen | heiß, Grad III | Menge III | Samen-/Saatgutposten | Menge III | Saatgut in Grundform	abgemessene Trockendroge, fertig | trocken am Ende des Grades | heiße Drogenportion | kalt im Zubereitungsrahmen, Grad III | zweite kalte Drogenfraktion im Ansatz | zweite kalte Drogenfraktion im Ansatz | heißer Ansatz am Ende des Grades, abgeschlossen | heiß, Grad III | Menge III | Samen-/Saatgutposten | Menge III | Saatgut in Grundform	abgemessene Trockendroge, fertig; vollständig getrocknet; heiße Drogenportion; kalt im Zubereitungsrahmen, Grad III; zweite kalte Drogenfraktion im Ansatz; zweite kalte Drogenfraktion im Ansatz; Ansatz auf Heizendstufe abgeschlossen; heiß, Grad III; drei Teile; Samen-/Saatgutposten; drei Teile; Saatgut in Grundform	2	0	1
f105v	f105v.36	S	1	6	otair	EXACT_WHOLE	laiin sheod okeeody qoaiin ytaiin otair chdal dy daim chdaiin oy	Drogenholz, Typ/Charge III | [sheod:?] | [okeeody:?] | nimm drei Teile | Eintrag: kalt, Stufe III | [otair:?] | trockene abgemessene Rohstoffmenge I am Gradanfang | Qualitäts-/Wertfeld geschlossen | eine zweite Dosis abmessen | [chdaiin:?] | Ansatz in Grundform	Drogenholz, Typ/Charge III | [sheod:?] | [okeeody:?] | nimm drei Teile | Eintrag: kalt, Stufe III | zweite kalte Drogenfraktion im Ansatz | trockene abgemessene Rohstoffmenge I am Gradanfang | Qualitäts-/Wertfeld geschlossen | eine zweite Dosis abmessen | [chdaiin:?] | Ansatz in Grundform	Drogenholz, Typ/Charge III; [sheod:?]; [okeeody:?]; nimm drei Teile; hierzu: kalt, Stufe III; zweite kalte Drogenfraktion im Ansatz; trockene abgemessene Rohstoffmenge I am Gradanfang; eine zweite Dosis abmessen; [chdaiin:?]; Ansatz in Grundform	4	3	0
f105v	f105v.7	S	1	3	otair	EXACT_WHOLE	ycheeo lkaiin otair ol olkaiin okairody lchedr	Eintrag: zweiter Trockenansatz | Holzdroge, heiß auf Stufe III | [otair:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Drogenbasis, Stufe III | [okairody:?] | [lchedr:?]	Eintrag: zweiter Trockenansatz | Holzdroge, heiß auf Stufe III | zweite kalte Drogenfraktion im Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Drogenbasis, Stufe III | [okairody:?] | [lchedr:?]	Eintrag: zweiter Trockenansatz; Holzdroge, heiß auf Stufe III; zweite kalte Drogenfraktion im Ansatz; Grundansatz; Holzdrogenansatz auf Heizstufe III; [okairody:?]; [lchedr:?]	3	2	0
f106r	f106r.14	S	1	5	otair	EXACT_WHOLE	ychol okaiin olcheey dolchedy otair otal chedy okeor	trockne hiervon den Drogenstoff | heiß, Grad III, im Ansatzrahmen | Holzdrogenansatz vollständig trocknen | [dolchedy:?] | [otair:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | eine Portion Ansatz bis zur Mittelstufe erhitzen	trockne hiervon den Drogenstoff | heiß, Grad III, im Ansatzrahmen | Holzdrogenansatz vollständig trocknen | [dolchedy:?] | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | eine Portion Ansatz bis zur Mittelstufe erhitzen	trockne hiervon den Drogenstoff; Ansatz auf Heizstufe III; Holzdrogenansatz vollständig trocknen; [dolchedy:?]; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht; eine Portion Ansatz bis zur Mittelstufe erhitzen	2	1	0
f106r	f106r.44	S	1	9	otair	EXACT_WHOLE	dshedy qoteey otaiin chy chealol chlchd aiin oty otair otaiikam	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | kalt am Ende des Grades | kalt im Zubereitungsrahmen, Grad III | trocken am Anfang des Grades | [chealol:?] | [chlchd:?] | Menge III | kalter Ansatz am Anfang des Grades | [otair:?] | [otaiikam:?]	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | kalt am Ende des Grades | kalt im Zubereitungsrahmen, Grad III | trocken am Anfang des Grades | [chealol:?] | [chlchd:?] | Menge III | kalter Ansatz am Anfang des Grades | zweite kalte Drogenfraktion im Ansatz | [otaiikam:?]	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; bis zur Kühlendstufe; kalt im Zubereitungsrahmen, Grad III; angetrocknet; [chealol:?]; [chlchd:?]; drei Teile; kalter Ansatz am Anfang des Grades; zweite kalte Drogenfraktion im Ansatz; [otaiikam:?]	4	3	0
f106r	f106r.6	S	1	4	otair	EXACT_WHOLE	shor sheor orkchsd otair or qokeeo raiin qokeeolchedy olchedy qokeol qoky	Blüten-/Fruchtstand; reproduktiver Teil | feuchter Drogenteil | [orkchsd:?] | [otair:?] | Drogenportion | heißer Ansatz, Bindungsstufe II | Wurzel, Typ/Charge III | [qokeeolchedy:?] | Holzdroge im Ansatz fertig getrocknet | erhitze den Drogenstoff bis zur Mittelstufe | heiß am Anfang des Grades	Blüten-/Fruchtstand; reproduktiver Teil | feuchter Drogenteil | [orkchsd:?] | zweite kalte Drogenfraktion im Ansatz | Drogenportion | heißer Ansatz, Bindungsstufe II | Wurzel, Typ/Charge III | [qokeeolchedy:?] | Holzdroge im Ansatz fertig getrocknet | erhitze den Drogenstoff bis zur Mittelstufe | heiß am Anfang des Grades	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; feuchter Drogenteil; [orkchsd:?]; zweite kalte Drogenfraktion im Ansatz; Drogenportion; heißer Ansatz, Bindungsstufe II; Wurzel, Typ/Charge III; [qokeeolchedy:?]; Holzdroge im Ansatz fertig getrocknet; erhitze den Drogenstoff bis zur Mittelstufe; leicht erhitzt	3	2	0
f106v	f106v.1	S	1	6	otair	EXACT_WHOLE	fsheda looin opaiiral oteodaiin chopchy otair kar alalor aiin aly kar	[fsheda:?] | [looin:?] | [opaiiral:?] | [oteodaiin:?] | [chopchy:?] | [otair:?] | heiße Drogenfraktion I | [alalor:?] | Menge III | Rohstoffklasse I, Grundform | heiße Drogenfraktion I	[fsheda:?] | [looin:?] | [opaiiral:?] | [oteodaiin:?] | [chopchy:?] | zweite kalte Drogenfraktion im Ansatz | heiße Drogenfraktion I | [alalor:?] | Menge III | Rohstoffklasse I, Grundform | heiße Drogenfraktion I	[fsheda:?]; [looin:?]; [opaiiral:?]; [oteodaiin:?]; [chopchy:?]; zweite kalte Drogenfraktion im Ansatz; heiße Drogenfraktion I; [alalor:?]; drei Teile; Rohstoff I, Grundform; heiße Drogenfraktion I	7	6	0
f107r	f107r.14	S	1	7	otarain	EXACT_WHOLE	cthedy lshedy cheolchear or alam chtaiin otarain chey qokaiin otain	[cthedy:?] | eingeweichtes Drogenholz | [cheolchear:?] | Drogenportion | ein Maß Rohdroge I | [chtaiin:?] | [otarain:?] | trocken in der Mitte des Grades | heiß, Grad III | kalt im Zubereitungsrahmen, Grad II	[cthedy:?] | eingeweichtes Drogenholz | [cheolchear:?] | Drogenportion | ein Maß Rohdroge I | [chtaiin:?] | zwei Teile der ersten kalten Drogenfraktion im Ansatz | trocken in der Mitte des Grades | heiß, Grad III | kalt im Zubereitungsrahmen, Grad II	[cthedy:?]; eingeweichtes Drogenholz; [cheolchear:?]; Drogenportion; ein Maß Rohdroge I; [chtaiin:?]; zwei Teile der ersten kalten Drogenfraktion im Ansatz; bis zur mittleren Trockenstufe; heiß, Grad III; kalt im Zubereitungsrahmen, Grad II	4	3	0
f107r	f107r.26	S	1	7	otair	EXACT_WHOLE	ol cheor shey cheey olcheol kaiin otair okal cheody	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenteil | feucht in der Mitte des Grades | trocken am Ende des Grades | [olcheol:?] | heiß, Grad III | [otair:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | getrockneter Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenteil | feucht in der Mitte des Grades | trocken am Ende des Grades | [olcheol:?] | heiß, Grad III | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | getrockneter Ansatz	Grundansatz; trockener Drogenteil; bis zur mittleren Einweichstufe; vollständig getrocknet; [olcheol:?]; heiß, Grad III; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht erhitzt im Ansatz; getrockneter Ansatz	2	1	0
f107r	f107r.33	S	1	2	chekain	EXACT_WHOLE	yaiin chekain cheo kaiin chey qol kaiiin chky lcheel lkar okal	[yaiin:?] | [chekain:?] | trocken angesetzte Zubereitung | heiß, Grad III | trocken in der Mitte des Grades | Drogenstoff zugeben | heiß, Grad IV | getrocknete Droge leicht erhitzen | [lcheel:?] | heiße Holzfraktion I | Rohstoffklasse I im Ansatz, heiß am Gradanfang	[yaiin:?] | bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen | trocken angesetzte Zubereitung | heiß, Grad III | trocken in der Mitte des Grades | Drogenstoff zugeben | heiß, Grad IV | getrocknete Droge leicht erhitzen | [lcheel:?] | heiße Holzfraktion I | Rohstoffklasse I im Ansatz, heiß am Gradanfang	[yaiin:?]; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; trocken angesetzte Zubereitung; heiß, Grad III; bis zur mittleren Trockenstufe; gib Folgendes hinzu: heiß, Grad IV; getrocknete Droge leicht erhitzen; [lcheel:?]; heiße Holzfraktion I; Rohstoff I, leicht erhitzt im Ansatz	3	2	0
f107r	f107r.40	S	1	8	otair	EXACT_WHOLE	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	[lolkaiin:?] | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | [olkar:?] | [otair:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang	[lolkaiin:?] | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | [olkar:?] | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang	[lolkaiin:?]; bis zur mittleren Trockenstufe; heiß, Grad III; Rohstoff I, trocken am Gradanfang; drei Teile; Ansatz auf Heizstufe III; [olkar:?]; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht erhitzt im Ansatz; Rohstoff I, leicht erhitzt im Ansatz	3	2	0
f108v	f108v.41	S	1	5	lsheedain	EXACT_WHOLE	dshedy tedy checkhey sheeky lsheedain shear olkedy chy kar tar otaiin	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | kalt in der Mitte des Grades, abgeschlossen | trockenes Arzneikompositum in der Gradmitte | vollständig einweichen, erhitzen und abschließen | [lsheedain:?] | erste Fraktion bis zur Mittelstufe einweichen | erhitzte Drogenbasis, fertig | trocken am Anfang des Grades | heiße Drogenfraktion I | kalte Drogenfraktion I | kalt im Zubereitungsrahmen, Grad III	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | kalt in der Mitte des Grades, abgeschlossen | trockenes Arzneikompositum in der Gradmitte | vollständig einweichen, erhitzen und abschließen | Holzdroge vollständig einweichen und zwei Dosen abmessen | erste Fraktion bis zur Mittelstufe einweichen | erhitzte Drogenbasis, fertig | trocken am Anfang des Grades | heiße Drogenfraktion I | kalte Drogenfraktion I | kalt im Zubereitungsrahmen, Grad III	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; bis zur mittleren Kühlstufe gebracht; trockenes Arzneikompositum in der Gradmitte; vollständig einweichen, erhitzen und abschließen; Holzdroge vollständig einweichen und zwei Dosen abmessen; erste Fraktion bis zur Mittelstufe einweichen; erhitzter Holzdrogenansatz, fertig; angetrocknet; heiße Drogenfraktion I; kalte Drogenfraktion I; kalt im Zubereitungsrahmen, Grad III	1	0	1
f10r	f10r.7	H	1	4	kchaiin	EXACT_WHOLE	dchy qokchol y kchaiin yty daiin cth dain dair am	Dosis Trockendroge, Grundform | heiß-trockenes Drogenmaterial | hierzu: | [kchaiin:?] | kühle hiervon leicht ab | Grad-/Maßwert III | [cth:?] | Grad-/Maßwert II | abgemessene Fraktion II | Maßeinheit I	Dosis Trockendroge, Grundform | heiß-trockenes Drogenmaterial | hierzu: | heiß-getrocknete Droge auf Stufe III | kühle hiervon leicht ab | Grad-/Maßwert III | [cth:?] | Grad-/Maßwert II | abgemessene Fraktion II | Maßeinheit I	Dosis Trockendroge, Grundform; heiß-trockenes Drogenmaterial; hierzu: heiß-getrocknete Droge auf Stufe III; kühle hiervon leicht ab; drei Maße; [cth:?]; zwei Maße; abgemessene Fraktion II; Maßeinheit I	2	1	0
f10v	f10v.3	H	1	2	ytey	EXACT_WHOLE	dsho ytey kchol ol ty chol dy	eine Dosis Feuchtansatz abmessen | [ytey:?] | erhitztes Trockengut | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt am Anfang des Grades | trocken; nominal trockenes Gut/Material | Qualitäts-/Wertfeld geschlossen	eine Dosis Feuchtansatz abmessen | kühle hiervon bis zur Mittelstufe ab und schließe ab | erhitztes Trockengut | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt am Anfang des Grades | trocken; nominal trockenes Gut/Material | Qualitäts-/Wertfeld geschlossen	eine Dosis Feuchtansatz abmessen; kühle hiervon bis zur Mittelstufe ab und schließe ab; erhitztes Trockengut; Grundansatz; leicht gekühlt; Trockengut.	1	0	1
