rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v46_translation_de	v47_translation_de	status
1	f108v	f108v.41	lsheedain	Holzdroge vollständig einweichen und zwei Dosen abmessen	Holzdroge vollständig einweichen und zwei Dosen abmessen	PRODUCTIVE_COMPOUND	L_WOOD+SH_MOIST+EE_END+D_MEASURE+AIN_II	zwei Dosen vollständig eingeweichter Holzdroge	LOW_EXPLORATORY	NONE	dshedy tedy checkhey sheeky lsheedain shear olkedy chy kar tar otaiin	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; bis zur mittleren Kühlstufe gebracht; trockenes Arzneikompositum in der Gradmitte; vollständig einweichen, erhitzen und abschließen; [lsheedain:?]; erste Fraktion bis zur Mittelstufe einweichen; erhitzter Holzdrogenansatz, fertig; angetrocknet; heiße Drogenfraktion I; kalte Drogenfraktion I; kalt im Zubereitungsrahmen, Grad III	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; bis zur mittleren Kühlstufe gebracht; trockenes Arzneikompositum in der Gradmitte; vollständig einweichen, erhitzen und abschließen; Holzdroge vollständig einweichen und zwei Dosen abmessen; erste Fraktion bis zur Mittelstufe einweichen; erhitzter Holzdrogenansatz, fertig; angetrocknet; heiße Drogenfraktion I; kalte Drogenfraktion I; kalt im Zubereitungsrahmen, Grad III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f10v	f10v.3	ytey	kühle hiervon bis zur Mittelstufe ab und schließe ab	kühle hiervon bis zur Mittelstufe ab und schließe ab	PRODUCTIVE_COMPOUND	Y_REFERENCE+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	mittlere Kühlstufe dieser Droge, abgeschlossen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dsho ytey kchol ol ty chol dy	eine Dosis Feuchtansatz abmessen; [ytey:?]; erhitztes Trockengut; Grundansatz; leicht gekühlt; Trockengut.	eine Dosis Feuchtansatz abmessen; kühle hiervon bis zur Mittelstufe ab und schließe ab; erhitztes Trockengut; Grundansatz; leicht gekühlt; Trockengut.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f111v	f111v.50	qoiiin	nimm Ansatz in Zubereitungsform IV	nimm Ansatz in Zubereitungsform IV	PRODUCTIVE_COMPOUND	QO_COMMAND+O_PREP+IIIN_FORM_IV	nimm Zubereitungsform IV	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or	feucht, Grad III; [qoiiin:?]; heiß im Zubereitungsrahmen, Grad II; bis zur mittleren Trockenstufe; erhitze bis Endstufe III; heiß im Zubereitungsrahmen, Grad II; vollständig getrocknete Kräutermischung; Drogenfraktion I; Grundansatz; Charge Holzdrogenansatz der letzten Stufe; kalt im Zubereitungsrahmen, Grad II; Drogenportion	feucht, Grad III; nimm Ansatz in Zubereitungsform IV; heiß im Zubereitungsrahmen, Grad II; bis zur mittleren Trockenstufe; erhitze bis Endstufe III; heiß im Zubereitungsrahmen, Grad II; vollständig getrocknete Kräutermischung; Drogenfraktion I; Grundansatz; Charge Holzdrogenansatz der letzten Stufe; kalt im Zubereitungsrahmen, Grad II; Drogenportion	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f21r	f21r.9	tshaiin	kalt eingeweichte Droge auf Stufe III	kalt eingeweichte Droge auf Stufe III	PRODUCTIVE_COMPOUND	T_COLD+SH_MOIST+AIIN_III	drei Teile abkühlen und einweichen	LOW_EXPLORATORY	NONE	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	Ansatz auf Heizstufe III; feuchter Ansatz; [tshaiin:?]; heiß-trocken, Grad III; angefeuchtete Krautdroge, Form I; fertiger Krautansatz; Krautdroge; Samen-/Saatgutposten.	Ansatz auf Heizstufe III; feuchter Ansatz; kalt eingeweichte Droge auf Stufe III; heiß-trocken, Grad III; angefeuchtete Krautdroge, Form I; fertiger Krautansatz; Krautdroge; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f24r	f24r.15	ockhoees	Arzneikompositum ansetzen, vollständig bereiten und als Charge abschließen	Arzneikompositum ansetzen, vollständig bereiten und als Charge abschließen	PRODUCTIVE_COMPOUND	O_PREP+CKH_COMPOSITE+O_PREP+EE_END+S_TERM_SPECIES	vollständig bereitete Ansatzcharge eines Arzneikompositums	LOW_EXPLORATORY	NONE	ockhoees oeees ol dal s	[ockhoees:?]; Ansatzcharge der letzten Stufe; Grundansatz; abgemessene Rohstoffmenge I; Samen-/Saatgutposten.	Arzneikompositum ansetzen, vollständig bereiten und als Charge abschließen; Ansatzcharge der letzten Stufe; Grundansatz; abgemessene Rohstoffmenge I; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f24r	f24r.3	ycthar	nimm hiervon die erste Kraut- oder Blattdrogenfraktion	nimm hiervon die erste Kraut- oder Blattdrogenfraktion	PRODUCTIVE_COMPOUND	Y_REFERENCE+CTH_HERB+AR_FRACTION_I	erste Kraut- oder Blattfraktion hiervon	LOW_EXPLORATORY	NONE	ycthar cthal okol qotar ckhy	[ycthar:?]; Kraut- oder Blattdroge aus Rohdroge I; heißer Ansatzstoff; kalte Drogenfraktion I; Arzneikompositum am Gradanfang	nimm hiervon die erste Kraut- oder Blattdrogenfraktion; Kraut- oder Blattdroge aus Rohdroge I; heißer Ansatzstoff; kalte Drogenfraktion I; Arzneikompositum am Gradanfang	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f24v	f24v.5	oeor	eine Portion Ansatz der Mittelstufe	eine Portion Ansatz der Mittelstufe	PRODUCTIVE_COMPOUND	O_PREP+E_MIDDLE+OR_PORTION	eine Portion Ansatz bis zur Mittelstufe bringen	LOW_EXPLORATORY	NONE	oeor oraiin tchar oro	[oeor:?]; Portion III; erste Drogenfraktion abkühlen und trocknen; Ansatzportion	eine Portion Ansatz der Mittelstufe; Portion III; erste Drogenfraktion abkühlen und trocknen; Ansatzportion	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f28r	f28r.8	oschotshl	getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand	getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand	LEARNED_WHOLE	LEARNED_OSCHOTSHL_WHOLE	Saatgutansatz trocknen, abkühlen, einweichen und Holzdroge zugeben	LOW_EXPLORATORY	NONE	oschotshl daiin okchey kol daiin shol dsho otaiin	[oschotshl:?]; drei Maße; heiß-trockener Ansatz in der Mitte des Grades; heiß; nominal heißes Gut/Material; Stufe III; Feuchtgut; eine Dosis Feuchtansatz abmessen; kalt im Zubereitungsrahmen, Grad III	getrockneter Holz-Saatgutansatz in kalt-feuchtem Zustand; drei Maße; heiß-trockener Ansatz in der Mitte des Grades; heiß; nominal heißes Gut/Material; Stufe III; Feuchtgut; eine Dosis Feuchtansatz abmessen; kalt im Zubereitungsrahmen, Grad III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f29r	f29r.3	kchaiin	heiß-getrocknete Droge auf Stufe III	heiß-getrocknete Droge auf Stufe III	PRODUCTIVE_COMPOUND	K_HOT+CH_DRY+AIIN_III	drei Teile erhitzen und trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	qokchy qoty kchaiin shear cthor dchor choly	heiß und angetrocknet; leicht gekühlt; [kchaiin:?]; erste Fraktion bis zur Mittelstufe einweichen; Drogenteil/-portion; Portion Blatt-/Krautdroge; abgemessener Pflanzenteil; Trockenrückstand	heiß und angetrocknet; leicht gekühlt; heiß-getrocknete Droge auf Stufe III; erste Fraktion bis zur Mittelstufe einweichen; Drogenteil/-portion; Portion Blatt-/Krautdroge; abgemessener Pflanzenteil; Trockenrückstand	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f32v	f32v.3	ka	ein erhitzter Teil	ein erhitzter Teil	CONTEXT_SCOPED_SHORT_FORM	K_HOT+A_PART_OR_LINK	erhitze einen Teil	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	NONE	shor daiin chckhy dsho dain daiin s shokey ka	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; Menge/Portion III; Arzneikompositum: trocken, Gradanfang; eine Dosis Feuchtansatz abmessen; zwei Maße; drei Maße; Samen-/Saatgutposten; heiß-feuchter Ansatz in der Gradmitte; [ka:?]	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; Menge/Portion III; Arzneikompositum: trocken, Gradanfang; eine Dosis Feuchtansatz abmessen; zwei Maße; drei Maße; Samen-/Saatgutposten; heiß-feuchter Ansatz in der Gradmitte; ein erhitzter Teil	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
