rank	surface	full_panel_positions	newly_exposed_lines	first_locus	status
1	qoeedy	16	1	f112v.21	NEXT_V47_ONE_HOLE_FRONTIER
2	teol	13	1	f81v.24	NEXT_V47_ONE_HOLE_FRONTIER
3	ychey	13	1	f40r.10	NEXT_V47_ONE_HOLE_FRONTIER
4	ldar	5	1	f95r1.11	NEXT_V47_ONE_HOLE_FRONTIER
5	olcheol	5	1	f107r.26	NEXT_V47_ONE_HOLE_FRONTIER
6	cth	4	1	f10r.7	NEXT_V47_ONE_HOLE_FRONTIER
7	shekain	3	1	f116r.42	NEXT_V47_ONE_HOLE_FRONTIER
8	daiiy	2	1	f47v.2	NEXT_V47_ONE_HOLE_FRONTIER
9	oteedaiin	2	1	f111r.11	NEXT_V47_ONE_HOLE_FRONTIER
10	qotod	2	1	f9r.3	NEXT_V47_ONE_HOLE_FRONTIER
11	toldy	2	1	f9v.4	NEXT_V47_ONE_HOLE_FRONTIER
12	dolchedy	1	1	f106r.14	NEXT_V47_ONE_HOLE_FRONTIER
13	keocthy	1	1	f15r.7	NEXT_V47_ONE_HOLE_FRONTIER
14	otoiir	1	1	f105r.37	NEXT_V47_ONE_HOLE_FRONTIER
15	ychekch	1	1	f18r.14	NEXT_V47_ONE_HOLE_FRONTIER
