card_rank	surface	family	card_type	composition	working_meaning_de	working_render_de	strongest_rival_de	confidence	expected_occurrences	expected_pages	action_license	productive_scope	decision_reason	observed_occurrences	observed_pages	both_exact	it2a_only_exact	rf1b_only_exact	neither_exact	context_holds
1	olord	WOOD_PREPARATION_PORTION_RESULT	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+OR_PORTION+D_DRAWN_OFF	abgezogene Portion Holzdrogenansatz	abgezogene Holzdrogenansatz-Portion	abgemessene Holzportion, abgeschlossen	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; O-L wood preparation, OR portion and terminal D result stay bound	The unique occurrence precedes value IV after finished wood powder and preserves the visible portion/result order.	1	1	1	0	0	0	1
2	tail	COLD_RAW_DRUG_FRACTION_II	READER_RIVAL_COMPOUND	T_COLD+AIL_RAW_FRACTION_II	kaltgestellte Rohdroge II	kaltgestellte Rohdroge II	erhitzte Rohdroge II under IT2a kail	LOW_EXPLORATORY	1	1	0	exact whole; the T/K polarity is not exported while the readers disagree	RF1b preserves tail, IT2a reads kail; the cold default follows ZL3b but the hot rival remains explicit.	1	1	0	0	1	0	1
3	kard	HOT_FRACTION_I_RESULT	PRODUCTIVE_COMPOUND	K_HOT+AR_FRACTION_I+D_DRAWN_OFF	erste erhitzte Drogenfraktion, abgezogen	erste erhitzte Drogenfraktion, abgezogen	erste erhitzte Fraktion abmessen	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; terminal D closes the K-AR fraction	K, AR and terminal D retain the established heat, first-fraction and drawn-off sequence.	1	1	1	0	0	0	1
4	cthoor	HERB_PREPARATION_PORTION	PRODUCTIVE_COMPOUND	CTHO_HERB_PREP+OR_PORTION	eine Portion Blatt- oder Krautansatz	eine Portion Blatt- oder Krautansatz	Blatt- oder Krautansatz ohne portion value	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; doubled O remains internal to the CTHO-OR join	It is the one-portion counterpart of GDT679 cthororaiin, three herb portions.	1	1	1	0	0	0	1
5	chair	DRY_FRACTION_II	PRODUCTIVE_COMPOUND	CH_DRY+AIR_FRACTION_II	zweite Trockenfraktion	zweite Trockenfraktion	zweite Trockenpulverfraktion at bilateral pchair	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	0	exact whole; f47r.1 has a reader-controlled P head	The AR/AIR ladder changes first to second fraction; both alternate readers add P only at f47r.1.	2	2	1	0	0	1	2
6	otytchol	RECOOLED_DRY_MATERIAL_PREPARATION	PRODUCTIVE_COMPOUND	O_PREP+TY_COLD_START+T_COLD+CH_DRY+OL_MATERIAL	nachgekühlter Trockenstoff im Ansatz	nachgekühlter Trockenstoff im Ansatz	kalter Ansatz aus Trockenstoff, Anfangsstufe	LOW_EXPLORATORY	1	1	0	exact whole; the repeated T/Y/T sequence is kept local	The sole fully exact context is a cold/dry register between the second dry fraction and a hot preparation start.	1	1	1	0	0	0	1
7	etyd	COLD_MIDDLE_RESULT	PRODUCTIVE_COMPOUND	E_MIDDLE+TY_COLD_START+D_CLOSE	bis Mittelstufe gekühlter Ansatz, abgeschlossen	bis Mittelstufe gekühlter Ansatz, abgeschlossen	kalte Mittelstufe abschließen as an action	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; no free E or TY word is exported	The final source slot follows a grade-III value and completes the cold branch opened by otytchol.	1	1	1	0	0	0	1
8	oidal	PREPARATION_RAW_MEASURE_FORM_I	READER_RIVAL_COMPOUND	O_PREP+I_FORM_I+DAL_RAW_MEASURE_I	abgemessene Rohstoffmenge I im Ansatz, Grundform	abgemessene Rohstoffmenge I im Ansatz, Grundform	bis Mittelstufe abgemessene Rohdroge I under IT2a oedal	LOW_EXPLORATORY	1	1	0	exact ZL3b/RF1b whole; known ODAL stays intact and internal I remains local	Known odal already denotes measured raw material I in preparation; the extra I is kept as a local base-form field rather than misread as AIR fraction II.	1	1	0	0	1	0	1
9	op	POWDER_PREPARATION	PRODUCTIVE_SHORT_CARD	O_PREP+P_POWDER	Pulveransatz	Pulveransatz	bound opchedy finished powder preparation at f78v.20	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	0	exact short card only; reader joins override it locally	The source occurrence is bilateral exact; both alternate readers bind the other occurrence to following chedy.	2	2	1	0	0	1	2
10	shoko	HEATED_MOIST_PREPARATION	LEARNED_COMPOUND	SH_MOIST+OKO_HEATED_PREPARATION	erhitzter Feuchtansatz	erhitzter Feuchtansatz	Feuchtansatz zum Erhitzen	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; OKO remains a learned heated-preparation block	The fully exact singleton sits between powder preparation and a cold-dry preparation in one preparation register.	1	1	1	0	0	0	1
