locus	ordinal	surface	resolution_class	applied_render_de	reader_preference	review_note	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	context_after_de
f100r.12	5	da	RF1B_EXACT_RETAIN	eine Teilmenge abmessen	ZL3b+RF1b	IT2a aligns a longer divergent token here; RF1b preserves da and the local material list accepts the measure core.	ONE	cthdaoto	EXACT	da	RF1B_ONLY_EXACT	getrockneter Pulverstoff · ⟦sheod:?⟧ · ⟦qocpheeckhy:?⟧ · ⟦shodol:?⟧ · eine Teilmenge abmessen · ⟦oto:?⟧ · ⟦choos:?⟧ · feucht am Ende des Grades · Trockenansatz · Samen-/Saatgutposten.
f105v.14	7	tail	ONE_READER_POLARITY_RIVAL	kaltgestellte Rohdroge II	ZL3b+RF1b tail; IT2a kail rival	The source keeps cold T while IT2a supplies a genuine hot K rival; neither polarity is generalized.	ONE	kail	EXACT	tail	RF1B_ONLY_EXACT	drei Dosen bis Mittelstufe getrocknetes Pulver · Arzneikompositum: trocken, Gradanfang, abgeschlossen · nimm die dritte erhitzte Drogenfraktion · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦olord:?⟧ · Menge-/Klassenwert IV · kaltgestellte Rohdroge II · erste Ansatzfraktion abmessen · ⟦kard:?⟧ · Droge kalt trocknen und leicht nachtrocknen.
f107r.27	5	ofchedy	IT2A_EXACT_RETAIN	fertig getrockneter Blütenansatz	ZL3b+IT2a	RF1b substitutes qofche, while known fchedy and five other target occurrences preserve the finished dry-flower family.	EXACT	ofchedy	ONE	qofche	IT2A_ONLY_EXACT	⟦pydar:?⟧ · ⟦aiirod:?⟧ · ⟦qokiir:?⟧ · ⟦otiir:?⟧ · fertig getrockneter Blütenansatz · ⟦qofchedy:?⟧ · ⟦qofchol:?⟧ · heiß-trocken, Grad III · ⟦chpaiin:?⟧ · Drogenstoffportion.
f114r.42	9	qopaiin	RF1B_EXACT_RETAIN	drei Teile Pulveransatz nehmen	ZL3b+RF1b	IT2a qopoiin changes the inner value; six other positions preserve the qopaiin powder-quantity take command.	ONE	qopoiin	EXACT	qopaiin	RF1B_ONLY_EXACT	⟦poedair:?⟧ · kaltes Material · Qualitätsgrad III · kalt im Zubereitungsrahmen, Grad III · kalte Drogenfraktion I · kalt und trocken in der Mitte des Grades · kalt, Grad III · ⟦cheopy:?⟧ · drei Teile Pulveransatz nehmen · getrockneter Ansatz.
f114r.44	11	da	BILATERAL_MEASURE_VARIANTS	eine Teilmenge abmessen	IT2a dor; RF1b das	Neither reader preserves the short surface, but both alternatives remain in the dose/portion field and retain the practical subdivision core.	ONE	dor	ONE	das	NEITHER_EXACT	davon drei Maße · trocken in der Mitte des Grades, abgeschlossen · Rohstoffklasse I · trocken am Ende des Grades · erhitze die zweite Fraktion · heißer Ansatz am Ende des Grades, abgeschlossen · Trockenansatz aus kaltem Rohstoff Klasse I am Gradanfang · trocken; nominal trockenes Gut/Material · heiß im Zubereitungsrahmen, Grad II · Drogenfraktion I · eine Teilmenge abmessen · ⟦opaiin:?⟧.
f114v.36	2	oidal	RF1B_EXACT_WITH_STAGE_RIVAL	abgemessene Rohstoffmenge I im Ansatz, Grundform	ZL3b+RF1b oidal; IT2a oedal rival	Known odal preserves the measured raw-material-I core; IT2a E keeps a middle-stage rival for the internal form field.	ONE	oedal	EXACT	oidal	RF1B_ONLY_EXACT	kalt und feucht in der Mitte des Grades · abgemessene Rohstoffmenge I im Ansatz, Grundform · ⟦op:?⟧ · ⟦shoko:?⟧ · kalt-trockener Ansatz in der Mitte des Grades · nimm getrockneten Pulverstoff · ⟦qopaiin:?⟧ · kalte Drogenfraktion I · Rohstoffklasse I · Rohstoffklasse I, heiß am Gradanfang · Wurzel/Wurzeldroge: Maß-/Einheitsform I.
f29r.5	6	da	BILATERAL_DIVERGENCE_QUARANTINE	eine Teilmenge	ZL3b only; IT2a do; RF1b e	This is the weakest da locus; practical prose uses only a nominal part and exports no letter value from the three-way disagreement.	ONE	do	ONE	e	NEITHER_EXACT	⟦kcheol:?⟧ · trockener Drogenteil · ⟦sheos:?⟧ · feucht am Ende des Grades · kalt am Ende des Grades · eine Teilmenge · Charge Feuchtansatz · Ansatzwasser.
f31r.3	9	da	IT2A_EXACT_RETAIN	eine Teilmenge abmessen	ZL3b+IT2a	RF1b dey differs, but the final quantity sequence preserves a concrete subdivision reading.	EXACT	da	ONE	dey	IT2A_ONLY_EXACT	heiß am Ende des Grades · trocken in der Mitte des Grades · Grad-/Maßwert III · heiß am Ende des Grades · Samenfraktion II · ⟦chekey:?⟧ · Samen-/Saatgutposten · Menge III · eine Teilmenge abmessen.
f41r.8	9	qodar	RF1B_EXACT_FRACTION_OVER_PORTION	die erste Ansatzfraktion abmessen	ZL3b+RF1b qodar; IT2a qodor rival	The D-AR first-fraction default remains, while IT2a offers the already known D-OR preparation-portion command.	ONE	qodor	EXACT	qodar	RF1B_ONLY_EXACT	abgemessene Fraktion II · trocken in der Mitte des Grades, abgeschlossen · Arzneikompositum: trocken, Gradanfang · heiß in der Mitte des Grades · Drogenholz, getrocknete Kurz-/Kompaktform · heiß in der Mitte des Grades, abgeschlossen · Rohstoffklasse I, heiß am Gradanfang · ⟦chekedy:?⟧ · die erste Ansatzfraktion abmessen · ⟦ag:?⟧.
f47r.1	1	chair	BILATERAL_PREFIX_REPAIR	zweite Trockenpulverfraktion	IT2a+RF1b pchair	Both alternate readers add the same P powder head, so the local application specializes rather than discards the second dry-fraction core.	ONE	pchair	ONE	pchair	NEITHER_EXACT	zweite Trockenpulverfraktion · abseihen · ⟦sheaiin:?⟧ · feucht; nominal feuchtes Gut/Material · Qualitätsgrad III · trocken am Anfang des Grades, abgeschlossen.
