page	locus	section	language	hand	token_count	target_ordinals	target_surfaces	zl3b_line	current_literal_de	after_literal_de	practical_translation_de
f105v	f105v.14	S	B	3	10	5|7|9	olord|tail|kard	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	drei Dosen bis Mittelstufe getrocknetes Pulver | Arzneikompositum: trocken, Gradanfang, abgeschlossen | nimm die dritte erhitzte Drogenfraktion | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [olord:?] | Menge-/Klassenwert IV | [tail:?] | erste Ansatzfraktion abmessen | [kard:?] | Droge kalt trocknen und leicht nachtrocknen	drei Dosen bis Mittelstufe getrocknetes Pulver | Arzneikompositum: trocken, Gradanfang, abgeschlossen | nimm die dritte erhitzte Drogenfraktion | fertiggestelltes Trockenpulver aus Holzdrogenansatz | abgezogene Portion Holzdrogenansatz | Menge-/Klassenwert IV | kaltgestellte Rohdroge II | erste Ansatzfraktion abmessen | erste erhitzte Drogenfraktion, abgezogen | Droge kalt trocknen und leicht nachtrocknen	Drei Dosen bis zur Mittelstufe getrocknetes Pulver mit dem auf Anfangsstufe angetrockneten und abgeschlossenen Arzneikompositum ansetzen. Die dritte erhitzte Drogenfraktion und das fertige Trockenpulver aus Holzdrogenansatz nehmen; ferner eine abgezogene Portion dieses Ansatzes, Menge IV, und kaltgestellte Rohdroge II. Die erste Ansatzfraktion abmessen, die erste erhitzte Fraktion abziehen und die Droge kalt trocknen sowie leicht nachtrocknen.
f10r	f10r.2	H	A	1	10	2|6|7|10	cthoor|chair|otytchol|etyd	dchey cthoor char chty os chair otytchol oky daiin etyd	eine Dosis bis zur Mittelstufe trocknen und abschließen | [cthoor:?] | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | [chair:?] | [otytchol:?] | heißer Ansatz am Anfang des Grades | Grad-/Maßwert III | [etyd:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen | eine Portion Blatt- oder Krautansatz | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | zweite Trockenfraktion | nachgekühlter Trockenstoff im Ansatz | heißer Ansatz am Anfang des Grades | Grad-/Maßwert III | bis Mittelstufe gekühlter Ansatz, abgeschlossen	Eine Portion Blatt- oder Krautansatz bis zur Mittelstufe trocknen und abschließen. Erste und zweite Trockenfraktion kalt-trocken ansetzen und mit einer Ansatzcharge sowie nachgekühltem Trockenstoff verbinden. Den Ansatz leicht erhitzen, drei Teile abnehmen und bis zur Mittelstufe kühlen und abschließen.
f112v	f112v.22	S	B	3	6	6	chetain	soiin ol cheol chedy qokeey chetain	Samen/Saatgutzubereitung, Form III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | [chetain:?]	Samen/Saatgutzubereitung, Form III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	Samen/Saatgutzubereitung, Form III · Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz · trockener Drogenstoff · trocken in der Mitte des Grades, abgeschlossen · heiß am Ende des Grades · bis Mittelstufe trocknen, dann auf Kühlstufe II bringen.
f114v	f114v.36	S	B	3	11	2|3|4|7	oidal|op|shoko|qopaiin	tshey oidal op shoko otchey qopchol qopaiin qotar al kal ram	kalt und feucht in der Mitte des Grades | [oidal:?] | [op:?] | [shoko:?] | kalt-trockener Ansatz in der Mitte des Grades | nimm getrockneten Pulverstoff | [qopaiin:?] | kalte Drogenfraktion I | Rohstoffklasse I | Rohstoffklasse I, heiß am Gradanfang | Wurzel/Wurzeldroge: Maß-/Einheitsform I	kalt und feucht in der Mitte des Grades | abgemessene Rohstoffmenge I im Ansatz, Grundform | Pulveransatz | erhitzter Feuchtansatz | kalt-trockener Ansatz in der Mitte des Grades | nimm getrockneten Pulverstoff | drei Teile Pulveransatz nehmen | kalte Drogenfraktion I | Rohstoffklasse I | Rohstoffklasse I, heiß am Gradanfang | Wurzel/Wurzeldroge: Maß-/Einheitsform I	Kalt-feuchten Mittelansatz mit einer abgemessenen Rohstoffmenge I in Grundform, einem Pulveransatz und einem erhitzten Feuchtansatz verbinden. Aus dem kalt-trockenen Mittelansatz getrockneten Pulverstoff und drei Teile Pulveransatz nehmen. Mit kalter Fraktion I, Rohdroge I und heiß angesetzter Rohdroge I abschließen; ein Maß Wurzeldroge.
f14r	f14r.2	H	A	1	7	6	da	o ykeey soiiin chok qokchy da okol	Ansatz mit ykeey | erhitze hiervon bis zur Endstufe und schließe ab | Samendroge: Formklasse IV | Trockenansatz erhitzen | heiß und trocken am Anfang des Grades | [da:?] | heißer Ansatzstoff	Ansatz mit ykeey | erhitze hiervon bis zur Endstufe und schließe ab | Samendroge: Formklasse IV | Trockenansatz erhitzen | heiß und trocken am Anfang des Grades | eine Teilmenge abmessen | heißer Ansatzstoff	Ansatz mit ykeey · erhitze hiervon bis zur Endstufe und schließe ab · Samendroge: Formklasse IV · Trockenansatz erhitzen · heiß und trocken am Anfang des Grades · eine Teilmenge abmessen · heißer Ansatzstoff.
f23r	f23r.6	H	A	1	12	1|9|11|12	tshol|daiidal|ytcho|ldals	tshol y kor qokaiin yky dar okol dchey daiidal dam ytcho ldals	[tshol:?] | hierzu: | heiße Drogenportion | heiß, Grad III | hierzu leicht erhitzen | abgemessene Fraktion I | heißer Ansatzstoff | abgemessene Trockendroge der Mittelstufe, abgeschlossen | [daiidal:?] | Dosis I | [ytcho:?] | [ldals:?]	kalt eingeweichter Drogenstoff | hierzu: | heiße Drogenportion | heiß, Grad III | hierzu leicht erhitzen | abgemessene Fraktion I | heißer Ansatzstoff | abgemessene Trockendroge der Mittelstufe, abgeschlossen | drei abgemessene Mengen Rohdroge I | Dosis I | hieraus einen Kalt-Trockenansatz herstellen | eine Charge Holzrohdroge I abmessen	Kalt eingeweichten Drogenstoff nehmen. Hierzu eine heiße Drogenportion auf Stufe III leicht nachwärmen. Die erste Fraktion des heißen Ansatzstoffs abmessen; dazu bis Mittelstufe getrocknete Messdroge, drei abgemessene Mengen Rohdroge I und eine Dosis I. Hieraus einen Kalt-Trockenansatz herstellen und eine Charge Holzrohdroge I abmessen.
f32v	f32v.10	H	A	1	10	9	da	sho keol chor chol daiin cpho l cthol da ar	feuchter Ansatz | heißer Drogenstoff | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | Kompositumansatz | Grundstoff des vorstehenden Ansatzes | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | [da:?] | Drogenfraktion I	feuchter Ansatz | heißer Drogenstoff | Pflanzen-/Reproduktionsteil | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | Kompositumansatz | Grundstoff des vorstehenden Ansatzes | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | eine Teilmenge abmessen | Drogenfraktion I	feuchter Ansatz · heißer Drogenstoff · Pflanzen-/Reproduktionsteil · trocken; nominal trockenes Gut/Material · Qualitätsgrad III · Kompositumansatz · Grundstoff des vorstehenden Ansatzes · CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge · eine Teilmenge abmessen · Drogenfraktion I.
f80r	f80r.17	B	B	2	13	1|4|7|13	solky|shkeol|chetain|da	solky sheckhy sheky shkeol qokar sheky chetain ol olkar okain sheky qokal da	[solky:?] | feuchtes Arzneikompositum am Gradanfang | bis zur Mittelstufe einweichen, erhitzen und abschließen | [shkeol:?] | heiße Drogenfraktion I | bis zur Mittelstufe einweichen, erhitzen und abschließen | [chetain:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | heiß im Zubereitungsrahmen, Grad II | bis zur Mittelstufe einweichen, erhitzen und abschließen | Rohstoffklasse I, heiß am Gradanfang | [da:?]	Saatgutansatz, leicht erhitzt | feuchtes Arzneikompositum am Gradanfang | bis zur Mittelstufe einweichen, erhitzen und abschließen | eingeweichter Drogenstoff, bis Mittelstufe erhitzt | heiße Drogenfraktion I | bis zur Mittelstufe einweichen, erhitzen und abschließen | bis Mittelstufe trocknen, dann auf Kühlstufe II bringen | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | heiß im Zubereitungsrahmen, Grad II | bis zur Mittelstufe einweichen, erhitzen und abschließen | Rohstoffklasse I, heiß am Gradanfang | eine Teilmenge abmessen	Den leicht erhitzten Saatgutansatz mit dem angefeuchteten Arzneikompositum bis zur Mittelstufe einweichen, erhitzen und abschließen. Den entstandenen eingeweichten, bis Mitte erhitzten Drogenstoff und die erste heiße Fraktion nochmals ebenso behandeln. Danach bis zur Mittelstufe trocknen und auf Kühlstufe II bringen. Den Grundansatz mit der ersten erhitzten Fraktion auf Heizstufe II stellen, nochmals bis Mitte einweichen, erhitzen und abschließen; von der auf Anfangsstufe erhitzten Rohdroge I einen gleichen Teil abmessen.
f86v6	f86v6.25	T	B	2	10	4|7|8|10	qodar|okeeeey|ofchedy|araram	yteedy qokar olkar qodar ykaiin or okeeeey ofchedy qokaiin araram	kühle hiervon vollständig ab und schließe | heiße Drogenfraktion I | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | [qodar:?] | erhitze hiervon auf Stufe III | Drogenportion | [okeeeey:?] | [ofchedy:?] | heiß, Grad III | [araram:?]	kühle hiervon vollständig ab und schließe | heiße Drogenfraktion I | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | die erste Ansatzfraktion abmessen | erhitze hiervon auf Stufe III | Drogenportion | Ansatz vollständig bis zur letzten Heizstufe geführt | fertig getrockneter Blütenansatz | heiß, Grad III | ein Maß der ersten Drogenfraktion	Den Ansatz vollständig abkühlen und abschließen. Von der heißen Fraktion I und der ersten erhitzten Holzdrogenfraktion die erste Ansatzfraktion abmessen; hiervon drei Teile erhitzen. Eine Portion vollständig bis zur letzten Heizstufe führen und mit dem fertig getrockneten Blütenansatz verbinden; dazu drei heiße Teile und ein Maß der ersten Drogenfraktion.
f86v6	f86v6.31	T	B	2	11	2|9|10|11	chepy|olkchey|otytam|orom	dair chepy qokaiin olkar olkchdy okar al dar olkchey otytam orom	abgemessene Fraktion II | [chepy:?] | heiß, Grad III | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | heiß-trocken aufbereitetes Drogenmaterial | heiße Drogenfraktion I im Ansatz | Rohstoffklasse I | abgemessene Fraktion I | [olkchey:?] | [otytam:?] | [orom:?]	abgemessene Fraktion II | Trockenpulver in Grundform | heiß, Grad III | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | heiß-trocken aufbereitetes Drogenmaterial | heiße Drogenfraktion I im Ansatz | Rohstoffklasse I | abgemessene Fraktion I | erhitzter Holzdrogenansatz, bis Mittelstufe getrocknet | aus dem Kaltansatz ein Maß nehmen und erneut kühlen | eine Handvoll Ansatz als Portion	Die zweite Fraktion als Trockenpulver abmessen und auf Stufe III erhitzen. Aus dem Holzdrogenansatz die erste erhitzte Fraktion sowie das heiß-trocken aufbereitete Material nehmen. Die erste heiße Fraktion aus Rohdroge I abmessen und den erhitzten Holzdrogenansatz bis zur Mittelstufe trocknen. Aus dem Kaltansatz ein Maß nehmen, erneut kühlen und eine Handvoll Ansatz als Portion abteilen.
