exercise_id	first_readable_stage	mode	page	unit_id	source_identity	copy_material	back_reading_de
EX01	S1	PROSE	f81v	B1	B1-S001	qokedy	Setze kurz an und schließe
EX02	S1	PROSE	f81v	B1	B1-S009	qokedy	Setze kurz an und schließe
EX03	S2	PROSE	f81v	B1	B1-S005	qolchedy	Führe den Posten weiter und schließe
EX04	S2	PROSE	f81v	B1	B1-S007	qokchdy	Setze die abgekühlte Badmischung um und schließe
EX05	S3H	PROSE	f11r	H3	H3-S002	shoyty	Lege einen Zutatenteil zurück.
EX06	S3H	PROSE	f55v	H4	H4-S002	daiin chedy talam	Setze den Posten nach Sollmaß um und verwahre ihn am Ziel.
EX07	S3B	PROSE	f81v	B1	B1-S013	lshedy	Wasche und schließe
EX08	S3B	PROSE	f81v	B1	B1-S019	tedy	Lass absetzen und schließe
EX09	S3B	PROSE	f82r	B2	B2-S007	dshedy	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe
EX10	S5_ASTRO	LOCAL_ASTRO_NOMENCLATOR	f67r2	A1	A1_LEFT_WHEEL_ONLY,A1_OWNER_UNRESOLVED_NO_JOIN,A1_RIGHT_WHEEL_ONLY	copy one complete local locus (190 page groups available)	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.
EX11	S5_ASTRO	LOCAL_ASTRO_NOMENCLATOR	f68r1	A2	A2_LEFT_PANEL_ONLY,A2_LOCAL_OWNER_UNRESOLVED,A2_LOCAL_STAR_FIELD_ONLY__PANEL_NOT_INFERRED,A2_MIDDLE_PANEL_ONLY,A2_RIGHT_PANEL_ONLY	copy one complete local locus (65 page groups available)	In der mehrteiligen Sterntafel zuerst Paneel oder Zentrum und dann einen Sternort beziehungsweise ein 28er Feld wählen. Das Himmelszeichen kopieren und nur mit dem Ortsschlüssel dieses Paneels lesen; die 28 Felder haben keine festgelegte Reihenfolge.
EX12	S5_ASTRO	LOCAL_ASTRO_NOMENCLATOR	f69v	A3	A3_LEFT_WHEEL_ONLY,A3_MIDDLE_WHEEL_ONLY,A3_RIGHT_WHEEL_ONLY	copy one complete local locus (140 page groups available)	Eines der drei Rosettenräder wählen. Links ein ungeordnetes 28er Feld und sein Kalenderzeichen lesen; in der mittleren Rosette Wetterzeichen, in der rechten Licht-, Zeit- oder Eigenschaftszeichen lesen. Zwischen den drei Rädern keinen Wert übertragen.
