decision_id	reading_id	surface	expected_old_meaning_de	new_meaning_de	family	decision_basis	strongest_rival_de	source_evidence	component_export_credit	historical_confirmation	observed_occurrence_count	observed_page_count	observed_locus_count	working_model_score_0_100_not_probability	working_model_level	semantic_scope	source_gdts_before	source_gdts_after	changed_fields	base_row_sha256	new_row_sha256
G730-D001	ain#GLOBAL	ain	Menge-/Klassenwert II	Wertstufe II	OPEN_VALUE_WHOLE	UNTYPED_VALUE_AXIS__NO_FORCED_QUANTITY_CLASS	Mengen- oder Klassenachse lokal	V13:VALUE_MINIM_SERIES	0	H0_NONE	106	47	100	55	W2_PROVISIONAL_WORKING	KNOWN_CONTEXT_LICENSED	V13:VALUE_MINIM_SERIES	V13:VALUE_MINIM_SERIES|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	7bc05295704651cdffd2ec3f45acc2c8ee54b5051b1a9c64c51fc0a03b8496be	f9befe285a18f441f62716821cd9a7612255adf1b2fff6fc85477a1ff880756b
G730-D002	alkal#GLOBAL	alkal	Laugensalz / Alkali	Laugensalz	LEARNED_TECHNICAL_WHOLE	ONE_SPEAKABLE_LEARNED_WHOLE_DEFAULT	Alkali als gelehrte Stoffbezeichnung	GDT663:EXACT_WHOLE	0	H0_NONE	1	1	1	0	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	KNOWN_EXACT_WHOLE	GDT663:EXACT_WHOLE	GDT663:EXACT_WHOLE|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	77271e1c911a59e919cc6eb190598e1e68e7c8217fea45a4b81189fdc0e9529a	df4a318c4714b406346778976fa092278b7e07af66ca052634dd70623401b909
G730-D003	an#GLOBAL	an	Menge-/Klassenwert I	Wertstufe I	OPEN_VALUE_WHOLE	UNTYPED_VALUE_AXIS__NO_FORCED_QUANTITY_CLASS	Mengen- oder Klassenachse lokal	V13:VALUE_MINIM_SERIES	0	H0_NONE	5	4	5	47	W2_PROVISIONAL_WORKING	KNOWN_CONTEXT_LICENSED	V13:VALUE_MINIM_SERIES	V13:VALUE_MINIM_SERIES|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	91d79140e50d018b4d2fb988bfe382765a2ce210c4fdcd7db35827672238becc	f44babfd190751d18b7e422ee92c9e256d05784c9f0fa40287163e4322c97a8a
G730-D004	chcth#GLOBAL	chcth	getrocknete Kraut- oder Blattdroge	getrocknete Pflanzendroge	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT666:EXACT_WHOLE	0	H0_NONE	2	2	2	48	W2_PROVISIONAL_WORKING	KNOWN_EXACT_WHOLE	GDT666:EXACT_WHOLE	GDT666:EXACT_WHOLE|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	ee19ee45010a2e84cbcc3848289e1246dec937ba963558cfd2ad9c4f9663d4a8	31d19249e38a4e807d496587e755c7920ba229476326f0c8f076b991668e0a8f
G730-D005	chcthy#GLOBAL	chcthy	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	trockenes Pflanzenmaterial	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	V13:DRY_CTH_MATERIAL	0	H0_NONE	75	53	74	48	W2_PROVISIONAL_WORKING	KNOWN_CONTEXT_LICENSED	V13:DRY_CTH_MATERIAL	V13:DRY_CTH_MATERIAL|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	c7ee2920925d346a4edfe4a447795f7d38c6d4774b22a3960b645c318720a216	d2f07922885f16bdf0210519676dfdbc723d8f43fe73f140787f82f62d61845a
G730-D006	chdal#GLOBAL	chdal	trockene abgemessene Rohstoffmenge I am Gradanfang	trockener abgewogener Rohstoffposten I am Gradanfang	LEARNED_TECHNICAL_WHOLE	ONE_SPEAKABLE_LEARNED_WHOLE_DEFAULT	abgeteilte Rohstoffportion I	GDT655:DAL_MEASURED_INPUT_QUANTITY	0	H0_NONE	19	15	18	66	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT655:NEW_EXACT_WHOLE	GDT655:NEW_EXACT_WHOLE|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	d24941ef25747891721051cc728785a58ff96c6cce20d0657760f0f3f31a5113	cf38f80f50a7991ebbc43e4626135a0c1c526d9c0a9e729502e699be39d96c15
G730-D007	chdaly#GLOBAL	chdaly	trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	trockener abgewogener Rohstoffposten I am Gradanfang, Grundform	LEARNED_TECHNICAL_WHOLE	ONE_SPEAKABLE_LEARNED_WHOLE_DEFAULT	abgeteilte Rohstoffportion I	GDT655:DAL_MEASURED_INPUT_QUANTITY	0	H0_NONE	3	3	3	56	W2_PROVISIONAL_WORKING	KNOWN_EXACT_WHOLE	GDT655:REVISE_DAL_MODEL	GDT655:REVISE_DAL_MODEL|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	ca7f49c9b2a1ee7f40afbec4f09e20dc1fd282dfc09cd8eb8f60d42bdd03f9ac	34bbe79a7992ae61f4c2bc3cd3aab55b88e658ce7aee0d2364ab1aa20a127e34
G730-D008	chedal#GLOBAL	chedal	trockene abgemessene Rohstoffmenge I in der Gradmitte	trockener abgewogener Rohstoffposten I in der Gradmitte	LEARNED_TECHNICAL_WHOLE	ONE_SPEAKABLE_LEARNED_WHOLE_DEFAULT	abgeteilte Rohstoffportion I	GDT655:DAL_MEASURED_INPUT_QUANTITY	0	H0_NONE	22	15	22	66	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT655:NEW_EXACT_WHOLE	GDT655:NEW_EXACT_WHOLE|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	e3f5cf892431b82bd8cf692f6afb421bbbfd337246250a000e190f55f6d0cd4a	da3eb33efd820b8f5db901787ba021cec606a4d36372d1a7e87b8053fd0353d5
G730-D009	cheecthy#GLOBAL	cheecthy	trockenes Blatt-/Krautgut mit erweiterter Bindungsstufe II	trockenes Pflanzenmaterial	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal Blattgut; E-Zwischenslot bleibt semantisch stumm	V13:DRY_EXTENDED_BOUND_CTH|GDT632:E_O_MEANINGS_OPEN	0	H0_NONE	1	1	1	31	W1_WEAK_WORKING	KNOWN_CONTEXT_LICENSED	V13:DRY_EXTENDED_BOUND_CTH	V13:DRY_EXTENDED_BOUND_CTH|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	0ab1959d02975ed9e4c38d83d526ffb48500059554ca9a4cc11fd20506fd3a6c	1dee6bf61fe550a1c61d51d8758a6891b60d6b62f6f24ef52894f65ac6df6337
G730-D010	chocthy#GLOBAL	chocthy	trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	trockene Pflanzenzubereitung	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	V13:DRY_CTH_PREPARATION	0	H0_NONE	17	15	17	53	W2_PROVISIONAL_WORKING	KNOWN_CONTEXT_LICENSED	V13:DRY_CTH_PREPARATION	V13:DRY_CTH_PREPARATION|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	16181181c600db08a97aa849db5f1d36bb95d923a2d4fc86d77aaad6a8a49c14	6dce3ee3cd682a3666e298a505561dc2712278922548ffc677fb9f2e032773e4
G730-D011	choror#GLOBAL	choror	Portion Blüten- oder Fruchtdroge	eine Portion Blütendroge	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT664:EXACT_WHOLE	0	H0_NONE	2	2	2	48	W2_PROVISIONAL_WORKING	KNOWN_EXACT_WHOLE	GDT664:EXACT_WHOLE	GDT664:EXACT_WHOLE|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	052fd25a5240c159344d515be10a885633ba143d59fe2aa32cd1d72a1b02f8d3	1889fe2a4b797cacd37ae6834a146732709808c07d13f9060c17ed0d6a79aaca
G730-D012	cth#GLOBAL	cth	Kraut- oder Blattdroge	Pflanzendroge	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT671:EXACT_WHOLE	0	H0_NONE	4	4	4	66	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT671:EXACT_WHOLE	GDT671:EXACT_WHOLE|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	6c7a51cb510326175f67b5aa7ef62a6058579922722cdf5eae1dd15617b868ca	693ff8321211af558de33e1bd5400b696134156f442c4bb944f92d3a4dc7e9c2
G730-D013	cthal#GLOBAL	cthal	Kraut- oder Blattdroge aus Rohdroge I	Pflanzendroge aus Rohdroge I	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT669:EXACT_WHOLE	0	H0_NONE	7	5	7	71	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT669:EXACT_WHOLE	GDT669:EXACT_WHOLE|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1c492c84026e7aa1fcf6626c526c3a3e9c7aa7786823c17cdada55da391a5767	e77736410ddb8300f14e4a68ba7d8fd1311e1a43f955ef1674f9cd97a40a24b6
G730-D014	cthar#GLOBAL	cthar	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	Pflanzenanteil I	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; Fraktion I als technischer Rival	GDT639:ROUND_04|GDT693:R_INDEXED_SHARE	0	H0_NONE	14	12	13	66	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT639:ROUND_04	GDT639:ROUND_04|GDT730	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	fc477e87ba0817dc03b1261629600db78727da5b24990a880b27ed190bf36f57	d5c60b8c54eb56ca6d7596881491a1eff36b486076814bc8cf0af4b1111c8481
