reading_id	surface	working_meaning_de	selector_reasons	occurrence_count	classification	dispatch_allowed	explanation_de
ain#GLOBAL	ain	Menge-/Klassenwert II	SLASH|LEXICAL_MENGE	106	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
alkal#GLOBAL	alkal	Laugensalz / Alkali	SLASH	1	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
an#GLOBAL	an	Menge-/Klassenwert I	SLASH|LEXICAL_MENGE	5	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
chcth#GLOBAL	chcth	getrocknete Kraut- oder Blattdroge	STANDALONE_ODER	2	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
chcthy#GLOBAL	chcthy	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	SLASH	75	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
chdal#GLOBAL	chdal	trockene abgemessene Rohstoffmenge I am Gradanfang	LEXICAL_MENGE	19	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
chdaly#GLOBAL	chdaly	trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	LEXICAL_MENGE	3	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
chedal#GLOBAL	chedal	trockene abgemessene Rohstoffmenge I in der Gradmitte	LEXICAL_MENGE	22	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
cheecthy#GLOBAL	cheecthy	trockenes Blatt-/Krautgut mit erweiterter Bindungsstufe II	SLASH	1	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
chocthy#GLOBAL	chocthy	trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	SLASH	17	TRUE_AMBIGUITY_TARGET	1	vorregistrierter technischer Ambiguitätsselektor erfüllt
