identity	house_surface	old_component_recipe	old_default_de	new_whole_word_de	marks	orders	pages	units	selection_class	workshop_reason_de	teaching_action
PROC046	cheeky	CHK+EE+Y	WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN	WARMHALTEN	2	WH04	f55v,f83r	B4-S008,H4-S003	RECURRENT_LOCAL_CARD	Zweimal in derselben warmen Zielportion-Kette; die lange Wärmeform wird als ein Werkstattruf gelernt.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC047	oldy	OL+DY	WEITER · SCHLUSS	FORTSETZEN UND SCHLIESSEN	2	WH04	f55v,f83r	B4-S010,H4-S003	RECURRENT_LOCAL_CARD	Zweimal nach einem laufenden Posten; der alte Mehrteilwert wird zu einer festen Schlusskarte gekürzt.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC052	cho	HO	ZUTAT	PFLANZENZUTAT	2	WH06	f56r	H5-S001	RECURRENT_LOCAL_CARD	Zweimal in derselben Bildpflanzenkette; das kurze Materialwort bleibt über beide Stellen gleich.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC072	dl	L	LEITEN	WEITERLEITEN	2	WH01	f81v	B1-S002,B1-S006	RECURRENT_LOCAL_CARD	Zweimal in der gemeinsamen Beckenstation; die Karte benennt den Transport ohne Ziel- oder Stoffzusatz.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC086	lshedy	LSH+E+DY	SPUELEN · EIN KURZER ARBEITSGANG · SCHLUSS	KURZSPUELEN UND SCHLIESSEN	2	WH01	f81v	B1-S012,B1-S013	RECURRENT_LOCAL_CARD	Zweimal als eigenständiger kurzer Spülschritt; gelerntes Ganzwort statt erneuter Zerlegung.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC109	oteey	OT+EE+Y	DANACH · DREI KURZE ARBEITSGAENGE · POSTEN	NACHHALTEN	2	WH02	f82r	B2-S006,B2-S016	RECURRENT_LOCAL_CARD	Zweimal in der fünfstationigen Anwendung; bedeutet den laufenden Posten im Folgeschritt länger halten.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC135	otedy	OT+E+DY	DANACH · EIN KURZER ARBEITSGANG · SCHLUSS	KURZEN FOLGESCHRITT SCHLIESSEN	2	WH03	f83r	B3-S010,B3-S032	RECURRENT_LOCAL_CARD	Zweimal in der Fächer-/Gefäß-/Korbfolge; eine feste kurze Übergangskarte.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC145	qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH UMSETZEN UND SCHLIESSEN	2	WH03	f83r	B3-S022,B3-S030	RECURRENT_LOCAL_CARD	Zweimal in derselben langen Stationsfolge; unveränderter Folgeabschluss.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC033	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	DURCHARBEITEN	1	WH02	f11r	H3-S002	H3_CHAIN_COMPLETION	Lokaler H3-Ruf zwischen Auspressen und DAVON-Fortsetzung; ersetzt eine sperrige Fünfteilglosse.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC035	kchy	K+Y	ZUGEBEN · POSTEN	ZUGEBEN	1	WH02	f11r	H3-S003	H3_CHAIN_COMPLETION	Lokaler H3-Zugabeschritt zwischen DAVON und Sollmaß; der laufende Posten ist bereits geerbt.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC036	qotchy	OT+Y	DANACH · POSTEN	FOLGEPOSTEN	1	WH02	f11r	H3-S004	H3_CHAIN_COMPLETION	Lokaler H3-Übergang nach der Sollmaß-Fortsetzung; bezeichnet den nächsten laufenden Posten.	MEMORIZE_TAUGHT_WHOLE_WORD
PROC037	okchol	OK+OL	ANSETZEN · WEITER	WEITERANSETZEN	1	WH02	f11r	H3-S004	H3_CHAIN_COMPLETION	Lokaler H3-Schritt direkt nach FOLGEPOSTEN; verkürzt ANSETZEN plus WEITER zu einem Ruf.	MEMORIZE_TAUGHT_WHOLE_WORD
