order_id	order_mark_id	identity	surface	page	unit	owner_de	left_surface	left_value_de	new_whole_word_de	right_surface	right_value_de	complete_unit_reading_de
WH01	WH01-R026	PROC072	dl	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	rol	ABKUEHLEN UND WEITERARBEITEN	WEITERLEITEN	olor	WEITER · ANSATZ	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
WH01	WH01-R043	PROC072	dl	f81v	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	chckhy	DURCHLASS · POSTEN	WEITERLEITEN	ral	KUEHLEN · ZIELSTELLE	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.
WH01	WH01-R057	PROC086	lshedy	f81v	B1-S012	gemeinsame zweireihige Figuren-/Beckenstation	okey	ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN	KURZSPUELEN UND SCHLIESSEN	UNIT_END	UNIT_END	Am gemeinsamen zweireihigen Becken: Im Arbeitsgang spuelen, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.
WH01	WH01-R058	PROC086	lshedy	f81v	B1-S013	gemeinsame zweireihige Figuren-/Beckenstation	UNIT_START	UNIT_START	KURZSPUELEN UND SCHLIESSEN	UNIT_END	UNIT_END	Am gemeinsamen zweireihigen Becken: Kurz spuelen und den Schritt schliessen.
WH02	WH02-R008	PROC033	shoyty	f11r	H3-S002	Bildprodukt B.X4	UNIT_START	UNIT_START	DURCHARBEITEN	UNIT_END	UNIT_END	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.
WH02	WH02-R011	PROC035	kchy	f11r	H3-S003	Bildprodukt B.X4	chey	POSTEN	ZUGEBEN	chey	POSTEN	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
WH02	WH02-R014	PROC036	qotchy	f11r	H3-S004	Bildprodukt B.X4	UNIT_START	UNIT_START	FOLGEPOSTEN	okchol	ANSETZEN · WEITER	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
WH02	WH02-R015	PROC037	okchol	f11r	H3-S004	Bildprodukt B.X4	qotchy	DANACH · POSTEN	WEITERANSETZEN	checthy	BEREITEN · POSTEN	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
WH02	WH02-R036	PROC109	oteey	f82r	B2-S006	oberes Beckenpaar mit Zylinder	UNIT_START	UNIT_START	NACHHALTEN	qokal	ANSETZEN · ZIELSTELLE	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
WH02	WH02-R069	PROC109	oteey	f82r	B2-S016	kleine Randstationen des unteren Beckens	daiin	EIN KLEINER SCHOEPFBECHER	NACHHALTEN	qokaiin	ANSETZEN · EIN KLEINER SCHOEPFBECHER	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.
WH03	WH03-R035	PROC135	otedy	f83r	B3-S010	untere Randfigur im korbartigen Gefäß	pchedal	EINBRINGEN · UMSETZEN · ZIELSTELLE	KURZEN FOLGESCHRITT SCHLIESSEN	UNIT_END	UNIT_END	Am unteren Korbgefaess: An der Zielstelle einbringen und umsetzen; danach den kurzen Folgeschritt schliessen.
WH03	WH03-R067	PROC145	qotchedy	f83r	B3-S022	unverbundener Zwischenbereich	UNIT_START	UNIT_START	DANACH UMSETZEN UND SCHLIESSEN	UNIT_END	UNIT_END	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.
WH03	WH03-R087	PROC145	otchedy	f83r	B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	schedair	DAS WASSER UMSETZEN	DANACH UMSETZEN UND SCHLIESSEN	UNIT_END	UNIT_END	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen.
WH03	WH03-R093	PROC135	otedy	f83r	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otaiin	DANACH · EIN KLEINER SCHOEPFBECHER	KURZEN FOLGESCHRITT SCHLIESSEN	UNIT_END	UNIT_END	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
WH04	WH04-R011	PROC046	cheeky	f55v	H4-S003	Bildprodukt C.W2	cheoar	ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE	WARMHALTEN	oldy	WEITER · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
WH04	WH04-R012	PROC047	oldy	f55v	H4-S003	Bildprodukt C.W2	cheeky	WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN	FORTSETZEN UND SCHLIESSEN	UNIT_END	UNIT_END	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
WH04	WH04-R037	PROC046	cheeky	f83r	B4-S008	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	daiin	EIN KLEINER SCHOEPFBECHER	WARMHALTEN	sheey	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.
WH04	WH04-R041	PROC047	oldy	f83r	B4-S010	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	UNIT_START	UNIT_START	FORTSETZEN UND SCHLIESSEN	UNIT_END	UNIT_END	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.
