event_id	clause_id	locus	surface	component_recipe	shared_card_reading_de	local_visual_headword_de	image_owned_expansion_de
P912-E0152	P915-C005	f13r.1	torshor	T+OR+SH+OR	EINSTELLEN · ANSATZ · HALTEN · ANSATZ	WURZELKRONE	Artikelkopf: die große sichtbare Speicherwurzel/Krone aktivieren.
P912-E0153	P915-C005	f13r.1	opchy	O+P+Y	AUSFÜHREN · EINSETZEN · DIES	NONE	AUSFÜHREN · EINSETZEN · DIES
P912-E0154	P915-C005	f13r.1	shol	SH+OL	HALTEN · FORTSETZEN	NONE	HALTEN · FORTSETZEN
P912-E0155	P915-C005	f13r.1	dy	Y	DIES	NONE	DIES
P912-E0156	P915-C005	f13r.1	qopchy	O+P+Y	AUSFÜHREN · EINSETZEN · DIES	NONE	AUSFÜHREN · EINSETZEN · DIES
P912-E0157	P915-C005	f13r.1	shol	SH+OL	HALTEN · FORTSETZEN	NONE	HALTEN · FORTSETZEN
P912-E0158	P915-C005	f13r.1	opchor	O+P+CH+OR	AUSFÜHREN · EINSETZEN · ENTNEHMEN · ANSATZ	NONE	AUSFÜHREN · EINSETZEN · ENTNEHMEN · ANSATZ
P912-E0159	P915-C005	f13r.1	dypchy	D_ADDR+Y+P+Y	TEIL · DIES · EINSETZEN · DIES	NONE	TEIL · DIES · EINSETZEN · DIES
P912-E0160	P915-C005	f13r.1	dchg	D_ADDR+CH+LOCAL_CHAR_G	TEIL · ENTNEHMEN · EINMAL	BRUTKNÖLLCHEN	Einen der kleinen sichtbaren Rundkörper am Wurzelhals abnehmen.
P912-E0161	P915-C005	f13r.2	dchol	D_ADDR+OL	TEIL · FORTSETZEN	NONE	TEIL · FORTSETZEN
P912-E0162	P915-C005	f13r.2	chol	OL	FORTSETZEN	NONE	FORTSETZEN
P912-E0163	P915-C005	f13r.2	dol	D_ADDR+OL	TEIL · FORTSETZEN	NONE	TEIL · FORTSETZEN
P912-E0164	P915-C005	f13r.2	shkchy	SH+K+Y	HALTEN · ZUGEBEN · DIES	NONE	HALTEN · ZUGEBEN · DIES
P912-E0165	P915-C005	f13r.2	ydal	Y+AL	DIES · ZIELSTELLE	NONE	DIES · ZIELSTELLE
P912-E0166	P915-C005	f13r.2	shy	Y	DIES	NONE	DIES
