formula_id	tier	card_width	card_sequence	surface_example	component_sequence	literal_sequence_de	formula_mnemonic	idiomatic_workshop_reading_de	occurrences	records	pages	gross_tokens_saved	definition_cost_tokens	individual_selector_paid_gain	component_values_changed
WF01	TEACH_FORMULA	2	PROC013+PROC078	ol shedy	OL | SHED+DY	den Posten fortsetzen -> den Posten absetzen und den Schritt schließen	FORTSETZEN_ABSETZEN	fortsetzen, absetzen und den Schritt schließen	4	B1|B4	f81v|f83r	4	2	2	NO
WF02	TEACH_FORMULA	2	PROC019+PROC009	chy taiin	Y | AIIN	diesen Posten übernehmen -> das Maß setzen	POSTEN_MASS	den aktuellen Posten auf das Maß beziehen	4	B3|H2|H3	f10r|f11r|f83r	4	2	2	NO
WF03	TEACH_FORMULA	2	PROC009+PROC019	taiin shy	AIIN | Y	das Maß setzen -> diesen Posten übernehmen	MIT_MASS_WEITER	mit dem gesetzten Maß weiterarbeiten	3	B2|B3|H2	f10r|f82r|f83r	3	2	1	NO
WF04	TEACH_FORMULA	2	PROC016+PROC019	chor chy	OR | Y	den Ansatz verwenden -> diesen Posten übernehmen	ANSATZ_UEBERNEHMEN	den Ansatz als aktuellen Posten übernehmen	3	B4|H2|H4	f10r|f55v|f83r	3	2	1	NO
WF05	TEACH_FORMULA	3	PROC019+PROC009+PROC019	chy taiin shy	Y | AIIN | Y	diesen Posten übernehmen -> das Maß setzen -> diesen Posten übernehmen	POSTEN_MASS_POSTEN	denselben Posten unter dem gesetzten Maß weiterführen	2	B3|H2	f10r|f83r	4	3	1	NO
WF06	OBSERVED_PAIRING	2	PROC008+PROC009	oky daiin	OK+Y | AIIN	diesen Posten ansetzen -> das Maß setzen	NACH_MASS_ANSETZEN	den Posten nach Maß ansetzen	2	B3|H1	f10r|f83r	2	2	0	NO
WF07	OBSERVED_PAIRING	2	PROC009+PROC013	aiin sol	AIIN | OL	das Maß setzen -> den Posten fortsetzen	NACH_MASS_WEITER	nach dem gesetzten Maß fortsetzen	2	B5|B6	f83r	2	2	0	NO
WF08	OBSERVED_PAIRING	2	PROC013+PROC009	chol daiin	OL | AIIN	den Posten fortsetzen -> das Maß setzen	WEITER_DANN_MASS	fortsetzen und danach das Maß setzen	2	B6|H2	f10r|f83r	2	2	0	NO
WF09	OBSERVED_PAIRING	2	PROC022+PROC013	cholor chol	OL+OR | OL	den Ansatz fortsetzen -> den Posten fortsetzen	ANSATZ_WEITER	mit dem Ansatz fortfahren	2	B1|H2	f10r|f81v	2	2	0	NO
WF10	OBSERVED_PAIRING	2	PROC042+PROC013	chedy ol	CHD+Y | OL	diesen Posten umsetzen -> den Posten fortsetzen	UMSETZEN_WEITER	umsetzen und ohne Abschluss weiterarbeiten	2	B1|B4	f81v|f83r	2	2	0	NO
WF11	OBSERVED_PAIRING	2	PROC042+PROC100	chedy qokeedy	CHD+Y | OK+EE+DY	diesen Posten umsetzen -> den Posten länger ansetzen und den Schritt schließen	UMSETZEN_LANG_SCHLIESSEN	umsetzen, länger einwirken lassen und schließen	2	B3|B4	f83r	2	2	0	NO
WF12	OBSERVED_PAIRING	2	PROC055+PROC013	al ol	AL | OL	die Zielstelle setzen -> den Posten fortsetzen	AM_ZIEL_WEITER	an der bezeichneten Stelle fortsetzen	2	B1|B5	f81v|f83r	2	2	0	NO
WF13	OBSERVED_PAIRING	2	PROC070+PROC055	olkain al	OL+K+AIN | AL	eine Portion fortsetzen und zuführen -> die Zielstelle setzen	PORTION_ZUM_ZIEL	die Portion weiterführen und die Zielstelle setzen	2	B1|B4	f81v|f83r	2	2	0	NO
WF14	OBSERVED_PAIRING	2	PROC092+PROC008	qokeey qoky	OK+EE+Y | OK+Y	diesen Posten länger ansetzen -> diesen Posten ansetzen	LANG_ANSETZEN_NACHSETZEN	länger ansetzen und danach erneut ansetzen	2	B2|B4	f82r|f83r	2	2	0	NO
WF15	OBSERVED_PAIRING	2	PROC092+PROC067	qokeey qokedy	OK+EE+Y | OK+E+DY	diesen Posten länger ansetzen -> den Posten kurz ansetzen und den Schritt schließen	LANG_DANN_KURZ_SCHLIESSEN	länger ansetzen, kurz nachsetzen und schließen	2	B3|B4	f83r	2	2	0	NO
