formula_id	occurrence_no	instruction_id	record	page	event_ids	source_position_ids	surface_sequence	literal_sequence_de	idiomatic_workshop_reading_de	cross_record_portable
WF01	1	I013	B1	f81v	E124|E125	SRC_E124|SRC_E125	ol shedy	den Posten fortsetzen -> den Posten absetzen und den Schritt schließen	fortsetzen, absetzen und den Schritt schließen	YES
WF01	2	I016	B1	f81v	E135|E136	SRC_E135|SRC_E136	ol shedy	den Posten fortsetzen -> den Posten absetzen und den Schritt schließen	fortsetzen, absetzen und den Schritt schließen	YES
WF01	3	I022	B1	f81v	E154|E155	SRC_E154|SRC_E155	qol cheedy	den Posten fortsetzen -> den Posten absetzen und den Schritt schließen	fortsetzen, absetzen und den Schritt schließen	YES
WF01	4	I080	B4	f83r	E324|E325	SRC_E324|SRC_E325	tol shedy	den Posten fortsetzen -> den Posten absetzen und den Schritt schließen	fortsetzen, absetzen und den Schritt schließen	YES
WF02	1	I002	H2	f10r	E021|E022	SRC_E021|SRC_E022	chy taiin	diesen Posten übernehmen -> das Maß setzen	den aktuellen Posten auf das Maß beziehen	YES
WF02	2	I004	H3	f11r	E050|E051	SRC_E050|SRC_E051	dy daiin	diesen Posten übernehmen -> das Maß setzen	den aktuellen Posten auf das Maß beziehen	YES
WF02	3	I049	B3	f83r	E232|E233	SRC_E232|SRC_E233	chey daiin	diesen Posten übernehmen -> das Maß setzen	den aktuellen Posten auf das Maß beziehen	YES
WF02	4	I064	B3	f83r	E273|E274	SRC_E273|SRC_E274	sy saiin	diesen Posten übernehmen -> das Maß setzen	den aktuellen Posten auf das Maß beziehen	YES
WF03	1	I002	H2	f10r	E022|E023	SRC_E022|SRC_E023	taiin shy	das Maß setzen -> diesen Posten übernehmen	mit dem gesetzten Maß weiterarbeiten	YES
WF03	2	I037	B2	f82r	E207|E208	SRC_E207|SRC_E208	daiin chey	das Maß setzen -> diesen Posten übernehmen	mit dem gesetzten Maß weiterarbeiten	YES
WF03	3	I049	B3	f83r	E233|E234	SRC_E233|SRC_E234	daiin chey	das Maß setzen -> diesen Posten übernehmen	mit dem gesetzten Maß weiterarbeiten	YES
WF04	1	I002	H2	f10r	E034|E035	SRC_E034|SRC_E035	chor chy	den Ansatz verwenden -> diesen Posten übernehmen	den Ansatz als aktuellen Posten übernehmen	YES
WF04	2	I007	H4	f55v	E071|E072	SRC_E071|SRC_E072	or y	den Ansatz verwenden -> diesen Posten übernehmen	den Ansatz als aktuellen Posten übernehmen	YES
WF04	3	I091	B4	f83r	E348|E349	SRC_E348|SRC_E349	or chey	den Ansatz verwenden -> diesen Posten übernehmen	den Ansatz als aktuellen Posten übernehmen	YES
WF05	1	I002	H2	f10r	E021|E022|E023	SRC_E021|SRC_E022|SRC_E023	chy taiin shy	diesen Posten übernehmen -> das Maß setzen -> diesen Posten übernehmen	denselben Posten unter dem gesetzten Maß weiterführen	YES
WF05	2	I049	B3	f83r	E232|E233|E234	SRC_E232|SRC_E233|SRC_E234	chey daiin chey	diesen Posten übernehmen -> das Maß setzen -> diesen Posten übernehmen	denselben Posten unter dem gesetzten Maß weiterführen	YES
WF06	1	I001	H1	f10r	E008|E009	SRC_E008|SRC_E009	oky daiin	diesen Posten ansetzen -> das Maß setzen	den Posten nach Maß ansetzen	YES
WF06	2	I073	B3	f83r	E298|E299	SRC_E298|SRC_E299	qoky saiin	diesen Posten ansetzen -> das Maß setzen	den Posten nach Maß ansetzen	YES
WF07	1	I096	B5	f83r	E369|E370	SRC_E369|SRC_E370	aiin sol	das Maß setzen -> den Posten fortsetzen	nach dem gesetzten Maß fortsetzen	YES
WF07	2	I097	B6	f83r	E377|E378	SRC_E377|SRC_E378	daiin ol	das Maß setzen -> den Posten fortsetzen	nach dem gesetzten Maß fortsetzen	YES
WF08	1	I002	H2	f10r	E029|E030	SRC_E029|SRC_E030	chol daiin	den Posten fortsetzen -> das Maß setzen	fortsetzen und danach das Maß setzen	YES
WF08	2	I097	B6	f83r	E376|E377	SRC_E376|SRC_E377	ol daiin	den Posten fortsetzen -> das Maß setzen	fortsetzen und danach das Maß setzen	YES
WF09	1	I002	H2	f10r	E028|E029	SRC_E028|SRC_E029	cholor chol	den Ansatz fortsetzen -> den Posten fortsetzen	mit dem Ansatz fortfahren	YES
WF09	2	I011	B1	f81v	E113|E114	SRC_E113|SRC_E114	olor ol	den Ansatz fortsetzen -> den Posten fortsetzen	mit dem Ansatz fortfahren	YES
WF10	1	I013	B1	f81v	E123|E124	SRC_E123|SRC_E124	chedy ol	diesen Posten umsetzen -> den Posten fortsetzen	umsetzen und ohne Abschluss weiterarbeiten	YES
WF10	2	I088	B4	f83r	E342|E343	SRC_E342|SRC_E343	chdy sol	diesen Posten umsetzen -> den Posten fortsetzen	umsetzen und ohne Abschluss weiterarbeiten	YES
WF11	1	I052	B3	f83r	E244|E245	SRC_E244|SRC_E245	chedy qokeedy	diesen Posten umsetzen -> den Posten länger ansetzen und den Schritt schließen	umsetzen, länger einwirken lassen und schließen	YES
WF11	2	I082	B4	f83r	E328|E329	SRC_E328|SRC_E329	chedy qokeedy	diesen Posten umsetzen -> den Posten länger ansetzen und den Schritt schließen	umsetzen, länger einwirken lassen und schließen	YES
WF12	1	I011	B1	f81v	E109|E110	SRC_E109|SRC_E110	al ol	die Zielstelle setzen -> den Posten fortsetzen	an der bezeichneten Stelle fortsetzen	YES
WF12	2	I096	B5	f83r	E365|E366	SRC_E365|SRC_E366	dal cheol	die Zielstelle setzen -> den Posten fortsetzen	an der bezeichneten Stelle fortsetzen	YES
WF13	1	I011	B1	f81v	E108|E109	SRC_E108|SRC_E109	olkain al	eine Portion fortsetzen und zuführen -> die Zielstelle setzen	die Portion weiterführen und die Zielstelle setzen	YES
WF13	2	I093	B4	f83r	E358|E359	SRC_E358|SRC_E359	qolkain dal	eine Portion fortsetzen und zuführen -> die Zielstelle setzen	die Portion weiterführen und die Zielstelle setzen	YES
WF14	1	I036	B2	f82r	E194|E195	SRC_E194|SRC_E195	qokeey qoky	diesen Posten länger ansetzen -> diesen Posten ansetzen	länger ansetzen und danach erneut ansetzen	YES
WF14	2	I080	B4	f83r	E322|E323	SRC_E322|SRC_E323	qokeey qoky	diesen Posten länger ansetzen -> diesen Posten ansetzen	länger ansetzen und danach erneut ansetzen	YES
WF15	1	I071	B3	f83r	E293|E294	SRC_E293|SRC_E294	qokeey qokedy	diesen Posten länger ansetzen -> den Posten kurz ansetzen und den Schritt schließen	länger ansetzen, kurz nachsetzen und schließen	YES
WF15	2	I079	B4	f83r	E317|E318	SRC_E317|SRC_E318	qokeey qokedy	diesen Posten länger ansetzen -> den Posten kurz ansetzen und den Schritt schließen	länger ansetzen, kurz nachsetzen und schließen	YES
