instruction_id	record	source_card_tokens	compressed_tokens	compressed_formula_stream
I001	H1	14	14	PROC001 PROC002 PROC003 PROC004 PROC005 PROC006 PROC007 PROC008 PROC009 PROC010 PROC011 PROC012 PROC013 PROC014
I002	H2	24	21	PROC015 PROC014 PROC016 PROC017 PROC018 PROC019 WF05 PROC020 PROC016 PROC021 PROC013 PROC022 PROC013 PROC009 PROC003 PROC023 PROC016 WF04 PROC024 PROC019 PROC025
I003	H3	7	7	PROC026 PROC027 PROC028 PROC029 PROC030 PROC031 PROC032
I004	H3	10	9	PROC033 PROC034 PROC019 PROC035 WF02 PROC036 PROC037 PROC014 PROC019
I005	H4	5	5	PROC038 PROC009 PROC039 PROC040 PROC041
I006	H4	7	7	PROC009 PROC042 PROC043 PROC044 PROC045 PROC046 PROC047
I007	H4	6	5	PROC009 PROC048 PROC049 WF04 PROC050
I008	H5	13	13	PROC051 PROC052 PROC053 PROC009 PROC052 PROC054 PROC020 PROC008 PROC055 PROC034 PROC056 PROC008 PROC057
I009	H5	14	14	PROC058 PROC052 PROC059 PROC060 PROC011 PROC061 PROC062 PROC052 PROC011 PROC063 PROC064 PROC065 PROC066 PROC009
I010	B1	1	1	PROC067
I011	B1	19	19	PROC038 PROC068 PROC048 PROC003 PROC013 PROC069 PROC070 PROC055 PROC013 PROC071 PROC072 PROC022 PROC013 PROC073 PROC009 PROC074 PROC009 PROC075 PROC076
I012	B1	2	2	PROC013 PROC077
I013	B1	3	2	PROC042 WF01
I014	B1	1	1	PROC079
I015	B1	5	5	PROC080 PROC075 PROC072 PROC081 PROC082
I016	B1	5	4	PROC019 PROC013 PROC083 WF01
I017	B1	1	1	PROC067
I018	B1	1	1	PROC067
I019	B1	5	5	PROC075 PROC008 PROC084 PROC085 PROC086
I020	B1	1	1	PROC086
I021	B1	7	7	PROC042 PROC087 PROC088 PROC013 PROC089 PROC090 PROC091
I022	B1	4	3	PROC048 PROC092 WF01
I023	B1	3	3	PROC055 PROC093 PROC094
I024	B1	4	4	PROC095 PROC096 PROC097 PROC098
I025	B1	1	1	PROC078
I026	B1	2	2	PROC083 PROC099
I027	B1	1	1	PROC055
I028	B2	1	1	PROC076
I029	B2	1	1	PROC079
I030	B2	3	3	PROC080 PROC019 PROC100
I031	B2	5	5	PROC048 PROC101 PROC102 PROC092 PROC103
I032	B2	7	7	PROC104 PROC105 PROC075 PROC038 PROC106 PROC107 PROC108
I033	B2	5	5	PROC109 PROC048 PROC110 PROC008 PROC111
I034	B2	3	3	PROC112 PROC113 PROC078
I035	B2	1	1	PROC114
I036	B2	8	8	PROC092 PROC008 PROC115 PROC031 PROC080 PROC003 PROC080 PROC100
I037	B2	8	7	PROC116 PROC031 PROC117 PROC092 PROC118 WF03 PROC119
I038	B2	1	1	PROC120
I039	B2	3	3	PROC121 PROC122 PROC100
I040	B2	8	8	PROC055 PROC123 PROC124 PROC009 PROC109 PROC038 PROC085 PROC125
I041	B2	2	2	PROC126 PROC127
I042	B2	1	1	PROC100
I043	B2	1	1	PROC128
I044	B2	1	1	PROC129
I045	B2	1	1	PROC100
I046	B2	1	1	PROC130
I047	B3	1	1	PROC098
I048	B3	2	2	PROC131 PROC132
I049	B3	4	2	WF05 PROC120
I050	B3	4	4	PROC038 PROC131 PROC003 PROC076
I051	B3	3	3	PROC133 PROC048 PROC079
I052	B3	3	3	PROC038 PROC042 PROC100
I053	B3	1	1	PROC120
I054	B3	3	3	PROC008 PROC134 PROC135
I055	B3	6	6	PROC136 PROC008 PROC042 PROC137 PROC016 PROC078
I056	B3	4	4	PROC038 PROC069 PROC117 PROC067
I057	B3	2	2	PROC138 PROC139
I058	B3	1	1	PROC120
I059	B3	2	2	PROC140 PROC091
I060	B3	1	1	PROC100
I061	B3	1	1	PROC078
I062	B3	1	1	PROC141
I063	B3	2	2	PROC055 PROC120
I064	B3	11	10	PROC038 PROC014 PROC055 WF02 PROC142 PROC143 PROC019 PROC055 PROC014 PROC144
I065	B3	1	1	PROC145
I066	B3	1	1	PROC120
I067	B3	1	1	PROC076
I068	B3	1	1	PROC082
I069	B3	7	7	PROC146 PROC147 PROC042 PROC080 PROC014 PROC148 PROC098
I070	B3	1	1	PROC129
I071	B3	2	2	PROC092 PROC067
I072	B3	3	3	PROC013 PROC149 PROC067
I073	B3	4	4	PROC008 PROC009 PROC150 PROC145
I074	B3	1	1	PROC100
I075	B3	5	5	PROC151 PROC042 PROC152 PROC112 PROC135
I076	B3	1	1	PROC108
I077	B3	6	6	PROC097 PROC014 PROC004 PROC112 PROC153 PROC078
I078	B4	1	1	PROC100
I079	B4	3	3	PROC154 PROC092 PROC067
I080	B4	7	6	PROC042 PROC131 PROC065 PROC092 PROC008 WF01
I081	B4	1	1	PROC155
I082	B4	3	3	PROC156 PROC042 PROC100
I083	B4	1	1	PROC099
I084	B4	1	1	PROC099
I085	B4	4	4	PROC009 PROC046 PROC157 PROC067
I086	B4	1	1	PROC078
I087	B4	1	1	PROC047
I088	B4	7	7	PROC009 PROC083 PROC158 PROC080 PROC042 PROC013 PROC159
I089	B4	1	1	PROC120
I090	B4	2	2	PROC160 PROC078
I091	B4	4	3	WF04 PROC161 PROC162
I092	B4	6	6	PROC080 PROC031 PROC069 PROC163 PROC164 PROC120
I093	B4	4	4	PROC070 PROC055 PROC165 PROC078
I094	B5	1	1	PROC166
I095	B5	1	1	PROC082
I096	B5	9	9	PROC142 PROC055 PROC013 PROC167 PROC168 PROC009 PROC013 PROC169 PROC042
I097	B6	9	9	PROC170 PROC171 PROC172 PROC013 PROC009 PROC013 PROC156 PROC019 PROC173
