local_ordinal	occurrence_id	surface	exact_okal	source_selector	physical_page	register	topology_family	locus	visual_source	visible_owner_id	visible_member_id	visible_owner_class	member_ordinal	member_count	local_position	attachment_relation	visual_trait_class	clock_hour	upper_window_1_5h	alternate_reader_status	alternate_reader_credit	component_export_credit
1	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1804	okal	YES	f67r2	f67r2	CELESTIAL	RADIAL_ARRAY	f67r2.22	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR002|f67r2|M1	SCARR002|f67r2|M1:SLOT_2	Circle of seven labels above some of the moons.	2	7	Moon at 11:30, red; the Sun? The first @o was retraced in dark ink.	REL_PROXIMITY	ORDERED_ARRAY_POSITION_ONLY	11.500000	YES	ALL_THREE_EXACT_WHOLE	SAME_MANUSCRIPT_READING_ONLY	ZERO
2	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E2280	okala	NO	f70v2	f70v	CELESTIAL	RADIAL_ARRAY	f70v2.8	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR018|f70v2|S2	SCARR018|f70v2|S2:SLOT_4	Labels in star/nymph band 1 (outer).	4	19	Label at 00:45. Grove's #4. Kluge's 17A. Star/nymph at 00:30?	NONE	ORDERED_ARRAY_POSITION_ONLY	0.750000	YES	BOTH_ALTERNATES_DIFFER	SAME_MANUSCRIPT_READING_ONLY	ZERO
3	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E2337	okaldal	NO	f70v2	f70v	CELESTIAL	RADIAL_ARRAY	f70v2.30	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR019|f70v2|S1	SCARR019|f70v2|S1:SLOT_8	Labels in star/nymph band 2 (inner).	8	10	Label at 07:30. Grove's #8. Kluge's 09A. Star/nymph at 07:15?	NONE	ORDERED_ARRAY_POSITION_ONLY	7.500000	NO	ALL_THREE_EXACT_WHOLE	SAME_MANUSCRIPT_READING_ONLY	ZERO
4	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E2189	okalal	NO	f70v1	f70v	CELESTIAL	RADIAL_ARRAY	f70v1.5	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR020|f70v1|S2	SCARR020|f70v1|S2:SLOT_4	Labels in star/nymph band 1 (outer).	4	10	Label at 03:00. Kluge's 09A. Star/nymph at 02:45? <!S??> = star, 7 points	NONE	ORDERED_ARRAY_POSITION_ONLY	3.000000	NO	ALL_THREE_EXACT_WHOLE	SAME_MANUSCRIPT_READING_ONLY	ZERO
5	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0132	okalam	NO	f72r1	f72r	CELESTIAL	RADIAL_ARRAY	f72r1.5	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR026|f72r1|S1	SCARR026|f72r1|S1:SLOT_4	Labels in star/nymph band 1 (outer).	4	10	Label at 01:30. Grove's #4. Kluge's 09A. Star/nymph at 01:00?	NONE	ORDERED_ARRAY_POSITION_ONLY	1.500000	YES	ONE_ALTERNATE_DIFFERS	SAME_MANUSCRIPT_READING_ONLY	ZERO
6	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0237	okalar	NO	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.8	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_2	Labels in star/nymph band 1 (outermost band inside diagram).	2	16	Label at 11:00. Grove's #2. Kluge's 11A. Star/nymph at 11:00?	REL_ENCLOSURE	ORDERED_ARRAY_POSITION_ONLY	11.000000	YES	ALL_THREE_EXACT_WHOLE	SAME_MANUSCRIPT_READING_ONLY	ZERO
7	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0238	okal	YES	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.9	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_3	Labels in star/nymph band 1 (outermost band inside diagram).	3	16	Label at 00:00. Grove's #3. Kluge's 12A. Star/nymph at 11:45?	REL_ENCLOSURE	ORDERED_ARRAY_POSITION_ONLY	0.000000	YES	ALL_THREE_EXACT_WHOLE	SAME_MANUSCRIPT_READING_ONLY	ZERO
8	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0239	okaly	NO	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.10	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_4	Labels in star/nymph band 1 (outermost band inside diagram).	4	16	Label at 00:45. Grove's #4. Kluge's 13A. Star/nymph at 00:15?	REL_ENCLOSURE	ORDERED_ARRAY_POSITION_ONLY	0.750000	YES	ALL_THREE_EXACT_WHOLE	SAME_MANUSCRIPT_READING_ONLY	ZERO
9	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0240	okal	YES	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.11	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_5	Labels in star/nymph band 1 (outermost band inside diagram).	5	16	Label at 01:15. Grove's #5. Kluge's 14A. Star/nymph at 01:00?	REL_ENCLOSURE	ORDERED_ARRAY_POSITION_ONLY	1.250000	YES	ALL_THREE_EXACT_WHOLE	SAME_MANUSCRIPT_READING_ONLY	ZERO
10	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0249	okaly	NO	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.18	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_12	Labels in star/nymph band 1 (outermost band inside diagram).	12	16	Label at 07:15. Grove's #12. Kluge's 21A. Star/nymph at 07:30?	REL_ENCLOSURE	ORDERED_ARRAY_POSITION_ONLY	7.250000	NO	ALL_THREE_EXACT_WHOLE	SAME_MANUSCRIPT_READING_ONLY	ZERO
