context_ordinal	paragraph_id	physical_page	source_selector	register	topology_family	first_locus	last_locus	line_count	record_ids	family_occurrence_count	family_surfaces	exact_okal_occurrence_count	page_local_family_label_count	page_local_family_surfaces	exact_running_label_overlap_surfaces	raw_whole_paragraph	translation_status
1	f18r:P2	f18r	f18r	HERBAL	WHOLE_PLANT_ARTICLE	f18r.5	f18r.14	10	NONE	2	okal	2	0	NONE	NONE	tchor shor cthaiin cthol chlol chom / ychy kchor dair ytol chcthy dar dar dal / oshor shaiin cthy sholdy doldy doldaiin / qokchor ckhol olody okal dy dary / chol chcthal okshal chykald / dar shor qokchol ol ydaiin / sotchaiin chokchy chckhol chor g / ychair cthol daiin qokchy cthy / or shaiin cthar cthal okal dar / ychekch y kchaiin	UNTRANSLATED__TARGET_CANDIDATE_ONLY
2	f55v:P2	f55v	f55v	HERBAL	WHOLE_PLANT_ARTICLE	f55v.7	f55v.12	6	NONE	2	okal	2	0	NONE	NONE	okchd ykain sheokey or ain ch kchdy pchal ar aldy dary / tar chedy qokaiin okar qol otar cho ar talody okar y / ykaky qokchy okal chey or or aiin okaiin ykain otaky / oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol / ykaiin cheoar cheeky oldy aiin okal oltchy or y orain / daiin ar cheky olkeechy sl ar aiin daiin otam	UNTRANSLATED__TARGET_CANDIDATE_ONLY
3	f66r:P2	f66r	f66r	SOURCE_SECTION_T	TEXT_BLOCK	f66r.50	f66r.56	7	NONE	1	okal	1	0	NONE	NONE	pdaiin oteedy opchedy chap chefchy shddy ypches cholpchd okedals / sair shekey qokeedar okal okedy qokeedy qokal okedy qokshd / ykshedy chady cthdy qokees cheeo okcho dy chekeey chedy chckhy / shdy qotedy chdy chedy qotedal chcpheor ykady dar qotey kol ar / qokeeody qokeody qokeody qokar sheky qokeeody okedy kodary / ykeeody choekeey okeody chekeody qokeey dyky chctho rotaiin / dsheol okaiin sheodaiin	UNTRANSLATED__TARGET_CANDIDATE_ONLY
4	f66r:P6	f66r	f66r	SOURCE_SECTION_T	TEXT_BLOCK	f66r.70	f66r.81	12	NONE	1	okalchedy	0	0	NONE	NONE	todeeey keody chdy keody shedy shekeefy chdy sheol shol kedy daly / saiir cheol kal sheody chcthedy dal shol qokeody chody kechody / sshedy oteedy ykeeody sheocthy ol ld lshedy chokeey chekey chey / ysheeod qoteeod qotol qoky chckhedy shey dcheol cheky cheo dor / ydaiin shedy otchedy oteochey tolchedy lsheody qoky daiin otam / tcheo sheor oteody lpchees ol ar alkey otey ltsholy shecthy r ol / daiin sheol qocthedy qokedy lchey qokaly shcthy qotal otchdy / qokey ar olkeol qokal cheoky ykchdy chody sheody qoky ldy / dor aiin sheeol lshedy lchedy cheedy shekol dalol lodaiin / sheol oteey ldaiin okalchedy pchedy kody qotchedy cphedy / daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar / lchey lkeedy chety shekaly shckhar	UNTRANSLATED__TARGET_CANDIDATE_ONLY
5	f71v:P1	f71v	f71v	CELESTIAL	RADIAL_ARRAY	f71v.1	f71v.18	3	NONE	2	okalar|okal	1	0	NONE	NONE	osheo parar oteeodaiin she ateey daiin oteokeey dal al oteey teey dy otchy keey sheeo ochey chey otcheodal sheealody cheol otar okam oteodar chpchy ar al aiin oteoshar okeodaly oteey teeey oteey keor or arol cheols okaikaly / chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor / okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal	UNTRANSLATED__TARGET_CANDIDATE_ONLY
6	f72r1:P1	f72r	f72r1	CELESTIAL	RADIAL_ARRAY	f72r1.1	f72r1.18	3	NONE	2	okalshey|okalal	0	8	okalam|okalar|okal|okaly|okaldy	NONE	oteeo cthey chlol cheol olcheor al oteey chedal oteedy okeodaly chol chokeol cheoky okaiir okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin / oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar / okeeols aroly okees alaiin okeor chol o oteos aiin chal otaiin atchor chckhy	UNTRANSLATED__TARGET_CANDIDATE_ONLY
7	f72r2:P1	f72r	f72r2	CELESTIAL	RADIAL_ARRAY	f72r2.6	f72r2.32	3	NONE	4	okalaiin|okalchal|okaly|okal	1	8	okalam|okalar|okal|okaly|okaldy	okaly|okal	oteos aiin okeo daiin okeey cheo keodal chol okeol oly oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckhal chekaiin otaiin chy d r aiin al y o chekaiin okedal qokeodal saiin otois otees / oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin / otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	UNTRANSLATED__TARGET_CANDIDATE_ONLY
8	f75r:P2	f75r	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	f75r.27	f75r.31	5	NONE	1	okaldy	0	0	NONE	NONE	pdalshor shtol qoty pshar shedy okaldy dar otar otody dy rol / tchedy pchedy qokeey sol oldair shecthy qol l sheedy qokeedy lolchedy / dain chkal dy lo lkaiin ol okeedyqol dain olchey qokeedy chedy qotan / qo dain cheeky qokey qokain cheky qokal dain chedy o kalol shedy okar olom / dshedy qokey chckhy qokar shedy chey qoked qokedy daldy	UNTRANSLATED__TARGET_CANDIDATE_ONLY
9	f75r:P3	f75r	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	f75r.32	f75r.46	15	NONE	1	okal	1	0	NONE	NONE	polshy dal shedy qokain dar chsdy shedy qotar shedy ldy / qokeey l shedy qo l chedy qokain chcthedy ltedy darom / s olkedy okal dar oty okar otar ol kain oltedy / qokain sheety qokain dar dar shedy qokain oldy / sol keedy qokeedy qokey okar otar dardardy / qokedy dy sheety qokedy qokeedy qokechdy lol / qokeedy qokeedy qokedy qokedy qokeedy ldy / yshedy qokeedy qokeedy olkeedy otey koldy / dar shedy qokain shedy dal keedy rshedy / sokeedy qokeedy oteedy qoky dy keedy sy / dshedy qokedy qokeedy qoteey qoteedy dor / yshedy chekar oldy qokain chkar otar oldy / dchedy sain okedy qokedy otedy okoldy otar otam olaiin ch dar dy / sshedy shckhy qokey okedy sarol oty otedy qotedy otedy okaiin / qokey qokedy sheol qokedy dain shedy otol chedy olor	UNTRANSLATED__TARGET_CANDIDATE_ONLY
10	f76r:P1	f76r	f76r	BIOLOGICAL	TEXT_BLOCK	f76r.1	f76r.38	29	NONE	1	okal	1	0	NONE	NONE	potchokor chcfhdy opshdy qolp chcphy chcphdy opshey qofshy opchdy sain as y / dshedy qotddyar cthar chep dain okain qokeor shedy qol ain sheals qokeey / yshey qokeey qokey qokeed okedy shky qotedy otedy shol qoty ol chedy aiiny / qokedy qokeey or or or chkorol otey qokedy lkedy chdy qokchdy qokal chdam / solchedy qokeedy qopchedy qokeeo rol shedy qokedy sheey okees al al chedain dar / qoaiin ches okeedal qoked qokeey shedy chey lkeedy okey dar aiin chekain oldy / shed al shckhy r ain chcphedy ain olkeey lkar ain otchy lkain chedy dar daly / qotedshedy qorain oteedy chedy ol chdy raiiin chekain dain chckhy sal oty / solshedy qool qctheed shdy qa ol keey dain saiin s ar shedy qokeor okeedy / qokeedy checthy chckhey okal okaiin sheckhey okeedy otey dal y kal chedy sar / chorshedy qoked okees al ar aiin ar ain chckheed lchedy shedy qolair chedy / qotes chedy shckhy qokeey okeey kain checkhy qokeedy qotey qotain chekair / chey chckh shey qeeey chol lkain shedy qokeedy okain chedy okeed qokaloro / dcheedy qolchey qokeey qokeey chedy qokar shedy shedy lshedy qolchedy otedyl / dshedy qo chedy lchedy qokey qolchey qotain chckhy shckhy lchar okar alchdy / qokchsdy okeey lchedy qo olain ot shedy qotaly dar sain shedy oleeed / sheedy qokedy chedy chedy qokain chckhy olchy l ain shedy olaiin chedy qokey / dalshedy qol sheedy qokaldy chepy dain alolor olain chedy shecthy qokey lor / qoloin chey qokeey lchedy chckhy chey ky chey qolal lklchey lchedy chey llaiir y / shedal shey qokey qolchedy qolain ain chey qokaiin okain cheedy lchey l oly dy / soin sheey chear ol aiin chodaiin qokaiin chey qokalchey dal chdy dal ytal / qokar shedy shedy qokar shedy qokain dar shey lshcthy okar okain y laiin y / darchey cheolchey shcthy chedy qo qokey dalaiin sheeky qokain olky sain chy / cheo r ain okaiin dain chey dalshedy qokaiin cheol shy chedy rain chedy shy / qokedy lkey kal shedy qopchey qo l pchedy okchy chckhy shey lol r ol sheey dar / cheor shey qoolkal shedy shedy shey shedy ollchy shlches shcthy sain oly / sain shedy lshey qokal chcthy okeolor cheol otar chedy qol chcthy chckhy / qokal shedy sheol cheol alshy chol chdy talor ol alor chol okeor ar o oly / oteey lchey chey olsheol qokal chal	UNTRANSLATED__TARGET_CANDIDATE_ONLY
