patch_ordinal	occurrence_id	physical_page	locus	token_ordinal_in_line	occurrence_kind	surface	previous_structural_display	selected_working_role	working_default_de	working_display	renderer_action	semantic_confidence	scope	evidence	counterevidence	lexeme_confirmed	component_export_credit
1	G407-E0574	f18r	f18r.8	4	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Kennstellen-/Systemeintragscode	⟦okal:Kennstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
2	G407-E0600	f18r	f18r.13	5	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Kennstellen-/Systemeintragscode	⟦okal:Kennstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
3	G407-E0758	f55v	f55v.9	3	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Kennstellen-/Systemeintragscode	⟦okal:Kennstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
4	G407-E0783	f55v	f55v.11	6	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Kennstellen-/Systemeintragscode	⟦okal:Kennstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
5	G515-E0312	f66r	f66r.51	4	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Kennstellen-/Systemeintragscode	⟦okal:Kennstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
6	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1804	f67r2	f67r2.22	1	LOCAL_ADDRESS_OR_LABEL	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Ringstellen-/Systemeintragscode	⟦okal:Ringstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
7	G407-E1130	f71v	f71v.18	5	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Ring-/Systemeintragscode	⟦okal:Ring-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
8	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0238	f72r	f72r2.9	1	LOCAL_ADDRESS_OR_LABEL	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Ringstellen-/Systemeintragscode	⟦okal:Ringstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
9	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0240	f72r	f72r2.11	1	LOCAL_ADDRESS_OR_LABEL	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Ringstellen-/Systemeintragscode	⟦okal:Ringstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
10	G407-E1278	f72r	f72r2.22	19	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Ring-/Systemeintragscode	⟦okal:Ring-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
