visible_owner_id	physical_page	topology_family	visual_source	family_member_count	ordered_positions	ordered_loci	same_surface_collision_forms	bidirectional_constraint_pairs	strict_ordinal_status
F82_BOTTOM_COMMUNAL	f82r	POOL_APPARATUS_NETWORK	GDT790_DEEP_PANEL_COMPONENT	2	2:okal|3:okaldy	f82r.36|f82r.37	NONE	NONE	ORDERABLE_SINGLE_ARRAY__NO_TRANSFER_KEY
F88V_MATERIAL_PAGE	f88v	MATERIAL_REGISTER	GDT581_LOCAL_MATERIAL_OWNER	1	1:okalyd	f88v.1	NONE	NONE	NOT_TESTABLE_SINGLE_FAMILY_MEMBER
SCARR002|f67r2|M1	f67r2	RADIAL_ARRAY	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	1	2:okal	f67r2.22	NONE	NONE	NOT_TESTABLE_SINGLE_FAMILY_MEMBER
SCARR018|f70v2|S2	f70v	RADIAL_ARRAY	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	1	4:okala	f70v2.8	NONE	NONE	NOT_TESTABLE_SINGLE_FAMILY_MEMBER
SCARR019|f70v2|S1	f70v	RADIAL_ARRAY	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	1	8:okaldal	f70v2.30	NONE	NONE	NOT_TESTABLE_SINGLE_FAMILY_MEMBER
SCARR020|f70v1|S2	f70v	RADIAL_ARRAY	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	1	4:okalal	f70v1.5	NONE	NONE	NOT_TESTABLE_SINGLE_FAMILY_MEMBER
SCARR026|f72r1|S1	f72r	RADIAL_ARRAY	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	1	4:okalam	f72r1.5	NONE	NONE	NOT_TESTABLE_SINGLE_FAMILY_MEMBER
SCARR029|f72r2|S1	f72r	RADIAL_ARRAY	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	5	2:okalar|3:okal|4:okaly|5:okal|12:okaly	f72r2.8|f72r2.9|f72r2.10|f72r2.11|f72r2.18	okal|okaly	okal<>okaly	FAIL_STRICT_ORDER__BIDIRECTIONAL_FORM_CONSTRAINT
SCARR030|f72r2|S2	f72r	RADIAL_ARRAY	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	1	5:okaldy	f72r2.27	NONE	NONE	NOT_TESTABLE_SINGLE_FAMILY_MEMBER
SCARR032|f72r3|S2	f72r	RADIAL_ARRAY	SPECIAL_CIRCLE_TEXT_BLIND_ARRAY	1	9:okalar	f72r3.22	NONE	NONE	NOT_TESTABLE_SINGLE_FAMILY_MEMBER
