family_occurrence_ordinal	occurrence_id	surface	exact_okal	occurrence_kind	source_selector	physical_page	register	topology_family	locus	token_ordinal_in_line	paragraph_id	record_id	context_owner_id	visible_owner_id	visible_member_id	same_page_exact_label_count	same_page_prefix_family_label_count	whole_context	alternate_reader_status	family_definition	semantic_credit	component_export_credit
1	G407-E0574	okal	YES	RUNNING_EVENT	f18r	f18r	HERBAL	WHOLE_PLANT_ARTICLE	f18r.8	4	f18r:P2	NONE	F18R_WHOLE_PLANT	NA	NA	0	0	tchor shor cthaiin cthol chlol chom / ychy kchor dair ytol chcthy dar dar dal / oshor shaiin cthy sholdy doldy doldaiin / qokchor ckhol olody okal dy dary / chol chcthal okshal chykald / dar shor qokchol ol ydaiin / sotchaiin chokchy chckhol chor g / ychair cthol daiin qokchy cthy / or shaiin cthar cthal okal dar / ychekch y kchaiin	ONE_ALTERNATE_DIFFERS	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
2	G407-E0600	okal	YES	RUNNING_EVENT	f18r	f18r	HERBAL	WHOLE_PLANT_ARTICLE	f18r.13	5	f18r:P2	NONE	F18R_WHOLE_PLANT	NA	NA	0	0	tchor shor cthaiin cthol chlol chom / ychy kchor dair ytol chcthy dar dar dal / oshor shaiin cthy sholdy doldy doldaiin / qokchor ckhol olody okal dy dary / chol chcthal okshal chykald / dar shor qokchol ol ydaiin / sotchaiin chokchy chckhol chor g / ychair cthol daiin qokchy cthy / or shaiin cthar cthal okal dar / ychekch y kchaiin	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
3	G407-E0758	okal	YES	RUNNING_EVENT	f55v	f55v	HERBAL	WHOLE_PLANT_ARTICLE	f55v.9	3	f55v:P2	NONE	F55V_WHOLE_PLANT	NA	NA	0	0	okchd ykain sheokey or ain ch kchdy pchal ar aldy dary / tar chedy qokaiin okar qol otar cho ar talody okar y / ykaky qokchy okal chey or or aiin okaiin ykain otaky / oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol / ykaiin cheoar cheeky oldy aiin okal oltchy or y orain / daiin ar cheky olkeechy sl ar aiin daiin otam	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
4	G407-E0783	okal	YES	RUNNING_EVENT	f55v	f55v	HERBAL	WHOLE_PLANT_ARTICLE	f55v.11	6	f55v:P2	NONE	F55V_WHOLE_PLANT	NA	NA	0	0	okchd ykain sheokey or ain ch kchdy pchal ar aldy dary / tar chedy qokaiin okar qol otar cho ar talody okar y / ykaky qokchy okal chey or or aiin okaiin ykain otaky / oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol / ykaiin cheoar cheeky oldy aiin okal oltchy or y orain / daiin ar cheky olkeechy sl ar aiin daiin otam	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
5	G515-E0312	okal	YES	RUNNING_EVENT	f66r	f66r	SOURCE_SECTION_T	TEXT_BLOCK	f66r.51	4	f66r:P2	NONE	F66R_TEXT_PAGE	NA	NA	0	0	pdaiin oteedy opchedy chap chefchy shddy ypches cholpchd okedals / sair shekey qokeedar okal okedy qokeedy qokal okedy qokshd / ykshedy chady cthdy qokees cheeo okcho dy chekeey chedy chckhy / shdy qotedy chdy chedy qotedal chcpheor ykady dar qotey kol ar / qokeeody qokeody qokeody qokar sheky qokeeody okedy kodary / ykeeody choekeey okeody chekeody qokeey dyky chctho rotaiin / dsheol okaiin sheodaiin	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
6	G515-E0574	okalchedy	NO	RUNNING_EVENT	f66r	f66r	SOURCE_SECTION_T	TEXT_BLOCK	f66r.79	4	f66r:P6	NONE	F66R_TEXT_PAGE	NA	NA	0	0	todeeey keody chdy keody shedy shekeefy chdy sheol shol kedy daly / saiir cheol kal sheody chcthedy dal shol qokeody chody kechody / sshedy oteedy ykeeody sheocthy ol ld lshedy chokeey chekey chey / ysheeod qoteeod qotol qoky chckhedy shey dcheol cheky cheo dor / ydaiin shedy otchedy oteochey tolchedy lsheody qoky daiin otam / tcheo sheor oteody lpchees ol ar alkey otey ltsholy shecthy r ol / daiin sheol qocthedy qokedy lchey qokaly shcthy qotal otchdy / qokey ar olkeol qokal cheoky ykchdy chody sheody qoky ldy / dor aiin sheeol lshedy lchedy cheedy shekol dalol lodaiin / sheol oteey ldaiin okalchedy pchedy kody qotchedy cphedy / daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar / lchey lkeedy chety shekaly shckhar	ONE_ALTERNATE_DIFFERS	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
7	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1804	okal	YES	LOCAL_ADDRESS_OR_LABEL	f67r2	f67r2	CELESTIAL	RADIAL_ARRAY	f67r2.22	1	NA	NONE	F67R2_RADIAL_PAGE	SCARR002|f67r2|M1	SCARR002|f67r2|M1:SLOT_2	1	1	Moon at 11:30, red; the Sun? The first @o was retraced in dark ink.	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
8	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E2280	okala	NO	LOCAL_ADDRESS_OR_LABEL	f70v2	f70v	CELESTIAL	RADIAL_ARRAY	f70v2.8	1	NA	NONE	F70V_RADIAL_PAGE	SCARR018|f70v2|S2	SCARR018|f70v2|S2:SLOT_4	1	3	Label at 00:45. Grove's #4. Kluge's 17A. Star/nymph at 00:30?	BOTH_ALTERNATES_DIFFER	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
9	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E2337	okaldal	NO	LOCAL_ADDRESS_OR_LABEL	f70v2	f70v	CELESTIAL	RADIAL_ARRAY	f70v2.30	1	NA	NONE	F70V_RADIAL_PAGE	SCARR019|f70v2|S1	SCARR019|f70v2|S1:SLOT_8	1	3	Label at 07:30. Grove's #8. Kluge's 09A. Star/nymph at 07:15?	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
10	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E2189	okalal	NO	LOCAL_ADDRESS_OR_LABEL	f70v1	f70v	CELESTIAL	RADIAL_ARRAY	f70v1.5	1	NA	NONE	F70V_RADIAL_PAGE	SCARR020|f70v1|S2	SCARR020|f70v1|S2:SLOT_4	1	3	Label at 03:00. Kluge's 09A. Star/nymph at 02:45? <!S??> = star, 7 points	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
