source_id	manuscript_id	date_region	source_type	source_url	bibliographic_reference	supporting_statement	readable_slot_values	fixed_start	fixed_order	one_to_one_ownership	topology	voynich_target_family	source_status
EXT001_BL_ADD_MS_25435	London, British Library, Add MS 25435	1345-1355; German	OFFICIAL_LIBRARY_CATALOGUE	https://searcharchives.bl.uk/catalog/032-002029758	British Library Archives and Manuscripts Catalogue, Add MS 25435	A wheel on the upper cover has Roman numerals I-XXVIII for 28 lunar mansions and a movable pointing figure; 28 named prophet records occupy ff.3r-16v.	YES	YES_NUMERALS	YES_I_TO_XXVIII	YES_WHEEL_NUMBER_TO_RECORD	NUMBERED_CIRCULAR_28_WITH_POINTER	F69V_28;F68R1_28_NONCENTRAL	SOURCE_VERIFIED
EXT002_A65_28_NIGHTS	Tbilisi, National Centre of Manuscripts, A-65	1188-1210; Georgian translation of Arabic astrological tract	SCHOLARLY_EDITION_AND_CATALOGUE	https://titus.uni-frankfurt.de/texte/etcs/cauc/ageo/etlta/etltat.htm	A. Shanidze (ed.), Eṭlta da šwdta mnatobtatws (1975), TITUS electronic edition	The edition gives an ordered 1-28 lunar-night schedule and reports odd entries red and even entries black; no homologous A-65 circular topology is documented.	YES	YES_TEXTUAL_NIGHT_1	YES_TEXTUAL_1_TO_28	YES_TEXTUAL_RECORD	TEXTUAL_ORDERED_28_ALTERNATING_RENDERING	F69V_28	SOURCE_VERIFIED_NOT_DIAGRAM_HOMOLOGUE
EXT003_W73_WINDS_12	Baltimore, Walters Art Museum, W.73, f.1v	late 12th century; England	OFFICIAL_MUSEUM_CATALOGUE	https://t.thedigitalwalters.org/Data/WaltersManuscripts/html/W73/description.html	Walters Ms. W.73, Cosmography, description of f.1v	Twelve profile winds have Latin and Greek names in concentric bands, owned spokes, four cardinal directions, East at top, and a catalogue-given clockwise reading.	YES	YES_EAST_TOP_AND_NORTH_REFERENCE	YES_CATALOGUED_CLOCKWISE	YES_SPOKES_AND_NAMES	OWNED_12_SPOKE_WHEEL	SPECIAL_CIRCLE_12_SECTOR_RINGS	SOURCE_VERIFIED
EXT004_W73_PLANETS_ZODIAC	Baltimore, Walters Art Museum, W.73, f.2v	late 12th century; England	OFFICIAL_MUSEUM_CATALOGUE	https://art.thewalters.org/object/W.73.2V/	Walters W.73.2V, Diagram of the Planetary Orbits and Zodiac	Earth is central, seven named heavenly bodies occupy ordered concentric rings, and twelve named zodiac signs occupy the frame.	YES	YES_CATALOGUED_TOP_SIGN	YES_CONCENTRIC_AND_ZODIAC_ORDER	YES_RING_AND_FRAME_LABELS	CENTER_PLUS_7_CONCENTRIC_PLUS_12_FRAME	F67R2_7_AND_12	SOURCE_VERIFIED
EXT005_W73_LUNAR_30_ZODIAC_12	Baltimore, Walters Art Museum, W.73, f.6v	late 12th century; England	OFFICIAL_MUSEUM_CATALOGUE	https://t.thedigitalwalters.org/Data/WaltersManuscripts/html/W73/description.html	Walters Ms. W.73, description of f.6v	A lunar-course rota numbers days I-XXX counterclockwise from the top and gives twelve zodiac names beginning with Aries.	YES	YES_TOP_AND_ARIES	YES_COUNTERCLOCKWISE_I_TO_XXX	YES_NUMBERED_RINGS	ORDERED_30_DAY_RING_PLUS_12_ZODIAC	ZODIAC_30;F68R1_29	SOURCE_VERIFIED
EXT006_W73_FOURFOLD	Baltimore, Walters Art Museum, W.73, f.7v	late 12th century; England	OFFICIAL_MUSEUM_CATALOGUE	https://t.thedigitalwalters.org/Data/WaltersManuscripts/html/W73/description.html	Walters Ms. W.73, four elements/seasons/qualities diagram	The diagram explicitly names and orders four elements with qualities, seasons and humours through interlocking arcs.	YES	YES_CATALOGUED_TOP	YES_CLOCKWISE_CATALOGUE	YES_NAMED_ARCS	INTERLOCKED_FOURFOLD_CORRESPONDENCE	F67V2_FOURFOLD	SOURCE_VERIFIED_PRIOR_ROUTE_EXPOSED
EXT007_ST_JOHNS_17_TIDAL_ROTA	Oxford, St John's College, MS 17	ca.1110; England	OFFICIAL_FACSIMILE_PLUS_SCHOLARLY_AUDIT	https://digital.bodleian.ox.ac.uk/objects/cca30c56-0751-4f52-a952-bbffcb7b64e9/	St John's College MS 17; L. Teresi, Anglia 138 (2020)	The source-audited tidal rota uses explicit ordered wedges with 30 sectors, with 29-sector variants documented in the tradition.	YES_NUMERALS	YES_IN_SOURCE_TRADITION	YES_ORDERED_WEDGES	YES_WEDGE_NUMERALS	ORDERED_29_OR_30_WEDGE_ROTA	F68R1_29;ZODIAC_30	SOURCE_VERIFIED
EXT008_NYPL_MA069_MODULES	New York Public Library, MA 069 / MssCol 2557	1240-1260; Paris	OFFICIAL_LIBRARY_CATALOGUE_PLUS_SOURCE_AUDIT	https://digitalcollections.nypl.org/items/1fbe4680-28ab-013b-27fe-0242ac110002	NYPL MA 069, Computus, Text 3	One codex combines zodiac, letter-number, fourfold, Sun-Moon and nineteen-year circular modules, but audited cardinalities and ownership differ from Voynich panels.	PARTIAL	MIXED_BY_DIAGRAM	MIXED_BY_DIAGRAM	NO_EXACT_VOYNICH_HOMOLOGUE	MULTIPLE_COMPUTUS_COSMOGRAPHY_WHEELS	SPECIAL_CIRCLE_BLOCK	SYSTEM_FAMILY_ONLY
EXT009_WELLCOME_MS202_MODULES	London, Wellcome Collection, MS.202	1443; German	OFFICIAL_LIBRARY_CATALOGUE_PLUS_SOURCE_AUDIT	https://wellcomecollection.org/works/aeb73uat	Wellcome MS.202, computistical miscellany	A chronologically close computistical miscellany combines coloured fourfold and Sun-Moon diagrams but supplies no matching one-to-one Voynich slot map.	PARTIAL	MIXED_BY_DIAGRAM	MIXED_BY_DIAGRAM	NO_EXACT_VOYNICH_HOMOLOGUE	COMPUTUS_COSMOGRAPHY_MODULE_SET	SPECIAL_CIRCLE_BLOCK	SYSTEM_FAMILY_ONLY
EXT010_OXFORD_ARAB_C90	Oxford, Bodleian Libraries, MS. Arab. c. 90, ff.2b-3a	ca.1200; Arabic	HUMAN_CURATED_FDTW_METADATA	https://www.oraedes.fr/Medias/Details/a9a0e134-9a21-47b7-818b-c7058cd6b425	FDTW/ORAEDES record 'Earth and the Heavens'	The catalogue describes Earth and seven climates centrally, 28 star/image sections, 36 constellations, and an outer twelve-zodiac layer with east/west axis.	PARTIAL_MARGINAL_TEXT	AXIS_ONLY	NOT_FULLY_DOCUMENTED	PARTIAL	CENTER_7_PLUS_28_PLUS_36_PLUS_12	F67R2_7_AND_12;F68R1_28_NONCENTRAL	METADATA_NEAR_HOMOLOGUE_ORDER_UNVERIFIED
