candidate_id	external_source_ids	voynich_target	geometry_match	external_slots_readable	external_order_fixed	external_ownership_fixed	voynich_order_authorial	voynich_phase_text_blind	voynich_physical_folios	independent_discovery_held_capacity	prior_route	viable	exclusion_reason
C001_BL28_TO_F69V	EXT001_BL_ADD_MS_25435;EXT002_A65_28_NIGHTS	f69v|X1	CIRCULAR_28_VS_NUMBERED_OR_ORDERED_28	YES	YES	YES	NO_EDITORIAL_ONLY	NO	1	NO	F69VSD001_NO_START_DIRECTION;KART001_DIRECT_TRANSFER_FALSIFIED	NO	External donor is excellent, but f69v has no authorial origin/direction and no independent held folio.
C002_BL28_TO_F68R1	EXT001_BL_ADD_MS_25435	f68r1|S1	28_NONCENTRAL_PLUS_ONE_CENTER_VS_NUMBERED_28	YES	YES	YES	NO_SCATTERED_STARS	NO	1	NO	COMPUTUS_CIRCLE_AUDIT_COUNT_ONLY	NO	The 28 noncentral stars have neither an authorial sequence nor an independent-folio replication.
C003_W73_7_12_TO_F67R2	EXT004_W73_PLANETS_ZODIAC;EXT014_LANDSBERG_SPHAERA_7_IN_12	f67r2|M1+M2	SEVEN_AND_TWELVE_COUNTS	YES	YES	YES	PARTIAL_CIRCULAR	NO	1	NO	F67_F72_SEVEN_SPECIFICITY_FAILED;SACROBOSCO_LATE_ONLY	NO	The counts coexist, but the external seven are concentric or late binary occupants rather than the Voynich local topology; only one target folio exists.
C004_W73_WINDS_TO_12_SECTORS	EXT003_W73_WINDS_12	f67r1|D1;f67r2|M2;f67v1|X1	TWELVE_CIRCULAR_SECTORS	YES	YES	YES	YES_WITHIN_EACH_RING	NO_SHARED_MARKER	1	NO	WARBURG_WIND_HOMOLOGUE_PRESCREEN_NO_EXACT_OWNED_TOPOLOGY	NO	All three twelve-slot target rings are on physical folio f67 and lack a shared text-blind phase/ownership key.
C005_PARANATELLONTA_TO_ZODIAC30	EXT005_W73_LUNAR_30_ZODIAC_12;EXT011_PARANATELLONTA_30;EXT012_FENDULUS_DECANS	ten extant zodiac signs f70v2-f73v	THIRTY_POSITIONS_PER_SIGN	YES	YES	YES_EXTERNAL_RECORDS	NO_COMMON_PHASE	NO_SEVEN_TOPOLOGIES	4	NO_SAME_TOPOLOGY_ACROSS_DISJOINT_FOLIOS	ZODIAC_CROSSSIGN_PHASE_CAPACITY_STOP	NO	Target count is strong, but seven panel topologies lack a common start, direction, and band continuation; every repeated topology pair shares a folio.
C006_A65_FORTUNATE_DEGREES_TO_ZODIAC	EXT002_A65_28_NIGHTS	ten extant zodiac signs f70v2-f73v	SIGN_SPECIFIC_SUBSETS_OF_30	YES_EXTERNAL_DEGREE_SETS	YES	YES_EXTERNAL_TEXT	NO_COMMON_PHASE	NO	4	NO_CAPACITY_VALID_FROZEN_VISUAL_SUBSET	KART001_T5_UNSCORED_NO_CAPACITY	NO	No complete independently annotated Voynich binary/subset state with singular slot ownership survives across signs.
C007_W73_FOURFOLD_TO_F67V2	EXT006_W73_FOURFOLD	f67v2|M1+E1	FOURFOLD_CORNERS_AND_RADIAL_TITLES	YES	YES	YES	FOUR_CORNERS_ONLY	NO_EXTERNAL_CORNER_KEY	1	NO	F57_F67_SEMANTIC_TRANSFER_EXPOSED_AND_WITHDRAWN	NO	One target folio and no independent corner phase; prior element/direction semantics are exposed and withdrawn.
C008_TIDAL29_TO_F68R1	EXT007_ST_JOHNS_17_TIDAL_ROTA	f68r1|S1	TWENTY_NINE_TOTAL	YES	YES	YES	NO	NO	1	NO	COMPUTUS_CIRCLE_AUDIT_COUNT_ANALOGUE_ONLY	NO	The donor is a numbered wedge rota; the target is a scattered 29-star field with one centre and no authorial cycle.
C009_10_PLUS_5_ZODIAC_SPLITS	EXT011_PARANATELLONTA_30;EXT012_FENDULUS_DECANS	f70v1;f71r;f71v;f72r1	TWO_PANELS_EACH_10_PLUS_5_EQUALS_30	YES_EXTERNAL_30	YES_EXTERNAL_30	YES_EXTERNAL_RECORDS	NO_INTERPANEL_CONTINUATION	NO_TWO_TO_ONE_PAIRING_OR_BAND_KEY	3	NO_AUTHOR_VISIBLE_PAIRING	SPECIAL_CIRCLE_10_TO_5_PAIRING_STOP	NO	Four panels offer nominal folio capacity, but no spokes, cells, leaders, or continuation rule identify the 30 external positions.
C010_ARAB_C90_COMPOSITE	EXT010_OXFORD_ARAB_C90	f67r2 plus f68r1	7_CENTER_CONTEXT_PLUS_28_PLUS_12	PARTIAL	NO	PARTIAL	NO_COMPOSITE_AUTHORIAL_UNIT	NO	2	NO	FDTW_METADATA_PRESCREEN_ONLY	NO	The resemblance exists only by combining different Voynich pages/folios; the external 28-slot order is not documented in the metadata.
C011_GOTHA_SEVEN_DIAGRAMS	EXT013_GOTHA_CHART_A472	special-circle seven-size arrays	SEVEN_COUNT_ONLY	YES_TITLES	YES_CODEX_ORDER	NO_SEVEN_PLANETS	NO_CROSS_PAGE_SEQUENCE_KEY	NO	2	NO	TPQ001_NO_ONE_TO_ONE_DONOR	NO	The seven external titles are not seven luminaries and target seven-size arrays are not a matched page sequence.
