target_id	scope	physical_folios	pages	unit_ids	instance_count	slot_structure	authorial_order_state	phase_state	ownership_state	independent_folio_capacity	source_artifact	neutral_description
SC_001	SPECIAL_CIRCLE_ARRAY	f67	f67r1	D1	1	12	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Radial labels in circle sectors.
SC_002	SPECIAL_CIRCLE_ARRAY	f67	f67r2	M1	1	7	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Circle of seven labels above some of the moons.
SC_003	SPECIAL_CIRCLE_ARRAY	f67	f67r2	M2	1	12	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Circle of 12 labels under the moons.
SC_004	SPECIAL_CIRCLE_ARRAY	f67	f67r2	M3	1	7	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Circle of 8 labels around central star/flower.
SC_005	SPECIAL_CIRCLE_ARRAY	f67	f67v2	M1	1	4	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Labels inside the circles at the four corners.
SC_006	SPECIAL_CIRCLE_ARRAY	f67	f67v2	E1	1	4	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Radial titles inside large circle, reading inwards.
SC_007	SPECIAL_CIRCLE_ARRAY	f67	f67v1	X1	1	12	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Band of framed labels around the diagram.
SC_008	SPECIAL_CIRCLE_ARRAY	f68	f68r1	S1	1	29	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Labels on 29 stars.
SC_009	SPECIAL_CIRCLE_ARRAY	f68	f68r2	S1	1	24	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Labels on 25 stars inside diagram.
SC_010	SPECIAL_CIRCLE_ARRAY	f68	f68r3	S1	1	11	LOCAL_ARRAY_ORDER_ONLY	NO_EXTERNAL_VALUE_KEY	HUMAN_UNIT_LEVEL_ONLY	NO_SINGLE_ARRAY	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	Labels on stars in sectors.
