event_id	page	record	statement_id	position_class	card_no	surface	component_recipe	fluent_composition_de	contains_close	statement_final
E086	f56r	H5	H5-S002	FINAL	PROC057	cheeckhody	CH+EE+CKH+O+DY	LAENGER DURCH DEN DURCHLASS ABNEHMEN UND SCHLIESSEN	YES	YES
E115	f81v	B1	B1-S002	MEDIAL	PROC073	sheckhal	SH+E+CKH+AL	KURZ AM DURCHLASS DER ZIELSTELLE HALTEN	NO	NO
E119	f81v	B1	B1-S002	MEDIAL	PROC075	chckhy	CKH+Y	AKTUELLER POSTEN AM DURCHLASS	NO	NO
E128	f81v	B1	B1-S006	MEDIAL	PROC075	shckhy	CKH+Y	AKTUELLER POSTEN AM DURCHLASS	NO	NO
E139	f81v	B1	B1-S011	ENTRY	PROC075	chckhy	CKH+Y	AKTUELLER POSTEN AM DURCHLASS	NO	NO
E165	f81v	B1	B1-S020	FINAL	PROC099	shckhedy	SH+CKH+E+DY	KURZ IM DURCHLASS HALTEN UND SCHLIESSEN	YES	YES
E173	f82r	B2	B2-S004	MEDIAL	PROC101	lcheckhy	L+CKH+Y	DEN POSTEN DURCH DEN DURCHLASS WEITERLEITEN	NO	NO
E176	f82r	B2	B2-S004	FINAL	PROC103	lcheckhedy	L+CKH+E+DY	KURZ DURCH DEN DURCHLASS WEITERLEITEN UND SCHLIESSEN	YES	YES
E179	f82r	B2	B2-S005	MEDIAL	PROC075	chckhy	CKH+Y	AKTUELLER POSTEN AM DURCHLASS	NO	NO
E187	f82r	B2	B2-S006	MEDIAL	PROC110	sheckhy	SH+E+CKH+Y	DEN POSTEN KURZ AM DURCHLASS HALTEN	NO	NO
E330	f83r	B4	B4-S006	WHOLE_STATEMENT	PROC099	shckhedy	SH+CKH+E+DY	KURZ IM DURCHLASS HALTEN UND SCHLIESSEN	YES	YES
E331	f83r	B4	B4-S007	WHOLE_STATEMENT	PROC099	shckhedy	SH+CKH+E+DY	KURZ IM DURCHLASS HALTEN UND SCHLIESSEN	YES	YES
E350	f83r	B4	B4-S014	MEDIAL	PROC161	qockhey	O+CKH+E+Y	DEN POSTEN KURZ DURCH DEN DURCHLASS FUEHREN	NO	NO
E355	f83r	B4	B4-S015	MEDIAL	PROC163	chckhal	CH+CKH+AL	AM DURCHLASS DER ZIELSTELLE ABNEHMEN	NO	NO
