mode	operation	word	input	input_word	product	product_completion	row_status
LINE	f21r.9:2	sho	f21r.9:3	tshaiin	P@f21r.9:2	f21r.9:9	recorded
LINE	f21r.9:2	sho	f21r.9:6	cthey	P@f21r.9:2	f21r.9:9	recorded
LINE	f21r.9:2	sho	f21r.9:8	cthy	P@f21r.9:2	f21r.9:9	recorded
LINE	f32v.9:1	qotchy	f32v.9:4	chocthy	P@f32v.9:1	f32v.9:4	recorded
LINE	f32v.10:1	sho	f32v.10:2	keol	P@f32v.10:1	f32v.10:10	recorded
LINE	f32v.10:1	sho	f32v.10:3	chor	P@f32v.10:1	f32v.10:10	recorded
LINE	f32v.10:1	sho	f32v.10:8	cthol	P@f32v.10:1	f32v.10:10	recorded
LINE	f32v.11:2	sho	f32v.11:3	chy	P@f32v.11:2	f32v.11:3	recorded
LINE	f29v.3:6	qotchy	f29v.4:3	okaiin	P@f29v.3:6	f29v.4:3	recorded
LINE	f29v.4:8	sho	f29v.4:9	okaiin	P@f29v.4:8	f29v.4:9	recorded
